	SRX5794924	SRX5794925	SRX5794926	SRX5794927	SRX5794928	SRX5794929
AT1G01010	153.570933806756	224.81447129579	341.955945235352	315.889465304804	181.781343176791	203.574989614452
AT1G01020	126.950180715454	170.967258296364	110.041441154408	139.920901671096	130.64476370462	134.12976520788
AT1G01030	84.8303978621395	143.536920868582	62.3612058108968	55.842204932954	52.724184158583	60.5572879468106
AT1G01040	791.551097545309	778.461790877042	1257.43915666179	1074.29104289802	861.454114628381	804.366464896512
AT1G01050	1048.08843970366	1214.40897016667	1204.70347288227	1256.04434136822	995.053171452222	1135.93171951252
AT1G01060	1576.45228652254	7684.6694751855	2522.29614621662	2185.46780255316	780.434984376148	4999.38546241169
AT1G01070	207.002198869278	260.519552240382	292.65180963988	276.089641080492	239.394995590848	281.726471165945
AT1G01080	1243.1738342804	1168.83857241425	1024.54994704502	1101.92718624509	1069.16722655067	1028.86054192459
AT1G01090	3923.45307342751	4113.10617547272	3497.13381636289	3934.86783774723	3520.31426479161	3891.1011547486
AT1G01100	4483.14914237048	4625.88568817609	4406.93072526819	4813.58544228819	4398.79648089591	4599.79486535291
AT1G01110	109.772731485646	93.016665472529	45.7306999641118	53.9048874020756	108.704667433664	130.754635671036
AT1G01120	1003.21326618427	1342.45140680574	822.398259514661	769.415175060306	1296.19731361052	1556.02359589448
AT1G01130	11.7358326475737	9.92765394989153	12.3347515323773	9.66678522766531	14.5820190514351	13.1363219569753
AT1G01140	976.270709127324	822.819197693745	1830.87529439192	1109.96210620252	2100.68966282682	2373.94718673683
AT1G01160	452.898862913559	528.35044523007	335.327342405835	339.144984562284	384.844596932697	445.058203002804
AT1G01170	724.624811757767	651.885538458222	424.719725530039	493.739476906185	732.994318218476	631.355632289608
AT1G01180	198.644127040021	244.269092167228	68.579572398821	94.3912376877228	137.566998234183	176.988769008854
AT1G01190	119.154216390282	82.5038490133103	44.5852870562201	56.910255856002	118.159311558055	79.3084112607404
AT1G01200	36.4983731130532	40.760348736111	72.7031688358428	56.836527401819	54.7403575678459	49.3301769082294
AT1G01210	155.875186552649	268.07983272003	347.131764742978	383.060320063625	187.18927747499	198.433664206365
AT1G01220	522.84588544984	457.205123591739	555.204529917014	607.624552919273	482.641309192329	469.965472010626
AT1G01225	65.470041103308	61.1952741507988	62.2960498419293	35.6475141287409	61.1208820795672	55.0175900544856
AT1G01230	436.634889293599	343.184965128054	561.266477560906	516.549736298349	491.086362091445	426.049212240726
AT1G01240	421.307536060736	264.400696776532	165.291697270005	152.226274942794	511.739280953025	388.604434659209
AT1G01250	84.7557110590227	78.5192022629255	162.89333015851	105.041913889622	47.0857510241984	66.4113563719804
AT1G01260	329.940723633962	331.231424809436	353.16869182692	402.389011275431	327.138774375015	329.945284995043
AT1G01290	186.992613781104	168.776659903897	113.634354561544	120.558841345227	167.458432124087	155.012177179713
AT1G01300	1270.66991180254	1076.08143380217	1598.02089424981	1683.27221692016	2716.25336072683	1957.3248821513
AT1G01320	6903.24419509014	9862.70432620695	7098.72194536317	8680.77441303517	6073.87845751836	8652.81938371389
AT1G01340	109.574664059148	168.89170739613	201.753642276231	178.133064038954	84.0370536921855	147.713842493628
AT1G01350	354.33173645862	385.721402328047	429.127930625051	373.716597405581	357.855418329758	389.55513580166
AT1G01360	208.247853983333	245.677179118155	194.208716539107	174.366941829079	164.190207777398	192.48651463309
AT1G01370	136.013085518208	74.629236313934	83.4077351940159	91.4134328184632	105.183773702453	109.740442119021
AT1G01380	11.9225237406087	16.100726643019	15.4856181398612	21.9524868612241	14.0269292380845	14.5522566782749
AT1G01390	78.4607611241147	142.867000694649	160.202912250276	169.625683953173	66.7591323594958	152.776794817135
AT1G01420	266.218853472785	249.462660984439	844.316906752546	616.987545596816	345.691729103493	365.833578835587
AT1G01430	831.380957932735	1325.15119470892	436.694560475341	415.996322969305	532.986395546812	740.407714727265
AT1G01440	353.452492586512	365.474482948507	301.621845512335	348.549965755961	405.22432506845	460.830347810837
AT1G01448	120.618816394295	107.08926563819	30.7308933082779	49.323482163356	73.744564435654	62.4647030214912
AT1G01450	24.6954049395805	21.4307986613245	10.3901732488303	13.4847745719571	25.7889798238113	21.0143183312629
AT1G01453	11.3423372108697	5.14665750987501	10.1359450295116	4.17809648529935	14.4437992458123	5.43424591320202
AT1G01470	1045.73424806368	920.714559057574	16167.4610863256	8253.96075338332	3496.54738830365	2397.61711231493
AT1G01480	30.7197435103505	17.9359764386323	58.444973119758	50.3357726080202	67.9458216893324	46.7349853619608
AT1G01490	1341.22250059136	1608.13872654678	1003.22937730764	972.429138506409	907.033971846378	1110.27375027965
AT1G01500	259.901349656841	176.600809523326	846.125514911885	611.536003421314	690.720881088038	507.261007584847
AT1G01510	837.940189028617	789.86950750548	1142.96381579614	1121.74272059659	961.136646042937	966.145236557359
AT1G01520	59.3202578170249	258.849252432157	122.507460622091	85.6993127201882	10.8724372562491	53.3620509628192
AT1G01540	1148.73773705861	1220.62231574441	1633.59453307525	1518.41954228004	1618.5002366126	1530.70147836821
AT1G01550	2011.95224537796	2084.524247174	2593.65530782926	2277.63622094714	2695.40759152731	2592.6662950214
AT1G01560	21.3820158238619	22.5345376760233	102.920367114553	67.3932490335588	123.850439506802	101.082926371462
AT1G01570	45.4964795529799	45.0451735235714	31.3149007149287	21.756700694409	45.7099592358553	47.135873933189
AT1G01580	689.688935084881	449.980714207181	205.920528244713	229.162954672123	334.026557687224	315.591653294018
AT1G01600	233.101155345641	211.707961204658	399.305741986414	420.795057716492	292.963285348695	247.841407114111
AT1G01610	1365.11160866081	1571.77406576494	1721.56504182831	1837.41684756967	1201.11604314361	1342.22983315477
