"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0006833";"GO:0006833";"water transport";"17/1254";"29/15355";0,586206896551724;7,17799593026453;9,93040100426081;5,8085771576968e-12;4,78626757794216e-09;4,57349022521811e-09;"PIP2;4/ATTIP2;3/PIP2;7/PIP1;5/DELTA-TIP2/ATPIP1/AtPIP2;1/GAMMA-TIP2/HCR1/AQP1/ATHH2/PIP2;3/PIP2;2/GAMMA-TIP/TIP4;1/BDG1/PIP1;3";17
"GO:0042044";"GO:0042044";"fluid transport";"17/1254";"29/15355";0,586206896551724;7,17799593026453;9,93040100426081;5,8085771576968e-12;4,78626757794216e-09;4,57349022521811e-09;"PIP2;4/ATTIP2;3/PIP2;7/PIP1;5/DELTA-TIP2/ATPIP1/AtPIP2;1/GAMMA-TIP2/HCR1/AQP1/ATHH2/PIP2;3/PIP2;2/GAMMA-TIP/TIP4;1/BDG1/PIP1;3";17
"GO:0042545";"GO:0042545";"cell wall modification";"42/1254";"162/15355";0,259259259259259;3,17458207809085;8,29747825417037;8,90746948942704e-12;4,89316990619192e-09;4,67564012497644e-09;"NA/BGAL4/QRT1/NA/PMEI-PME59/CASP5/PGLR/CASP4/PMEI-PME47/PME46/TBL3/CYP79B2/ATR4/ATEXPB3/BGAL12/PMEI7/PMEI4/ATEXP17/BGAL1/CASP2/PMEI-PME25/PMEI-PME24/ATPMEPCRD/ATEXP8/ATEXP4/ATEXP6/BGAL8/CASP3/CYP79B3/ATEXPB1/ATXTH21/NA/GASA6/ATGH9B1/AT-EXP1/AGM2/PMEI9/ATPME2/ATEXP11/RUBY/ATPMEPCRA/PMEI-PME7";42
"GO:0071555";"GO:0071555";"cell wall organization";"58/1254";"285/15355";0,203508771929825;2,49192758611041;7,58137760723914;5,63174009338266e-11;2,32027691847366e-08;2,21712715255275e-08;"NA/BGAL4/QRT1/NA/PMEI-PME59/EXT13/CASP5/PGLR/EXT9/CASP4/PMEI-PME47/PME46/TBL3/CYP79B2/AthA1-1/ATR4/ATEXPB3/BGAL12/PMEI7/PMEI4/PAE8/EXT12/EXT8/ATCSLC12/RGXT1/ATEXP17/ATVTI13/ATCSLC04/PGX1/BGAL1/CASP2/PMEI-PME25/PMEI-PME24/ROPGAP3/ATPMEPCRD/AtPRX25/ATEXP8/ATEXP4/ATEXP6/BGAL8/CASP3/EXT6/CYP79B3/ATEXPB1/ATXTH21/NA/GASA6/ATGH9B1/AT-EXP1/AGM2/PMEI9/ATPME2/EXT15/ATEXP11/RUBY/ATPMEPCRA/AtPRX1/PMEI-PME7";58
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"50/1254";"235/15355";0,212765957446809;2,60528012487699;7,39508966788302;2,35644957588736e-10;6,47238150177061e-08;6,18464660618857e-08;"NA/AtGDPD2/HUP43/DIN10/ATSPX1/NA/HUP29/WIP5/NA/HUP54/ACBP3/HUP40/DVL10/ATMES10/SRO4/ATSUS4/HUP6/HCR1/ATMBF1C/ETR2/HRA1/NA/LBD41/AtGDPD1/ATHSPRO2/ATHSFA2/NA/AHB1/NA/CML39/CP12-3/AtPPsPase1/TN8/SAUR78/AtRAV2/HHO2/HSP17.4B/AAD6/HUP32/AtBBE10/MPSR1/AtBBE6/AUF2/RGAT1/atnudt4/SNIPER1/AtNIGT1/HSP17.8/NA/SAP2";50
"GO:0071453";"GO:0071453";"cellular response to oxygen levels";"50/1254";"235/15355";0,212765957446809;2,60528012487699;7,39508966788302;2,35644957588736e-10;6,47238150177061e-08;6,18464660618857e-08;"NA/AtGDPD2/HUP43/DIN10/ATSPX1/NA/HUP29/WIP5/NA/HUP54/ACBP3/HUP40/DVL10/ATMES10/SRO4/ATSUS4/HUP6/HCR1/ATMBF1C/ETR2/HRA1/NA/LBD41/AtGDPD1/ATHSPRO2/ATHSFA2/NA/AHB1/NA/CML39/CP12-3/AtPPsPase1/TN8/SAUR78/AtRAV2/HHO2/HSP17.4B/AAD6/HUP32/AtBBE10/MPSR1/AtBBE6/AUF2/RGAT1/atnudt4/SNIPER1/AtNIGT1/HSP17.8/NA/SAP2";50
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"49/1254";"233/15355";0,210300429184549;2,57509018351575;7,22459237779682;5,44105650246436e-10;1,28098015943732e-07;1,22403316205815e-07;"NA/AtGDPD2/HUP43/DIN10/ATSPX1/NA/HUP29/WIP5/NA/HUP54/ACBP3/HUP40/DVL10/ATMES10/SRO4/ATSUS4/HUP6/HCR1/ATMBF1C/ETR2/HRA1/NA/LBD41/AtGDPD1/ATHSPRO2/ATHSFA2/NA/AHB1/NA/CML39/AtPPsPase1/TN8/SAUR78/AtRAV2/HHO2/HSP17.4B/AAD6/HUP32/AtBBE10/MPSR1/AtBBE6/AUF2/RGAT1/atnudt4/SNIPER1/AtNIGT1/HSP17.8/NA/SAP2";49
"GO:0036293";"GO:0036293";"response to decreased oxygen levels";"52/1254";"266/15355";0,195488721804511;2,39372354330803;6,83788520431114;2,46090584265383e-09;5,06946603586689e-07;4,84409886922385e-07;"NA/AtGDPD2/HUP43/DIN10/ATSPX1/NA/HUP29/WIP5/NA/HUP54/ACBP3/HUP40/DVL10/ATMES10/SRO4/ATSUS4/HUP6/HCR1/ATMBF1C/ETR2/ATEBP/HRA1/NA/LBD41/AtGDPD1/ATHSPRO2/NIP2;1/ATHSFA2/NA/AHB1/NA/CML39/CP12-3/AtPPsPase1/TN8/SAUR78/AtRAV2/HHO2/HSP17.4B/AAD6/HUP32/AtBBE10/MPSR1/AtBBE6/AUF2/RGAT1/atnudt4/SNIPER1/AtNIGT1/HSP17.8/NA/SAP2";52
"GO:0070482";"GO:0070482";"response to oxygen levels";"52/1254";"267/15355";0,194756554307116;2,38475828659152;6,80688394001494;2,81959358393382e-09;5,16298914035881e-07;4,93346432931578e-07;"NA/AtGDPD2/HUP43/DIN10/ATSPX1/NA/HUP29/WIP5/NA/HUP54/ACBP3/HUP40/DVL10/ATMES10/SRO4/ATSUS4/HUP6/HCR1/ATMBF1C/ETR2/ATEBP/HRA1/NA/LBD41/AtGDPD1/ATHSPRO2/NIP2;1/ATHSFA2/NA/AHB1/NA/CML39/CP12-3/AtPPsPase1/TN8/SAUR78/AtRAV2/HHO2/HSP17.4B/AAD6/HUP32/AtBBE10/MPSR1/AtBBE6/AUF2/RGAT1/atnudt4/SNIPER1/AtNIGT1/HSP17.8/NA/SAP2";52
"GO:0001666";"GO:0001666";"response to hypoxia";"51/1254";"262/15355";0,194656488549618;2,38353299974433;6,73576554450568;4,07752789584644e-09;6,71976597235494e-07;6,42103340230135e-07;"NA/AtGDPD2/HUP43/DIN10/ATSPX1/NA/HUP29/WIP5/NA/HUP54/ACBP3/HUP40/DVL10/ATMES10/SRO4/ATSUS4/HUP6/HCR1/ATMBF1C/ETR2/ATEBP/HRA1/NA/LBD41/AtGDPD1/ATHSPRO2/NIP2;1/ATHSFA2/NA/AHB1/NA/CML39/AtPPsPase1/TN8/SAUR78/AtRAV2/HHO2/HSP17.4B/AAD6/HUP32/AtBBE10/MPSR1/AtBBE6/AUF2/RGAT1/atnudt4/SNIPER1/AtNIGT1/HSP17.8/NA/SAP2";51
