"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009451";"GO:0009451";"RNA modification";"117/1321";"340/15355";0,344117647058824;3,99994433806831;17,1617443358006;1,00850187353009e-41;1,68318962692172e-38;1,62634196868221e-38;"NA/RID2/NA/AtTRM4c/DTWD2B/NA/NA/AtELP3/NA/NA/NA/EMB2744/NA/NA/NA/NA/NA/MEF7/SLG1/MEF37/NA/AtTRM4a/NA/NA/MEF34/NA/NA/GRS1/NA/MEF29/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/DOT4/PDM1/NA/LOI1/MEF35/AtTRM5c/SSTPR/NA/NA/NA/ACYR2/OTP84/NA/NA/NA/NA/NA/NA/NA/AtTRM11/MEF25/AtGRP4/NA/YS1/RLUA2/NA/MORF8/NA/OTP72/NA/MEF22/MEF10/NA/MEF26/MEF13/NA/NA/AHG11/NA/PDE328/NA/COD1/NA/NA/GEND1/OTP81/NA/AtTRM4b/NA/NA/SLO2/NA/PPR96/NA/NA/TRUA1B/NA/NA/NA/NA/NA/NA/MEF9/NA/NA/NA/AtTRM9/NA/NA/NA/NA/OTP90/NA/ATECB2/ACYR1/NA/EMB3102/MEF3/NA/ATNAF1/NA";117
"GO:0006364";"GO:0006364";"rRNA processing";"67/1321";"225/15355";0,297777777777778;3,46130036167886;11,410583447898;2,58519984793931e-20;1,58449442235036e-17;1,53098007318643e-17;"DOM1/PPAN/eS8y/RID2/AtTRM4c/NA/TRL/NA/AtNOB1/RRP7/NA/NA/TOZ/NA/PES/NA/AtGHS40/NA/NA/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/ACYR2/EDA7/CP29A/ARPF2/EBP2/NA/RLUA2/NA/atBRX1-1/NA/RRP5/NA/AtRH57/RRP42/NA/EDA13/POP1/NA/PDE328/ARRS1/NA/FZF/NA/EMB2762/RPL7A/AtTRM112a/RH29/APUM23/NA/NA/NA/atBRX1-2/ATNUC-L1/atENP1/NA/PCP2/AtRH36/ATPWP2/PCP1/ACYR1/DIG6/NA";67
"GO:0016072";"GO:0016072";"rRNA metabolic process";"70/1321";"243/15355";0,288065843621399;3,34841107403981;11,3210764939611;2,84810261656745e-20;1,58449442235036e-17;1,53098007318643e-17;"DOM1/PPAN/eS8y/RID2/AtTRM4c/NA/TRL/NA/AtNOB1/RRP7/NA/NA/TOZ/NA/PES/NA/AtGHS40/NA/NA/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/BSM/NA/ACYR2/EDA7/CP29A/ARPF2/EBP2/NA/RLUA2/NA/atBRX1-1/NA/NA/RRP5/NA/AtRH57/RRP42/NA/EDA13/POP1/NA/PDE328/ARRS1/NA/FZF/NA/EMB2762/RPL7A/AtTRM112a/RH29/NA/APUM23/NA/NA/NA/atBRX1-2/ATNUC-L1/atENP1/NA/PCP2/AtRH36/ATPWP2/PCP1/ACYR1/DIG6/NA";70
"GO:0042254";"GO:0042254";"ribosome biogenesis";"80/1321";"310/15355";0,258064516129032;2,99968254743474;10,9123238929833;9,74722949501514e-20;4,06703150679507e-17;3,92967252272716e-17;"DOM1/PPAN/eS8y/RID2/AtTRM4c/NA/TRL/NA/AtNOB1/RRP7/NA/NA/TOZ/NA/PES/NA/AtGHS40/NA/NA/NA/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/NA/ACYR2/EDA7/RBL/CP29A/ARPF2/EBP2/NA/RLUA2/NA/atBRX1-1/NA/RRP5/NA/AtRH57/RRP42/NA/EDA13/POP1/NA/RH17/PDE328/ARRS1/NA/FZF/NA/AtNOC2/EMB2762/AtNMD3/RPL7A/AtTRM112a/RH29/APUM23/NA/NA/NA/atBRX1-2/ATNUC-L1/NA/atENP1/AtERG2/NA/NA/PCP2/AtRH36/ATPWP2/PCP1/NA/ACYR1/DIG6/eL33w/NA/ATNAF1/NA";80
"GO:0009409";"GO:0009409";"response to cold";"92/1321";"407/15355";0,226044226044226;2,62748606427637;10,2092627083921;2,43701077180082e-18;8,13474195627113e-16;7,86000105768179e-16;"AGL70/ATDGK2/AtZAT12/AtcPT5/ATPLC/ATTIL/BBX29/COR78/ATHVA22E/COR27/AATP1/GORK/ASUS1/ATBCB/AtCor6.6/KIN1/Rap2.6L/ATCYS1/ATRH25/AtLEA4-5/ATPLAT1/ATGRP8/NA/SPT/TMT2/ADC2/COR28/ABI1/ATCBF1/ATCBF3/ATCBF2/AtSAP10/ATHVA22D/AtBAM3/ATDI21/ATGRP2/EARLI1/AZI1/AtRbcX1/AtLEA5/AtPME41/AtSLD1/BAP1/TCF1/AtUSP/CP29A/LTI30/ATERF#011/ANAC062/ATRZ-1A/AtGRP4/ATMYB15/ELIP/YS1/AOX1A/ATRH9/AtGRF5/ATCYS6/RCI2A/AtGolS1/AGL20/AtCOR15A/COR15B/AtC3H29/ATCAX1/AKR4C9/ATWRKY25/ATOEP16-1/ELF3/FZF/AtGRF1/ATGRP7/ABX45/ERD7/ADC1/ATCOR413-PM1/ALDH5F1/AtOCT5/ADH/AtATL78/RAP2.1/ERF113/COR413-TM1/COR314-TM2/FB/ERD10/AtCOR47/ABCG40/GWD/iPGAM1/AtGolS3/ERD6";92
"GO:0022613";"GO:0022613";"ribonucleoprotein complex biogenesis";"86/1321";"380/15355";0,226315789473684;2,63064265508586;9,87503451486312;3,01129294911446e-17;8,37641322012005e-15;8,09351017200588e-15;"DOM1/PPAN/eS8y/RID2/AtTRM4c/NA/TRL/NA/AtNOB1/RRP7/SRPK3/AtRuvBL1/NA/NA/TOZ/NA/PES/NA/AtGHS40/NA/SRPK1/NA/NA/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/NA/ACYR2/EDA7/RBL/CP29A/ARPF2/EBP2/NA/RLUA2/NA/atBRX1-1/NA/NA/RRP5/NA/AtRH57/RRP42/NA/EDA13/POP1/NA/RH17/PDE328/ARRS1/NA/FZF/NA/PCP/AtNOC2/EMB2762/AtNMD3/RPL7A/AtTRM112a/RH29/APUM23/NA/NA/NA/atBRX1-2/ATNUC-L1/NA/atENP1/AtERG2/NA/NA/PCP2/AtRH36/ATPWP2/PCP1/NA/Atcoilin/ACYR1/DIG6/eL33w/NA/ATNAF1/NA";86
"GO:0042273";"GO:0042273";"ribosomal large subunit biogenesis";"26/1321";"65/15355";0,4;4,64950794852385;9,04604388553504;5,86881027230985e-12;1,39929204921216e-09;1,35203268228251e-09;"PPAN/AtTRM4c/NA/PES/NA/NA/AtTRM4d/AtTRM7b/NA/RBL/ARPF2/EBP2/NA/atBRX1-1/PDE328/ARRS1/FZF/AtNOC2/RPL7A/AtTRM112a/NA/atBRX1-2/NA/NA/eL33w/NA";26
"GO:0030490";"GO:0030490";"maturation of SSU-rRNA";"22/1321";"49/15355";0,448979591836735;5,21883545242472;9,07467778052647;1,58309964018807e-11;3,30274162434236e-09;3,19119559048437e-09;"eS8y/AtNOB1/NA/TOZ/NA/NA/NA/ACYR2/EDA7/NA/NA/AtRH57/NA/NA/PDE328/ARRS1/AtTRM112a/APUM23/ATPWP2/PCP1/ACYR1/NA";22
"GO:0001101";"GO:0001101";"response to acid chemical";"85/1321";"470/15355";0,180851063829787;2,10217114693897;7,44551920235818;2,69436796902061e-11;4,99655571143932e-09;4,82780319127435e-09;"ATPLC/ATTIL/ABI2/COR78/ATHVA22E/ATGLR1.3/ATGLR1.2/ATBI-1/AtCML37/RS5/AATP1/GORK/EGR2/CBP60G/ATSTP13/NIC3/ASUS1/AtCor6.6/KIN1/ZIFL1/Rap2.6L/ATCYS1/ATGLR2.5/ATRH25/SLG1/AtLEA4-5/DREB2/ATPLAT1/RD19/NA/TMT2/ATCBF1/ATCBF3/ATHVA22D/AIRP1/ATDI21/ATGRP2/AtRbcX1/AtLEA5/LTI30/CHL/ATPHS2/CFM9/CYP71B15/AtGRP4/ATMYB15/ATRH9/EGR3/BRL3/ATCYS6/DREB2/AIF/LDAP3/ANAC047/AtERF71/AtGolS1/AtCOR15A/ATWRKY54/SMXL8/DREB19/AKR4C9/ABI5/ATGRP7/RD2/ERD7/ATCOR413-PM1/AtOCT5/ADH/LDAP1/AtFBS1/AtATL78/RAP2.1/ERF113/COR413-TM1/ERD10/AtCOR47/HUP35/ABCG40/CDI3/ERD6/ESL1/UGT74E2/ATGST1/ACS2/AtLEA14";85
"GO:0009415";"GO:0009415";"response to water";"80/1321";"442/15355";0,180995475113122;2,10384975046328;7,22453717920117;1,01147361329257e-10;1,68814946058529e-08;1,63113429006759e-08;"ATPLC/ATTIL/ABI2/COR78/ATHVA22E/ATBI-1/AtCML37/RS5/AATP1/GORK/EGR2/CBP60G/ATSTP13/ASUS1/AtCor6.6/KIN1/ZIFL1/Rap2.6L/ATCYS1/ATRH25/SLG1/AtLEA4-5/DREB2/ATPLAT1/RD19/NA/TMT2/ATCBF1/ATCBF3/ATHVA22D/AIRP1/ATDI21/ATGRP2/AtRbcX1/AtLEA5/LTI30/CHL/ATPHS2/CFM9/CYP71B15/AtGRP4/ATMYB15/ATRH9/EGR3/BRL3/ATCYS6/DREB2/AIF/LDAP3/ANAC047/AtERF71/AtGolS1/AtCOR15A/ATWRKY54/SMXL8/DREB19/AKR4C9/ABI5/ATGRP7/RD2/ERD7/ATCOR413-PM1/AtOCT5/ADH/LDAP1/AtATL78/RAP2.1/ERF113/COR413-TM1/ERD10/AtCOR47/HUP35/ABCG40/CDI3/ERD6/ESL1/UGT74E2/ATGST1/ACS2/AtLEA14";80
