"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009733";"GO:0009733";"response to auxin";"21/175";"282/12761";0,074468085106383;5,43021276595745;8,87073782484855;2,72929380966197e-10;1,72764298151603e-07;1,57149864619484e-07;"ANAC092/SAUR23/SAUR21/SAUR20/SAUR19/SAUR16/ATSAUR15/SAUR14/SAUR13/BT5/DEG4/SAUR1/SAUR50/IAA29/SAUR28/ACC4/SAUR6/SAUR7/anac021/CuAOalpha2/SAUR65";21
"GO:0009753";"GO:0009753";"response to jasmonic acid";"11/175";"184/12761";0,0597826086956522;4,35934782608696;5,41222510922626;4,58339299224659e-05;0,00865318207480769;0,00787110766595129;"ATVSP1/ATST2A/ATSEN1/NATA1/AtBBE16/GES/ILL6/CuAOalpha2/GAI/NA/ERF59";11
"GO:0070542";"GO:0070542";"response to fatty acid";"11/175";"187/12761";0,0588235294117647;4,28941176470588;5,34321702754212;5,31166925277584e-05;0,00865318207480769;0,00787110766595129;"ATVSP1/ATST2A/ATSEN1/NATA1/AtBBE16/GES/ILL6/CuAOalpha2/GAI/NA/ERF59";11
"GO:2000762";"GO:2000762";"regulation of phenylpropanoid metabolic process";"4/175";"16/12761";0,25;18,23;8,13159699502923;5,46804554490218e-05;0,00865318207480769;0,00787110766595129;"AtKFB50/KFB39/KFB20/AtMYB20";4
"GO:0009611";"GO:0009611";"response to wounding";"11/175";"218/12761";0,0504587155963303;3,6794495412844;4,70515155094124;0,000207965263032292;0,0263284022998882;0,0239488418691924;"ATOXS3/NA/PKS4/ATSEN1/ANAC059/AtBBE16/KFB20/GES/CuAOalpha2/ATMYB3/ERF59";11
"GO:0016567";"GO:0016567";"protein ubiquitination";"16/175";"436/12761";0,036697247706422;2,67596330275229;4,19869940423397;0,000328743403537324;0,0346824290731876;0,0315478318833186;"NA/AtRZPF34/CTL08/LUL1/BT5/ATL13/NA/AtFBS2/RHA1B/BRH1/NA/ATL77/XER/ATBBD1/MPSR1/SNIPER1";16
"GO:0043455";"GO:0043455";"regulation of secondary metabolic process";"4/175";"26/12761";0,153846153846154;11,2184615384615;6,14997303784566;0,000403539835213879;0,0364915308129122;0,033193427046916;"AtKFB50/KFB39/KFB20/AtMYB20";4
"GO:0010218";"GO:0010218";"response to far red light";"5/175";"49/12761";0,102040816326531;7,44081632653061;5,32638445405723;0,000536062483170334;0,0406026420428324;0,0369329761327502;"ATOXS3/PKS4/IAA29/FHY1/GAI";5
"GO:0032446";"GO:0032446";"protein modification by small protein conjugation";"16/175";"459/12761";0,0348583877995643;2,54187363834423;3,96705080635242;0,000577288749424157;0,0406026420428324;0,0369329761327502;"NA/AtRZPF34/CTL08/LUL1/BT5/ATL13/NA/AtFBS2/RHA1B/BRH1/NA/ATL77/XER/ATBBD1/MPSR1/SNIPER1";16
"GO:0006979";"GO:0006979";"response to oxidative stress";"13/175";"331/12761";0,0392749244712991;2,86392749244713;4,05142631397446;0,00064258527529641;0,0406756479262628;0,0369993837460144;"ATOXS3/ANAC092/NA/NA/BT5/ATSEN1/ATPCA/ANAC059/HUP26/NA/GES/HSP17.4B/ATCAT3";13
"GO:0010200";"GO:0010200";"response to chitin";"3/175";"14/12761";0,214285714285714;15,6257142857143;6,45620940240246;0,000825629034433588;0,0475111980724055;0,0432171370177198;"BRH1/AtLYK4/SAUR6";3
"GO:0009698";"GO:0009698";"phenylpropanoid metabolic process";"6/175";"83/12761";0,072289156626506;5,27132530120482;4,60337991545608;0,000962559678000502;0,048403996048508;0,0440292439320427;"AtKFB50/KFB39/KFB20/ATMYBL2/AtMYB20/ATMYB3";6
"GO:0042542";"GO:0042542";"response to hydrogen peroxide";"5/175";"56/12761";0,0892857142857143;6,51071428571429;4,87320937874532;0,000994078907789265;0,048403996048508;0,0440292439320427;"ANAC092/BT5/ANAC059/HSP17.4B/ATCAT3";5
