"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0042254";"GO:0042254";"ribosome biogenesis";"157/1556";"304/12846";0,516447368421053;4,26367795291571;21,3789105878761;3,96395595211146e-65;6,64359017573881e-62;6,18377128529388e-62;"SDN3/DIM1B/RH27/DOM1/PPAN/eS19x/eS8y/RID2/AtTRM4c/NA/TRL/ATFBR1/NA/NA/AtNOB1/RRP7/AtRRP6L2/NA/AtTRM4h/SDN5/NA/NA/RAN2/EMB2734/TOZ/eS7x/NA/PES/NA/AtGHS40/NA/uS19x/NA/NA/NA/AtLa1/NA/NA/NA/NA/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/NA/RH39/NA/NA/NA/MEE49/eL8y/CER7/ACYR2/BPG2/AtCBF5/NA/EDA7/eIF6A/RBL/CP29A/NA/NA/NA/RID3/ARPF2/EBP2/NA/RLUA2/NA/RFC3/atBRX1-1/ATPRMT3/RRP5/IRP4/RPP0C/NA/AtRH57/RRP42/NA/RPSAb/NA/NA/EDA13/eL8z/DIM1A/POP1/eS27z/eL24x/NA/uL30x/EMB2777/RH17/SMO4/AtPEIP1/uL10z/uL29y/PDE328/ARRS1/ATRPS5B/eS12y/NA/FZF/EDA27/eL14z/NA/HTD1/NA/AtNOC2/EMB2762/AtNMD3/SAHY1/RPL7A/RH29/APUM23/NA/NA/NA/AtMDN1/NA/NA/IMP4/NA/AtNug2/atBRX1-2/Nog1-1/ATNUC-L1/RACK1B/NA/NA/ATFAS4/RH5/atENP1/AtERG2/NA/NA/ALBA1/eL34z/RDP/NA/AtTRM112b/PCP2/AtRH36/ATPWP2/PCP1/NA/NA/ACYR1/DIG6/NA/eL33w/NA/ATNAF1/ATRRP4/NA";157
"GO:0022613";"GO:0022613";"ribonucleoprotein complex biogenesis";"174/1556";"370/12846";0,47027027027027;3,88244980198708;20,8857373127499;3,15112972418076e-64;2,64064670886347e-61;2,45788118486099e-61;"ISE4/SDN3/DIM1B/RH27/DOM1/PICLN/PPAN/eS19x/eS8y/RID2/AtTRM4c/NA/TRL/ATFBR1/NA/NA/AtNOB1/RRP7/AtRRP6L2/NA/AtTRM4h/SDN5/SRPK3/AtRuvBL1/NA/NA/RAN2/EMB2734/AtNUFIP/TOZ/eS7x/NA/PES/NA/AtGHS40/NA/uS19x/NA/NA/NA/AtLa1/NA/NA/NA/NA/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/NA/RH39/NA/NA/NA/MEE49/eL8y/CER7/ACYR2/BPG2/AtCBF5/NA/EDA7/eIF6A/RBL/PHIP1/CP29A/NA/NA/NA/RID3/ARPF2/EBP2/NA/RLUA2/MAC8/ATNUC-L2/NA/RFC3/atBRX1-1/ATPRMT3/RRP5/IRP4/RPP0C/NA/AtRH57/RRP42/SmD1a/NA/RPSAb/NA/NA/EDA13/SmD2a/eL8z/DIM1A/POP1/eS27z/eL24x/NA/uL30x/EMB2777/RH17/SMO4/AtPEIP1/uL10z/uL29y/PDE328/ARRS1/ATRPS5B/eS12y/NA/FZF/EDA27/eL14z/NA/HTD1/NA/PCP/AtNOC2/EMB2762/AtNMD3/SAHY1/RPL7A/RH29/SMD3A/APUM23/NA/NA/NA/NA/AtMDN1/NA/NA/IMP4/NA/GEMIN2/AtNug2/atBRX1-2/Nog1-1/ATNUC-L1/RACK1B/NA/NA/ATFAS4/RH5/atENP1/AtERG2/NA/NA/ALBA1/eL34z/RDP/NA/AtTRM112b/SMD3B/PCP2/AtRH36/ATPWP2/PCP1/NA/Atcoilin/NA/ACYR1/DIG6/NA/eL33w/NA/EIF2/ATNAF1/ATRRP4/NA";174
"GO:0016072";"GO:0016072";"rRNA metabolic process";"129/1556";"234/12846";0,551282051282051;4,5512655724738;20,3527912604966;7,38449323738707e-58;4,12547022195358e-55;3,83993648344128e-55;"SDN3/DIM1B/RH27/DOM1/PPAN/eS8y/RID2/AtTRM4c/NA/TRL/ATFBR1/NA/NA/AtNOB1/RRP7/AtRRP6L2/NA/AtTRM4h/SDN5/NA/NA/TOZ/eS7x/NA/PES/NA/AtGHS40/NA/NA/NA/AtLa1/NA/NA/NA/RRP41L/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/RH39/NA/BSM/NA/MEE49/ATKEA2/eL8y/RRP41/CER7/ACYR2/BPG2/AtCBF5/NA/EDA7/eIF6A/CP29A/NA/NA/RID3/NA/ARPF2/EBP2/NA/RLUA2/NA/RFC3/atBRX1-1/NA/RRP5/IRP4/NA/AtRH57/RRP42/NA/NA/NA/EDA13/eL8z/DIM1A/POP1/NA/uL30x/EMB2777/SMO4/AtPEIP1/uL29y/PDE328/ARRS1/ATRPAC14/NA/FZF/EDA27/NA/NA/EMB2762/CCG/SAHY1/RPL7A/RH29/NA/APUM23/NA/NA/NA/IMP4/NA/atBRX1-2/ATNUC-L1/NA/ATFAS4/RH5/atENP1/NA/ALBA1/RDP/NA/AtTRM112b/PCP2/AtRH36/ATPWP2/PCP1/NA/ACYR1/DIG6/NA/NA/ATRRP4";129
"GO:0009451";"GO:0009451";"RNA modification";"148/1556";"314/12846";0,471337579617834;3,8912612774876;19,2560342780266;1,09428244862251e-54;4,58504345972833e-52;4,26770154962781e-52;"NA/DIM1B/GR-RBP3/RID2/NA/AtTRM4c/ORRM2/NA/ATFBR1/NA/AtELP3/AtTRM10/MORF4/NA/NA/EMB2744/NA/AtTRM4h/AtTRM8a/NA/AtTRM1b/NA/RARE1/NA/MEF7/MEF37/NA/NA/EMB166/AtTRM7a/AtTRM4a/NA/NA/NA/MEF34/NA/NA/GRS1/NA/MEF29/AtTRM5b/AtTRM4d/AtTRM7b/ATFIB2/NA/MORF1/DOT4/PDM1/AtTRM3/NA/LOI1/NA/MEF32/MEF35/EMB1706/AtTRM5c/SSTPR/NA/NA/ACYR2/OTP84/AtCBF5/NA/NA/AtTRM1c/NA/NA/ECD1/NA/NA/NA/NA/NA/NA/NA/AtTRM11/AtGRP4/NA/YS1/RLUA2/NA/MORF8/OTP72/MEF22/AtELP4/NA/TRUD1/NA/MEF26/MEF13/NA/DIM1A/AtTRM6/AHG11/NA/PDE328/NA/MORF6/COD1/NA/GEND1/OTP81/NA/SLO1/AtTRM4b/NA/NA/EDA27/NA/BLX/SLO2/REME1/PPR96/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/MEF9/NA/PGN/NA/NA/AtELP2/NA/AtTRM9/NA/NA/OTP90/CWM1/NA/ATECB2/POCO1/ACYR1/TRUA6/NA/EMB3102/AtTRM4f/MEF3/CLB19/ATNAF1/NA/AtTRM82";148
"GO:0006364";"GO:0006364";"rRNA processing";"120/1556";"217/12846";0,552995391705069;4,56541054103041;19,6643596716746;4,9766268930375e-54;1,66816533454617e-51;1,5527075906277e-51;"SDN3/DIM1B/RH27/DOM1/PPAN/eS8y/RID2/AtTRM4c/NA/TRL/ATFBR1/NA/NA/AtNOB1/RRP7/AtRRP6L2/NA/AtTRM4h/SDN5/NA/NA/TOZ/eS7x/NA/PES/NA/AtGHS40/NA/NA/NA/AtLa1/NA/NA/NA/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/NA/NA/NA/RH39/NA/NA/MEE49/eL8y/CER7/ACYR2/BPG2/AtCBF5/NA/EDA7/eIF6A/CP29A/NA/NA/RID3/ARPF2/EBP2/NA/RLUA2/NA/RFC3/atBRX1-1/RRP5/IRP4/NA/AtRH57/RRP42/NA/NA/NA/EDA13/eL8z/DIM1A/POP1/NA/uL30x/EMB2777/SMO4/AtPEIP1/uL29y/PDE328/ARRS1/NA/FZF/EDA27/NA/NA/EMB2762/SAHY1/RPL7A/RH29/APUM23/NA/NA/NA/IMP4/NA/atBRX1-2/ATNUC-L1/NA/ATFAS4/RH5/atENP1/NA/ALBA1/RDP/NA/AtTRM112b/PCP2/AtRH36/ATPWP2/PCP1/NA/ACYR1/DIG6/NA/NA/ATRRP4";120
"GO:0042273";"GO:0042273";"ribosomal large subunit biogenesis";"45/1556";"62/12846";0,725806451612903;5,99210133510241;14,627521191889;2,90677063465163e-28;8,11957930612689e-26;7,55760365009424e-26;"RH27/PPAN/AtTRM4c/NA/PES/NA/NA/NA/NA/EMB2788/AtTRM4d/AtTRM7b/NA/RH39/MEE49/eL8y/eIF6A/RBL/ARPF2/EBP2/NA/atBRX1-1/eL8z/eL24x/uL30x/SMO4/AtPEIP1/uL29y/PDE328/ARRS1/FZF/eL14z/AtNOC2/RPL7A/AtMDN1/NA/atBRX1-2/Nog1-1/NA/RDP/NA/AtTRM112b/NA/eL33w/NA";45
"GO:0042274";"GO:0042274";"ribosomal small subunit biogenesis";"47/1556";"85/12846";0,552941176470588;4,56496295176168;12,2418487402288;8,66440255585332e-22;2,07450552623002e-19;1,9309239981616e-19;"eS19x/eS8y/NA/AtNOB1/RRP7/NA/NA/TOZ/eS7x/NA/NA/uS19x/NA/NA/NA/NA/NA/ACYR2/EDA7/NA/NA/NA/NA/AtRH57/NA/RPSAb/eS27z/NA/EMB2777/PDE328/ARRS1/ATRPS5B/eS12y/SAHY1/APUM23/NA/NA/NA/ATFAS4/AtERG2/AtTRM112b/ATPWP2/PCP1/NA/ACYR1/NA/NA";47
"GO:0030490";"GO:0030490";"maturation of SSU-rRNA";"34/1556";"48/12846";0,708333333333333;5,8478470437018;12,4917520191531;4,2603669623854e-21;8,92546878619741e-19;8,30771557665152e-19;"eS8y/NA/AtNOB1/NA/NA/TOZ/NA/NA/NA/NA/NA/ACYR2/EDA7/NA/NA/NA/AtRH57/NA/NA/EMB2777/PDE328/ARRS1/SAHY1/APUM23/NA/NA/ATFAS4/AtTRM112b/ATPWP2/PCP1/NA/ACYR1/NA/NA";34
"GO:0000470";"GO:0000470";"maturation of LSU-rRNA";"25/1556";"31/12846";0,806451612903226;6,65789037233601;11,7084916243599;3,60037189417128e-18;6,70469254959007e-16;6,24064461656355e-16;"RH27/PPAN/AtTRM4c/NA/PES/NA/NA/NA/EMB2788/AtTRM4d/AtTRM7b/MEE49/eL8y/eIF6A/ARPF2/NA/eL8z/uL30x/AtPEIP1/uL29y/PDE328/RPL7A/NA/NA/AtTRM112b";25
"GO:0000462";"GO:0000462";"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"21/1556";"31/12846";0,67741935483871;5,59262791276225;9,5040274575304;6,55918258031358e-13;1,09931900046056e-10;1,02323248252892e-10;"eS8y/NA/NA/TOZ/NA/NA/EDA7/NA/NA/NA/EMB2777/ARRS1/SAHY1/APUM23/NA/ATFAS4/ATPWP2/PCP1/NA/NA/NA";21
