"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009408";"GO:0009408";"response to heat";"115/1412";"232/10096";0,495689655172414;3,54425124548208;15,8084051946553;2,96440470794352e-39;4,90016098223064e-36;4,70248199460093e-36;"ATMYB44/AtZAT12/HSP18.2/ATTIL/AtXTH22/ABI2/AtHsp90.2/AtHsp90-3/ATSUMO2/BOB1/ATHS83/Oma1/cpHsc70-2/ATFKBP65/GFA2/CYS5/NA/BIP/AtCML24/HSP15.7/BIP1/AtPARK13/ATJ2/PUB48/HTT2/CGE1/APG6/AT-HSP17.6A/HSP17.6II/HSC70-5/AtEML2/DREB2/AT-HSC70-1/AtHsp70-2/ATFP6/AT-HSFB1/SES1/HSP21/AR192/ABI1/AtSAP10/cpHsc70-1/HSA32/AT-HSFA4A/NA/SCL13/HIL1/Hop3/ATHSP22.0/AT-HSFA7B/UBAC2A/AtUSP/AT-HSFA7A/CHL/ATHSP17.4/ATJ/ATFKBP62/ATMBF1C/HSP60/ELIP/ATEBP/ATHSP70/DREB2/BZIP28/HSP70-3/Fes1A/ATERDJ3A/ATPK19/AtHsp90-6/CHR11/GAPC/ATHSFA1E/AtGolS1/ATBAG6/AtPIF4/UBAC2B/DREB19/AtCRL1/HSP70-8/ATWRKY25/HSP17.6B/SAP3/ATHSFA2/CLPB-M/HSP18.5/AtHsp90.5/AtHsp70-14/PGK/AtWIND1/ATSKP2;2/ATCDSP32/ATHSP101/AtCPB/HKL/HSP17.6A/ABS4/DjC53/HSP17.4B/HSP17.6C/HSP26.5/ERF113/ATHSFA1D/ATFBP7/AtCOR47/ALBA2/HSP70-5/CPN10/CYP71B2/HSP70-16/NA/PAP3/APX1/HSP17.8/FBI1/CYP18-1";115
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"84/1412";"162/10096";0,518518518518518;3,70748085195677;14,0078481729459;1,08356597351863e-30;8,02096752500034e-28;7,69739106579776e-28;"NA/ANAC102/NA/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NA/AtS40-2/AtCML37/HSP15.7/ATL31/ANAC091/ASUS1/AtGILP/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtHMP43/NA/GAE1/NA/ATRMA3/HUP54/PFK3/SGT1A/ACR7/SCL13/AtNUDT7/AT-HSFB2B/ATHSP22.0/NA/ATPSK3/ATHSP17.4/ATMBF1C/HRM1/ETR2/ATERF-4/HUP26/ATPK19/NA/HRU1/NA/LBD41/ATGSTF5/CID1/ATCAL4/ATHSPRO2/FBA6/NA/AtCRL1/NA/ATHSFA2/RHA2B/NA/ADH/ATHSP101/ATMKK9/NA/LDAP1/HKL/AtPP2-A11/AtFBS1/HSP17.6A/DRAL/HSP17.4B/NA/HUP32/STZ/MPSR1/NA/NA/RGAT1/HUP35/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";84
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"84/1412";"163/10096";0,515337423312883;3,68473557065642;13,9336758818309;1,94094797943142e-30;8,02096752500034e-28;7,69739106579776e-28;"NA/ANAC102/NA/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NA/AtS40-2/AtCML37/HSP15.7/ATL31/ANAC091/ASUS1/AtGILP/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtHMP43/NA/GAE1/NA/ATRMA3/HUP54/PFK3/SGT1A/ACR7/SCL13/AtNUDT7/AT-HSFB2B/ATHSP22.0/NA/ATPSK3/ATHSP17.4/ATMBF1C/HRM1/ETR2/ATERF-4/HUP26/ATPK19/NA/HRU1/NA/LBD41/ATGSTF5/CID1/ATCAL4/ATHSPRO2/FBA6/NA/AtCRL1/NA/ATHSFA2/RHA2B/NA/ADH/ATHSP101/ATMKK9/NA/LDAP1/HKL/AtPP2-A11/AtFBS1/HSP17.6A/DRAL/HSP17.4B/NA/HUP32/STZ/MPSR1/NA/NA/RGAT1/HUP35/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";84
"GO:0071453";"GO:0071453";"cellular response to oxygen levels";"84/1412";"163/10096";0,515337423312883;3,68473557065642;13,9336758818309;1,94094797943142e-30;8,02096752500034e-28;7,69739106579776e-28;"NA/ANAC102/NA/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NA/AtS40-2/AtCML37/HSP15.7/ATL31/ANAC091/ASUS1/AtGILP/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtHMP43/NA/GAE1/NA/ATRMA3/HUP54/PFK3/SGT1A/ACR7/SCL13/AtNUDT7/AT-HSFB2B/ATHSP22.0/NA/ATPSK3/ATHSP17.4/ATMBF1C/HRM1/ETR2/ATERF-4/HUP26/ATPK19/NA/HRU1/NA/LBD41/ATGSTF5/CID1/ATCAL4/ATHSPRO2/FBA6/NA/AtCRL1/NA/ATHSFA2/RHA2B/NA/ADH/ATHSP101/ATMKK9/NA/LDAP1/HKL/AtPP2-A11/AtFBS1/HSP17.6A/DRAL/HSP17.4B/NA/HUP32/STZ/MPSR1/NA/NA/RGAT1/HUP35/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";84
"GO:0001666";"GO:0001666";"response to hypoxia";"88/1412";"185/10096";0,475675675675676;3,40114845723911;13,2909719366824;1,64928063616811e-28;5,45252178317177e-26;5,23255982885335e-26;"NA/ANAC102/NA/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NA/AtS40-2/AtCML37/HSP15.7/ATL31/CIPK25/ANAC091/ASUS1/AtGILP/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtHMP43/NA/GAE1/NA/ATRMA3/HUP54/PFK3/SGT1A/ACR7/CHS4/SCL13/AtNUDT7/AT-HSFB2B/ATHSP22.0/NA/ATPSK3/ATHSP17.4/ATMBF1C/HRM1/ETR2/ATEBP/ATERF-4/RAP2.2/HUP26/ATPK19/NA/HRU1/NA/LBD41/ATGSTF5/CID1/ATCAL4/ATHSPRO2/FBA6/NA/AtCRL1/NA/ATHSFA2/RHA2B/NA/ADH/ATHSP101/ATMKK9/NA/LDAP1/HKL/AtPP2-A11/AtFBS1/HSP17.6A/DRAL/HSP17.4B/NA/HUP32/STZ/MPSR1/NA/NA/RGAT1/HUP35/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";88
"GO:0036293";"GO:0036293";"response to decreased oxygen levels";"88/1412";"188/10096";0,468085106382979;3,34687481164487;13,0974410407358;7,27489147315827e-28;2,0042326008551e-25;1,92337920176307e-25;"NA/ANAC102/NA/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NA/AtS40-2/AtCML37/HSP15.7/ATL31/CIPK25/ANAC091/ASUS1/AtGILP/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtHMP43/NA/GAE1/NA/ATRMA3/HUP54/PFK3/SGT1A/ACR7/CHS4/SCL13/AtNUDT7/AT-HSFB2B/ATHSP22.0/NA/ATPSK3/ATHSP17.4/ATMBF1C/HRM1/ETR2/ATEBP/ATERF-4/RAP2.2/HUP26/ATPK19/NA/HRU1/NA/LBD41/ATGSTF5/CID1/ATCAL4/ATHSPRO2/FBA6/NA/AtCRL1/NA/ATHSFA2/RHA2B/NA/ADH/ATHSP101/ATMKK9/NA/LDAP1/HKL/AtPP2-A11/AtFBS1/HSP17.6A/DRAL/HSP17.4B/NA/HUP32/STZ/MPSR1/NA/NA/RGAT1/HUP35/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";88
"GO:0070482";"GO:0070482";"response to oxygen levels";"88/1412";"189/10096";0,465608465608466;3,32916647930812;13,0337970544712;1,18191018614127e-27;2,79099648241645e-25;2,67840398573668e-25;"NA/ANAC102/NA/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NA/AtS40-2/AtCML37/HSP15.7/ATL31/CIPK25/ANAC091/ASUS1/AtGILP/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtHMP43/NA/GAE1/NA/ATRMA3/HUP54/PFK3/SGT1A/ACR7/CHS4/SCL13/AtNUDT7/AT-HSFB2B/ATHSP22.0/NA/ATPSK3/ATHSP17.4/ATMBF1C/HRM1/ETR2/ATEBP/ATERF-4/RAP2.2/HUP26/ATPK19/NA/HRU1/NA/LBD41/ATGSTF5/CID1/ATCAL4/ATHSPRO2/FBA6/NA/AtCRL1/NA/ATHSFA2/RHA2B/NA/ADH/ATHSP101/ATMKK9/NA/LDAP1/HKL/AtPP2-A11/AtFBS1/HSP17.6A/DRAL/HSP17.4B/NA/HUP32/STZ/MPSR1/NA/NA/RGAT1/HUP35/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";88
"GO:0006457";"GO:0006457";"protein folding";"75/1412";"168/10096";0,446428571428571;3,19202751922299;11,5526166207091;2,51395723362832e-22;5,19446413398452e-20;4,98491256720774e-20;"ATCNX1/HSP18.2/NA/Cpn60beta3/AtHsp90.2/AtHsp90-3/BOB1/ATHS83/cpHsc70-2/ATFKBP65/GFA2/BIP/HSP15.7/BIP1/ATJ2/ATCPN21/AtRbcX2/CGE1/APG6/AT-HSP17.6A/HSP17.6II/HSC70-5/CNX2/AT-HSC70-1/AtHsp70-2/NA/SES1/NA/AR192/cpHsc70-1/AtHsp90-7/AtHip1/DJC26/ATHSP22.0/NA/ATERDJ3B/NA/GroES/AtUSP/EMB2423/ATHSP17.4/ATJ/ATFKBP62/HSP60/HSP60-3A/Cpn60beta2/ATHSP70/NA/HSP70-3/AtHsp90-6/ATBAG6/HSP70-8/HSP17.6B/ARC2/CLPB-M/NA/DNAJ/NA/HSP18.5/CYP40/AtHsp90.5/AtHsp70-14/AtHsp70-15/HSP17.6A/AtCRT1a/HSP17.4B/HSP17.6C/HSP70-5/CPN10/ATBAG5/HSP70-16/AtCRT1b/HSP17.8/AtTPR2/CYP18-1";75
"GO:0009414";"GO:0009414";"response to water deprivation";"107/1412";"347/10096";0,30835734870317;2,20479871990595;9,20894336840094;1,60929200071951e-16;2,95573297465483e-14;2,83649478957228e-14;"ATMYB44/SNRK2-3/ATDI8/ATMYB96/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATEXO70B1/ATTIL/ABI2/AtHsp90.2/LTI65/ATBI-1/AtCML37/GORK/ASUS1/AtCor6.6/KIN1/WSD7/MYBS2/AtLEA4-5/DREB2/HD2C/NA/ALDH3/ABF3/ANAC072/AtHsp90-7/NLP7/ATCBL1/ATDI21/AtRNP1/AtLEA5/PIP1;4/EDL3/AtATG18a/ATHB-12/AtREM4.1/AtAvt6C/AtPIP2;1/XERO1/LTI30/CHL/AFL1/CFM9/ATMBF1C/AtBAM1/AZF2/ABF4/LEA30/UBC32/AtTCTP1/ATNCED3/SINA2/AHG3/DREB2/AIF/ABR/RGLG1/AtGolS1/ATHH2/AtREM4.2/CID1/AtLtpI-5/DREB19/AKR4C8/PIP2;3/PIP2;2/AtLEA4-2/PP2CG1/AtCRL1/AtCLO3/XMPP/LEA/ERD7/PAP1/AtHsp90.5/ATGSTU19/AtWIND1/ADH/ERD14/ATCDSP32/ATBBD1/LDAP1/ATMGL/AtGolS2/ATDIL9/NF-YA5/LEA7/ATPER1/ERF113/CPuORF19/AtLEA4-1/STZ/PROSCOOP14/ERF58/ERD10/AtCOR47/bZIP62/HUP35/AFP2/ESL1/SMXL6/CER1/PIP1;3/AtLEA14";107
"GO:0009415";"GO:0009415";"response to water";"108/1412";"355/10096";0,304225352112676;2,17525435901528;9,08981152071432;3,33649988379091e-16;5,51523430790637e-14;5,29274244723463e-14;"ATMYB44/SNRK2-3/ATDI8/ATMYB96/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATEXO70B1/ATTIL/ABI2/AtHsp90.2/LTI65/ATBI-1/AtCML37/GORK/ASUS1/AtCor6.6/KIN1/WSD7/MYBS2/AtLEA4-5/DREB2/HD2C/NA/ALDH3/ABF3/FLOE1/ANAC072/AtHsp90-7/NLP7/ATCBL1/ATDI21/AtRNP1/AtLEA5/PIP1;4/EDL3/AtATG18a/ATHB-12/AtREM4.1/AtAvt6C/AtPIP2;1/XERO1/LTI30/CHL/AFL1/CFM9/ATMBF1C/AtBAM1/AZF2/ABF4/LEA30/UBC32/AtTCTP1/ATNCED3/SINA2/AHG3/DREB2/AIF/ABR/RGLG1/AtGolS1/ATHH2/AtREM4.2/CID1/AtLtpI-5/DREB19/AKR4C8/PIP2;3/PIP2;2/AtLEA4-2/PP2CG1/AtCRL1/AtCLO3/XMPP/LEA/ERD7/PAP1/AtHsp90.5/ATGSTU19/AtWIND1/ADH/ERD14/ATCDSP32/ATBBD1/LDAP1/ATMGL/AtGolS2/ATDIL9/NF-YA5/LEA7/ATPER1/ERF113/CPuORF19/AtLEA4-1/STZ/PROSCOOP14/ERF58/ERD10/AtCOR47/bZIP62/HUP35/AFP2/ESL1/SMXL6/CER1/PIP1;3/AtLEA14";108
