"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:1901657";"GO:1901657";"glycosyl compound metabolic process";"47/1199";"139/14666";0,338129496402878;4,13595262238916;11,0841940364312;6,11450586096199e-18;1,07248432801273e-14;1,04461505393066e-14;"AtMYB28/AtATR1/CYP81F2/ATERF-9/ATIMD1/ATMYB29/UGT76C2/AKN2/CYP81F3/ATMTAN2/ATR4/NA/NA/CYP83A1/BASS5/IPMI/DUT1/AtHB34/NSP4/ESM1/NA/BGLU26/ATLEUD1/BGLU33/ATFUC1/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/GIS3/BGLU22/BGLU21/ZFP4/FMO/FMO/NA/ATBG1/ZFP7/IGMT2/IGMT1/ATSOT17/BUS1/CYP79F2/NSH2/AtTRM82";47
"GO:0016143";"GO:0016143";"S-glycoside metabolic process";"39/1199";"105/14666";0,371428571428571;4,54326224234481;10,8722026836419;1,04601936501834e-16;6,11572655414058e-14;5,95680501552551e-14;"AtMYB28/AtATR1/CYP81F2/ATERF-9/ATIMD1/ATMYB29/AKN2/CYP81F3/ATR4/CYP83A1/BASS5/IPMI/AtHB34/NSP4/ESM1/NA/BGLU26/ATLEUD1/BGLU33/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/GIS3/BGLU22/BGLU21/ZFP4/FMO/FMO/NA/ATBG1/ZFP7/IGMT2/IGMT1/ATSOT17/BUS1/CYP79F2";39
"GO:0019760";"GO:0019760";"glucosinolate metabolic process";"39/1199";"105/14666";0,371428571428571;4,54326224234481;10,8722026836419;1,04601936501834e-16;6,11572655414058e-14;5,95680501552551e-14;"AtMYB28/AtATR1/CYP81F2/ATERF-9/ATIMD1/ATMYB29/AKN2/CYP81F3/ATR4/CYP83A1/BASS5/IPMI/AtHB34/NSP4/ESM1/NA/BGLU26/ATLEUD1/BGLU33/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/GIS3/BGLU22/BGLU21/ZFP4/FMO/FMO/NA/ATBG1/ZFP7/IGMT2/IGMT1/ATSOT17/BUS1/CYP79F2";39
"GO:0016144";"GO:0016144";"S-glycoside biosynthetic process";"22/1199";"48/14666";0,458333333333333;5,60626911314985;9,53764475325649;3,41400370546189e-12;1,19763249987603e-09;1,16651116083466e-09;"AtMYB28/AtATR1/CYP81F2/ATIMD1/ATMYB29/AKN2/ATR4/CYP83A1/BASS5/IPMI/ATLEUD1/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/FMO/FMO/ATSOT17/BUS1/CYP79F2";22
"GO:0019761";"GO:0019761";"glucosinolate biosynthetic process";"22/1199";"48/14666";0,458333333333333;5,60626911314985;9,53764475325649;3,41400370546189e-12;1,19763249987603e-09;1,16651116083466e-09;"AtMYB28/AtATR1/CYP81F2/ATIMD1/ATMYB29/AKN2/ATR4/CYP83A1/BASS5/IPMI/ATLEUD1/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/FMO/FMO/ATSOT17/BUS1/CYP79F2";22
"GO:1901659";"GO:1901659";"glycosyl compound biosynthetic process";"22/1199";"58/14666";0,379310344827586;4,63967099019298;8,28697328886497;3,15793678384072e-10;9,23170186476105e-08;8,99180947398859e-08;"AtMYB28/AtATR1/CYP81F2/ATIMD1/ATMYB29/AKN2/ATR4/CYP83A1/BASS5/IPMI/ATLEUD1/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/FMO/FMO/ATSOT17/BUS1/CYP79F2";22
"GO:0000278";"GO:0000278";"mitotic cell cycle";"44/1199";"234/14666";0,188034188034188;2,30000784129225;5,98144116987952;1,36610464616111e-07;3,42306792766654e-05;3,33411705371349e-05;"NA/ATCAP-C/CYCA3;1/WPP1/TUB8/ATCSLD2/TPXL5/CYCD4;2/NA/CYC1BAT/CYC1/CYCB2;2/ATRAD21.2/TRM7/PHIP1/ATCDT1B/NDC80/AtMAD2/CDC45/KINESIN-12B/BUB3.1/CYC2/ATN/ATNBS1/CDKB1;2/NA/BUBR1/ATCDT1A/RSW7/CKS2/CYCB1;4/CDKB2;1/CYCB2;4/AtGIP2/PP2A/SCL28/UBC20/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2/CENP-C/AtTPX2/ATCSLD5";44
"GO:0000082";"GO:0000082";"G1/S transition of mitotic cell cycle";"14/1199";"35/14666";0,4;4,89274395329441;6,87967703642548;2,49344401698831e-07;5,46687600724686e-05;5,32481531522634e-05;"CYCA3;1/CYCD4;2/CYC1BAT/CYC1/CYCB2;2/CYC2/CDKB1;2/CYCB1;4/CDKB2;1/CYCB2;4/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2";14
"GO:0006790";"GO:0006790";"sulfur compound metabolic process";"56/1199";"343/14666";0,163265306122449;1,99703834828343;5,57515725488149;4,21428515800976e-07;7,97925473967845e-05;7,77190808527763e-05;"ALX8/AtMYB28/AtATR1/CYP81F2/ATERF-9/ATGSTF12/ATIMD1/ATMYB29/CYP79B2/AKN2/CYP81F3/ATMTAN2/ATR4/APS3/CYP83A1/BASS5/IPMI/ATMAPK3/AtSULT202B1/FAR5/FAR4/AtHB34/AtSAMS3/NSP4/ESM1/ATGSTU8/ATGSTF11/NA/BGLU26/ATLEUD1/MAT3/BGLU33/ATGSTF7/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/GIS3/BGLU22/BGLU21/ZFP4/FMO/FMO/NA/ATBG1/ATGSTU14/ZFP7/IGMT2/IGMT1/ATSOT17/ATGSTU26/BUS1/CYP79F2/ATST4B";56
"GO:1903047";"GO:1903047";"mitotic cell cycle process";"36/1199";"181/14666";0,198895027624309;2,43285610937291;5,78759073283311;4,54917602034119e-07;7,97925473967845e-05;7,77190808527763e-05;"NA/ATCAP-C/CYCA3;1/ATCSLD2/TPXL5/CYCD4;2/NA/CYC1BAT/CYC1/CYCB2;2/TRM7/PHIP1/NDC80/AtMAD2/CDC45/KINESIN-12B/BUB3.1/CYC2/ATN/ATNBS1/CDKB1;2/NA/BUBR1/RSW7/CYCB1;4/CDKB2;1/CYCB2;4/AtGIP2/UBC20/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2/CENP-C/AtTPX2/ATCSLD5";36
