"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0000278";"GO:0000278";"mitotic cell cycle";"74/1710";"238/14111";0,310924369747899;2,56576244532901;9,04612044856008;4,40256238840291e-15;8,21518141675983e-12;7,31752211714547e-12;"ICU2/TUB2/ATCAP-E1/NA/DDM2/ATCAP-C/MCM3/MCM6/TUB4/CYCA3;1/ASF1B/ATRAD51/TUA5/EMB3013/CYCD4;2/NA/CYC1BAT/CYC1/AtCTF7/NA/TUB9/CAP-D3/AtFANCD2/TUA6/ATORC1A/KINESIN-12A/ATORC1B/ATGIP1/ATRAD21.2/TRM7/CAP-D2/FBL17/NDC80/ATGCP4/ATSMC2/NA/EOL1/AtMAD2/CDC45/KINESIN-12B/BUB3.1/POK2/BRU1/POK1/CMR1/ATRAD9/ATN/CDKB1;2/NA/CAP-H/ATCDT1A/ATCDC6/TBB7/RSW7/CKS2/CYCB1;4/NA/CSI1/MCM4/CYCJ18/NA/AtGIP2/CMT3/NA/UBC20/TUA2/CYCA3;2/ATMCM2/CYCA1;1/CDKB2;2/TUB5/CENP-C/AtHaspin/ATCSLD5";74
"GO:0009617";"GO:0009617";"response to bacterium";"114/1710";"474/14111";0,240506329113924;1,98466947960619;8,09754622435101;1,86812889610667e-13;1,74296426006752e-10;1,55251343523812e-10;"eS19x/CYP81F2/AtHsp90.2/COR78/ATERF-2/ATWRKY8/AtNPF5.2/PROSCOOP4/ARA8/CML46/ATL31/CBP60G/SZE1/LSU2/ATWRKY38/AtGH3.12/NOXY2/NHL3/SAI-LLP1/AT-HSC70-1/AtHsp70-2/EDS5/SSN2/ATWRKY18/ATR4/LecRK-V.9/ATMEK1/P3z/AtNHR2B/ATWRKY53/CRK23/CRK13/CRK10/CRK6/SOBER1/LOL2/ATPCAP1/AtRLP51/ACD6/AtNUDT7/MEE54/CRK34/DLO1/MIK2/CPK31/ATGSL05/LecRK-IV.4/ACA11/AtBG3/SIB1/ATWRKY70/H2A.Z/ATPAD4/ZAR1/AtBCS1/HR4/ATERF#011/ATEDS1/CRK4/ATMAPK3/ATLOX2/AT-POX/AIG2/ATMYB30/CYP71B15/LTPG5/PCC1/NDR1/ATPME3/IDL7/PBL39/RPP0B/AtSDR3/ATCNGC11/ATWRKY46/AtPME17/BGLU26/PRN2/PYM/ATWRKY54/ATHSPRO2/ATWRKY33/LecRK-IV.1/AS1/AtDRM2/AtRLP23/PME12/TET8/AtLYK4/AHK4/ATWRKY40/SARD1/HWI1/CKRC1/cICDH/PROSCOOP39/ABCG36/H2A.Z/NA/RACK1B/RKL1/AIG1/ADR1/CXC750/PROSCOOP13/ATCLH1/HUP35/AtMYB51/CBRLK1/AtCRT3/ATEXO70B2/NIMIN-1/VAD1/ACBK1";114
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"63/1710";"212/14111";0,297169811320755;2,4522591857001;7,91140274103398;4,54704743448425e-12;2,22348700556758e-09;1,98053025429639e-09;"NA/AtZAT12/AtXTH22/CYP81F2/PBP1/ATRBOHD/AtCML37/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/NA/NHL3/NA/CMI1/DIC2/NA/DVL10/AtNUDT7/ATWRKY70/AtC3H47/ATPSK3/ZAT7/AT-POX/NA/AtGDPD1/ATWRKY46/ATCAL4/CML10/AtC3H29/ATHSPRO2/PLA/IQM4/NA/ATPUMP5/AHB1/CBP1/ATSERK4/ATLPP1/NA/ATMKK9/TN11/TN9/TN8/TN7/DUF569/AtRAV2/NA/TN3/EXL1/NA/MPSR1/AtTEM1/NA/HUP35/SNIPER1/AtRAV1/NA/SAP2/NA";63
"GO:0022402";"GO:0022402";"cell cycle process";"107/1710";"455/14111";0,235164835164835;1,94059122164385;7,57317641730579;4,76631726809771e-12;2,22348700556758e-09;1,98053025429639e-09;"ATEB1C/ICU2/ATCAP-E1/ANQ1/NA/ATIM/NA/CPI1/DDM2/ATCAP-C/TET1/MCM3/MCM6/NA/CYCA3;1/ATATR/ASF1B/NA/ATRAD51/EMB3013/AUG7/AtMYB3R4/CYCD4;2/NA/CYC1BAT/BIN5/CYC1/AtCTF7/MAP65-2/AESP/NA/NA/CAP-D3/AtFANCD2/ATORC1A/KINESIN-12A/ATORC1B/ATGIP1/ATK5/ATRAD21.2/TRM7/CAP-D2/NA/FBL17/NDC80/ATGCP4/ATCOM1/SPC25/DEL1/ATSMC2/NA/KINESIN-12E/FIGL1/AtMAD2/CDC45/KINESIN-12B/BUB3.1/ATRAD54/POK2/BRU1/ATMSH2/POK1/CMR1/ATRAD9/ATN/MAC2/NA/NA/PYM/ETG1/CDKB1;2/NA/ATNPSN11/ASY4/CAP-H/ATCDT1A/NA/ATCDC6/RSW7/CYCB1;4/NA/CSI1/MCM4/CYCJ18/DRS1/NA/AtGIP2/iqd8/CMT3/NA/NA/DRP5A/UBC20/FU/CYCA3;2/ATMCM2/CYCA1;1/At-FANCM/CDKB2;2/NA/CVP1/CENP-C/ATRAB-A2A/CTF18/ATWEE1/ATCSLD5/CENH3";107
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"63/1710";"214/14111";0,294392523364486;2,42934087555337;7,82375748152312;7,15360016006841e-12;2,22476964978127e-09;1,98167274609614e-09;"NA/AtZAT12/AtXTH22/CYP81F2/PBP1/ATRBOHD/AtCML37/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/NA/NHL3/NA/CMI1/DIC2/NA/DVL10/AtNUDT7/ATWRKY70/AtC3H47/ATPSK3/ZAT7/AT-POX/NA/AtGDPD1/ATWRKY46/ATCAL4/CML10/AtC3H29/ATHSPRO2/PLA/IQM4/NA/ATPUMP5/AHB1/CBP1/ATSERK4/ATLPP1/NA/ATMKK9/TN11/TN9/TN8/TN7/DUF569/AtRAV2/NA/TN3/EXL1/NA/MPSR1/AtTEM1/NA/HUP35/SNIPER1/AtRAV1/NA/SAP2/NA";63
"GO:0071453";"GO:0071453";"cellular response to oxygen levels";"63/1710";"214/14111";0,294392523364486;2,42934087555337;7,82375748152312;7,15360016006841e-12;2,22476964978127e-09;1,98167274609614e-09;"NA/AtZAT12/AtXTH22/CYP81F2/PBP1/ATRBOHD/AtCML37/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/NA/NHL3/NA/CMI1/DIC2/NA/DVL10/AtNUDT7/ATWRKY70/AtC3H47/ATPSK3/ZAT7/AT-POX/NA/AtGDPD1/ATWRKY46/ATCAL4/CML10/AtC3H29/ATHSPRO2/PLA/IQM4/NA/ATPUMP5/AHB1/CBP1/ATSERK4/ATLPP1/NA/ATMKK9/TN11/TN9/TN8/TN7/DUF569/AtRAV2/NA/TN3/EXL1/NA/MPSR1/AtTEM1/NA/HUP35/SNIPER1/AtRAV1/NA/SAP2/NA";63
"GO:1903047";"GO:1903047";"mitotic cell cycle process";"57/1710";"185/14111";0,308108108108108;2,54252252252252;7,84219055774088;9,51066975667995e-12;2,53527282370926e-09;2,25824775124777e-09;"ICU2/ATCAP-E1/NA/DDM2/ATCAP-C/MCM3/MCM6/CYCA3;1/ASF1B/ATRAD51/EMB3013/CYCD4;2/NA/CYC1BAT/CYC1/AtCTF7/CAP-D3/AtFANCD2/ATORC1A/KINESIN-12A/ATORC1B/ATGIP1/TRM7/CAP-D2/FBL17/NDC80/ATSMC2/NA/AtMAD2/CDC45/KINESIN-12B/BUB3.1/POK2/BRU1/POK1/ATRAD9/ATN/CDKB1;2/NA/CAP-H/ATCDC6/RSW7/CYCB1;4/CSI1/MCM4/CYCJ18/NA/AtGIP2/CMT3/NA/UBC20/CYCA3;2/ATMCM2/CYCA1;1/CDKB2;2/CENP-C/ATCSLD5";57
"GO:0006270";"GO:0006270";"DNA replication initiation";"18/1710";"27/14111";0,666666666666667;5,50136452241715;8,6935321774449;4,64661468154951e-11;1,07574594748449e-08;9,58200965238346e-09;"ICU2/NA/EMB2812/MCM3/MCM6/ATORC1A/ATORC1B/MCM7/CDC45/ATCDT1A/ATCDC6/MCM10/MCM4/MCM5/ATORC4/EMB2814/ATMCM2/ATORC6";18
"GO:0001666";"GO:0001666";"response to hypoxia";"66/1710";"239/14111";0,276150627615063;2,27880789840711;7,40402589013153;5,1884852772564e-11;1,07574594748449e-08;9,58200965238346e-09;"NA/AtZAT12/AtXTH22/CYP81F2/PBP1/ATRBOHD/AtCML37/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/NA/NHL3/NA/CMI1/DIC2/NA/DVL10/AtNUDT7/ATWRKY70/AtC3H47/ATPAD4/ATPSK3/ATEDS1/ZAT7/AT-POX/ATMYB30/NA/AtGDPD1/ATWRKY46/ATCAL4/CML10/AtC3H29/ATHSPRO2/PLA/IQM4/NA/ATPUMP5/AHB1/CBP1/ATSERK4/ATLPP1/NA/ATMKK9/TN11/TN9/TN8/TN7/DUF569/AtRAV2/NA/TN3/EXL1/NA/MPSR1/AtTEM1/NA/HUP35/SNIPER1/AtRAV1/NA/SAP2/NA";66
"GO:0036293";"GO:0036293";"response to decreased oxygen levels";"66/1710";"243/14111";0,271604938271605;2,24129665728106;7,24778020458575;1,13696333277309e-10;2,12157357895458e-08;1,88975273941969e-08;"NA/AtZAT12/AtXTH22/CYP81F2/PBP1/ATRBOHD/AtCML37/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/NA/NHL3/NA/CMI1/DIC2/NA/DVL10/AtNUDT7/ATWRKY70/AtC3H47/ATPAD4/ATPSK3/ATEDS1/ZAT7/AT-POX/ATMYB30/NA/AtGDPD1/ATWRKY46/ATCAL4/CML10/AtC3H29/ATHSPRO2/PLA/IQM4/NA/ATPUMP5/AHB1/CBP1/ATSERK4/ATLPP1/NA/ATMKK9/TN11/TN9/TN8/TN7/DUF569/AtRAV2/NA/TN3/EXL1/NA/MPSR1/AtTEM1/NA/HUP35/SNIPER1/AtRAV1/NA/SAP2/NA";66
