"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009408";"GO:0009408";"response to heat";"70/1470";"269/14111";0,260223048327138;2,49796424145867;8,4588168628978;2,1258049979972e-13;3,69890069651513e-10;3,55345088086269e-10;"ABA1/HSP18.2/ATTIL/ABI2/ATHS83/ATFKBP65/CYS5/AT-HSFA6A/HSP15.7/AtPARK13/PME53/PUB48/APG6/AT-HSP17.6A/HSP17.6II/DREB2/AT-HSFA3/ATCIPK14/AT-HSFB1/HTT1/SES1/ERF54/HSP21/GGP/ABI1/cpHsc70-1/NA/HSA32/ALKBH6/NA/HIL1/Hop3/ATHSP22.0/UBAC2A/ATHSP17.4/AtXTH31/AT-HSFC1/ATMBF1C/ELIP/AT-HSFA6B/ATHSP70/ATERDJ3A/ATHAP2B/AtGolS1/AtCCA1/ATBAG6/UBAC2B/AtCRL1/HSP70-8/HSP17.6B/CLPB-M/BBX18/AtERF53/HSP18.5/AtHsp90.5/ATCDSP32/ATHSP101/ATI3C/HSP17.6A/HSP17.4B/HSP17.6C/HSP26.5/ERF113/NA/AtDjB1/HSP70-5/CYP71B2/PAP3/HSP17.8/CYP18-1";70
"GO:0019684";"GO:0019684";"photosynthesis, light reaction";"38/1470";"138/14111";0,27536231884058;2,64329093956423;6,61516426678994;1,283824750808e-08;1,11692753320296e-05;1,07300721278058e-05;"PSBB/ATLFNR1/ABI2/LHCB3/ATFRO7/NA/ATSIG5/HCF145/STN8/CRR31/PGRL1A/PGRL1B/FIB/LHCA1/OEC33/CAB4/DEG1/DEG13/ATTS02/LHCB4.2/LHCB4.3/LHB1B2/AtPGR5/LHCB2/LHCB2/PSBR/AtLHCB7/LPA3/CRR23/STN7/PSBY/LHCA3/AtTLP18.3/AB165/NDF1/PAP3/LPA19/NA";38
"GO:0009414";"GO:0009414";"response to water deprivation";"77/1470";"402/14111";0,191542288557214;1,83867566927268;5,81748993863461;7,80055828758754e-08;4,52432380680077e-05;4,34641633708386e-05;"ABA1/ATMYB96/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATTIL/ABI2/LTI65/WSD1/ATRD22/SLAH3/ATMYB29/AtLEA4-5/DREB2/CPUORF47/ATCIPK14/ATPLAT1/NA/ABF3/ATOST1/ATCIPK6/ANAC072/ATCBF3/ALKBH6/ATCCD1/EDL3/ATHB-12/ATPIP1/AtREM4.1/AtPIP2;1/ATMYB94/AFL1/DEG13/ATMBF1C/AtBAM1/AZF2/ATNCED3/SINA2/AHG3/AIF/AtPP2CF1/LDAP2/AtGolS1/ATHB-7/AtMAX2/AtREM4.2/ATP5CS/AKR4C9/AKR4C8/PIP2;3/PIP2;2/AtCRL1/AtCLO3/XMPP/CV/AtERF53/AtPGR5/LHCB2/LHCB2/AtHsp90.5/ABC1K3/ATCDSP32/ATBBD1/ATWRKY57/ATHPR1/ATMGL/AtGolS2/NF-YA5/ALDH7B4/AKS1/ABF2/ERF113/bZIP62/ATGSTU17/AtLEA3/CER1";77
"GO:0009415";"GO:0009415";"response to water";"77/1470";"414/14111";0,185990338164251;1,78538072233724;5,53094243326514;2,73061622076372e-07;0,000118781805603222;0,000114111014699284;"ABA1/ATMYB96/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATTIL/ABI2/LTI65/WSD1/ATRD22/SLAH3/ATMYB29/AtLEA4-5/DREB2/CPUORF47/ATCIPK14/ATPLAT1/NA/ABF3/ATOST1/ATCIPK6/ANAC072/ATCBF3/ALKBH6/ATCCD1/EDL3/ATHB-12/ATPIP1/AtREM4.1/AtPIP2;1/ATMYB94/AFL1/DEG13/ATMBF1C/AtBAM1/AZF2/ATNCED3/SINA2/AHG3/AIF/AtPP2CF1/LDAP2/AtGolS1/ATHB-7/AtMAX2/AtREM4.2/ATP5CS/AKR4C9/AKR4C8/PIP2;3/PIP2;2/AtCRL1/AtCLO3/XMPP/CV/AtERF53/AtPGR5/LHCB2/LHCB2/AtHsp90.5/ABC1K3/ATCDSP32/ATBBD1/ATWRKY57/ATHPR1/ATMGL/AtGolS2/NF-YA5/ALDH7B4/AKS1/ABF2/ERF113/bZIP62/ATGSTU17/AtLEA3/CER1";77
"GO:0001101";"GO:0001101";"response to acid chemical";"80/1470";"438/14111";0,182648401826484;1,75330040692076;5,46141034927302;3,48130644422171e-07;0,000120842788447021;0,000116090954660538;"ABA1/ATMYB96/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATTIL/ABI2/LTI65/WSD1/ATRD22/SLAH3/ATMYB29/AtLEA4-5/DREB2/CPUORF47/ATCIPK14/ATPLAT1/NA/ATGLR3.2/ABF3/ATOST1/ATCIPK6/ANAC072/ATCBF3/ALKBH6/ATCCD1/EDL3/ATHB-12/ATPIP1/AtREM4.1/AtPIP2;1/ATMYB94/AFL1/DEG13/ATMBF1C/AtBAM1/AZF2/ATNCED3/SINA2/AHG3/AIF/AtPP2CF1/LDAP2/AtGolS1/ATHB-7/AtMAX2/AtREM4.2/ATP5CS/AKR4C9/AKR4C8/PIP2;3/PIP2;2/AtCRL1/AtCLO3/XMPP/CV/AtERF53/AtPGR5/LHCB2/LHCB2/AtHsp90.5/ABC1K3/ATCDSP32/ATBBD1/ATWRKY57/ATHPR1/ATMGL/AtGolS2/NF-YA5/ALDH7B4/AKS1/ABF2/ERF113/ATGLR3.3/bZIP62/ATGSTU17/ATGLR3.4/AtLEA3/CER1";80
"GO:0009644";"GO:0009644";"response to high light intensity";"22/1470";"66/14111";0,333333333333333;3,19977324263039;6,10830156227538;4,16699270506969e-07;0,000120842788447021;0,000116090954660538;"abc1k8/ATTIL/ABI2/LHCB3/CSD3/ATMYB29/ATSDX1/FIB/LHCA1/OEC33/CAB4/DEG13/ELIP/AtGolS1/AtPGR5/LHCB2/LHCB2/ABC1K3/ATHSP101/PSBY/LHCA3/SR45a";22
"GO:0009768";"GO:0009768";"photosynthesis, light harvesting in photosystem I";"12/1470";"23/14111";0,521739130434783;5,00834072759539;6,56047578142964;7,0599770230097e-07;0,000175490857429098;0,000168590128008111;"LHCB3/LHCA1/CAB4/DEG13/LHCB4.2/LHCB4.3/LHB1B2/LHCB2/LHCB2/AtLHCB7/LHCA3/AB165";12
"GO:0015979";"GO:0015979";"photosynthesis";"46/1470";"212/14111";0,216981132075472;2,08287126171223;5,41731937251925;9,90060174269062e-07;0,000195201597326853;0,000187525793439228;"PSBB/PSAA/ATLFNR1/ABI2/LHCB3/ATFRO7/NA/ATSIG5/HCF145/STN8/CRR31/PGRL1A/PGRL1B/FIB/LHCA1/OEC33/CAB4/DEG1/DEG13/ATTS02/LHCB4.2/ATBCA1/LHCB4.3/LHB1B2/PSBP-2/PDTPI/AtPGR5/LHCB2/LHCB2/PSBR/NA/AtLHCB7/LPA3/CRR23/STN7/PSBY/RPOD1/ATGPT2/LHCA3/AtTLP18.3/AB165/NDF1/CLPP6/PAP3/LPA19/NA";46
"GO:0009651";"GO:0009651";"response to salt stress";"79/1470";"442/14111";0,178733031674208;1,71571551697602;5,21332325566355;1,00966343444924e-06;0,000195201597326853;0,000187525793439228;"SLK2/HSP18.2/AtLtpI-11/ATTIL/LTI65/ATCP1/ATNIG1/DELTA-OAT/HSP15.7/WSD1/ATRD22/ATVSP2/ATSIG5/SLAH3/MCO2/CSD3/AtRGL3/AT-HSP17.6A/HSP17.6II/SIS/ATCIPK14/AIRP2/SNRK2-7/ATPLAT1/ADC2/ABF3/ATOST1/ATCIPK6/CYP709B3/CORI3/NA/ALKBH6/ATHSP22.0/EDL3/ATHB-12/AtREM4.1/ATHSP17.4/CYN/AZF2/mTERF11/CIPK1/ATNCED3/ATCCX3/ATPK1/RGL2/AT3G01472.1/ATTSPO/AtGolS1/AtREM4.2/ATP5CS/AKR4C9/AKR4C8/AtCLO3/HSP17.6B/AtCIPK16/AtERF53/HSP18.5/XER/AtHsp90.5/VQ9/ATWRKY57/HSP17.6A/AtGolS2/PCST1/SIBP1/ALDH7B4/HSP17.4B/HSP17.6C/5PTASE11/ABF2/ERF113/ATEGY3/ASK1/ATGSTU17/RAS1/HSP17.8/BBX24/BT3/AtLEA3";79
"GO:0006979";"GO:0006979";"response to oxidative stress";"70/1470";"380/14111";0,184210526315789;1,76829573934837;5,17726742049529;1,36800597086448e-06;0,000238033038930419;0,000228672998077136;"abc1k8/BT1/HSP18.2/ATTIL/AtOxR/VTC5/NA/NDH18/HSP15.7/DES1/ATVSP2/MCO2/AtHBP5/NA/CSD3/ATCHS/MAF1/AT-HSP17.6A/HSP17.6II/DREB2/ATCIPK14/CAT2/ADC2/Prx47/ATSDX1/APX6/ATGPX7/NA/MSRA4/ATFSD1/NA/MSRB2/ATHSP22.0/AtSIP2/ATHSP17.4/DUF760-6/ATACP5/APX1B/abc1k7/NA/AtGolS1/AtPRX25/ATP5CS/HSP17.6B/CV/ATGPX1/HSP18.5/NA/ABC1K3/NA/ATCDSP32/NA/AUXILIN-LIKE6/ALPHA/NA/TPX1/SAQR/HSP17.6A/ATMYB75/AtGolS2/HSP17.4B/ATMSRB1/HSP17.6C/NA/ANAC013/NA/ATDHAR1/NA/HSP17.8/BT3";70
