"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009415";"GO:0009415";"response to water";"83/1192";"414/14111";0,20048309178744;2,37333633239309;8,61492573293445;5,38382874345993e-14;9,19019566508611e-11;8,58012286062983e-11;"ATDI8/BON/AtRDUF2/LTP3/HAI1/ATOXS3/AtHsp90.2/COR78/LTI65/AtLSM5/NF-YB2/AtCML37/EGR2/CBP60G/ATRD22/ASUS1/AtCor6.6/KIN1/ZIFL1/WSD7/AtLEA4-5/ATCSP2/ANAC072/AIRP1/AMT1;1/ARCK1/MPC2L/AtLEA5/ATSUS3/ATWRKY70/LTI30/WSD6/ATLOX2/CYP71B15/ATRH9/ATGRP-5/APUM5/SINA2/AtEWR1/AHG3/ABCC4/ATMYB2/ATHB-7/LEA27/AtCOR15A/ATWRKY54/ANNAT4/AtLtpI-5/ATWRKY33/AtPUB23/ATGSTF10/HIS4/CV/ATGRP7/RD2/HIS1-3/ERD7/AtCYP19-1/AtCAPE9/ATGRP-3/ADH/ATHVA22A/AtRPK1/LDAP1/PROSCOOP39/ATMGL/VI1/ABCG36/AtGolS2/ANAC019/ATBG1/ANN1/ADR1/CuAOalpha2/COR413-TM1/PROSCOOP13/ERD10/AtCOR47/HUP35/ERD6/ATEXO70B2/ATGST1/AtLEA14";83
"GO:0001101";"GO:0001101";"response to acid chemical";"85/1192";"438/14111";0,194063926940639;2,2973456988753;8,37814842916455;1,79062332170944e-13;1,35000051381576e-10;1,26038342300562e-10;"ATDI8/BON/AtRDUF2/LTP3/HAI1/ATOXS3/AtHsp90.2/COR78/LTI65/AtLSM5/NF-YB2/AtNPF5.2/AtCML37/EGR2/CBP60G/ATRD22/ASUS1/AtCor6.6/KIN1/ZIFL1/WSD7/AtLEA4-5/ATCSP2/ANAC072/AIRP1/AMT1;1/ARCK1/MPC2L/AtLEA5/ATSUS3/ATWRKY70/LTI30/WSD6/ATLOX2/CYP71B15/ATRH9/ATGRP-5/APUM5/SINA2/AtEWR1/AHG3/ABCC4/ATMYB2/ATHB-7/LEA27/AtCOR15A/ATWRKY54/ANNAT4/AtLtpI-5/ATWRKY33/AtPUB23/ATGSTF10/ATGLR2.8/HIS4/CV/ATGRP7/RD2/HIS1-3/ERD7/AtCYP19-1/AtCAPE9/ATGRP-3/ADH/ATHVA22A/AtRPK1/LDAP1/PROSCOOP39/ATMGL/VI1/ABCG36/AtGolS2/ANAC019/ATBG1/ANN1/ADR1/CuAOalpha2/COR413-TM1/PROSCOOP13/ERD10/AtCOR47/HUP35/ERD6/ATEXO70B2/ATGST1/AtLEA14";85
"GO:0009414";"GO:0009414";"response to water deprivation";"80/1192";"402/14111";0,199004975124378;2,35583825837257;8,37732198953152;2,3725843828045e-13;1,35000051381576e-10;1,26038342300562e-10;"ATDI8/AtRDUF2/LTP3/HAI1/ATOXS3/AtHsp90.2/COR78/LTI65/AtLSM5/NF-YB2/AtCML37/EGR2/CBP60G/ATRD22/ASUS1/AtCor6.6/KIN1/ZIFL1/WSD7/AtLEA4-5/ATCSP2/ANAC072/AIRP1/ARCK1/MPC2L/AtLEA5/ATSUS3/ATWRKY70/LTI30/WSD6/ATLOX2/CYP71B15/ATRH9/APUM5/SINA2/AtEWR1/AHG3/ABCC4/ATMYB2/ATHB-7/LEA27/AtCOR15A/ATWRKY54/ANNAT4/AtLtpI-5/ATWRKY33/AtPUB23/ATGSTF10/HIS4/CV/ATGRP7/RD2/HIS1-3/ERD7/AtCYP19-1/AtCAPE9/ATGRP-3/ADH/ATHVA22A/AtRPK1/LDAP1/PROSCOOP39/ATMGL/VI1/ABCG36/AtGolS2/ANAC019/ATBG1/ANN1/ADR1/CuAOalpha2/COR413-TM1/PROSCOOP13/ERD10/AtCOR47/HUP35/ERD6/ATEXO70B2/ATGST1/AtLEA14";80
"GO:0009620";"GO:0009620";"response to fungus";"66/1192";"315/14111";0,20952380952381;2,48036113774369;8,07111518042494;2,8193202137327e-12;1,20314490121043e-09;1,12327652726087e-09;"NA/ERF114/CYP81F2/ATRBOHD/UPI/CBP60G/ATWRKY50/CIPK25/NOXY2/anac081/ADR1-L2/ATWRKY18/NA/APG8A/CYP707A1/ACD6/AZI3/EARLI1/AtPME41/AtKPI-1/ATWRKY70/ATJRG21/ATSYP122/NA/SSL5/LTI30/HR4/HR3/ATPCB/ATLOX2/CYP71B15/AtRLP42/LTPG5/PCC1/ATBFRUCT1/AtEWR1/AT-SYR1/CML36/ATCNGC11/AtPME17/NA/ATTI1/COR15B/ATWRKY54/AtC3H29/ATWRKY33/AS1/AtC3H20/LURP1/AtOPR3/ATWRKY40/VQ10/ATMKK9/ATKTI1/ABCG36/AtTSA1/ATBG1/ATH5/ADR1/AT3-MMP/AtWAK1/AtCOR47/ATMLO2/ATEXO70B2/ACO4/AtLEA14";66
"GO:0009617";"GO:0009617";"response to bacterium";"86/1192";"474/14111";0,181434599156118;2,14783861467448;7,72143050261943;5,99871403238188e-12;2,04796097065517e-09;1,91201116737393e-09;"eS19x/CYP81F2/AtHsp90.2/COR78/ATWRKY48/BIR1/ATERF-2/AtNPF5.2/PROSCOOP4/ARA8/CML46/ATL31/CBP60G/LSU2/ATWRKY38/NA/DSC2/NOXY2/ADR1-L2/AtHsp70-2/EDS5/ATCAD8/ATWRKY18/HAE/P3z/ATWRKY53/CRK23/CRK15/CRK13/CRK7/CRK6/SOBER1/LOL2/AtS40-3/ACD6/AtNUDT7/EARLI1/MEE54/AtPFA-DSP4/LecRK-IV.4/ATHLECRK/ACA11/AtBG3/ATWRKY70/HR4/ATERF#011/ATPCB/ATEDS1/ATLOX2/AIG2/CYP71B15/LTPG5/PCC1/NDR1/ATCOX17/IDL7/PBL39/LecRK-VI.1/ATL6/AtSDR3/ATCNGC11/AtPME17/PRN2/ATWRKY54/ATWRKY33/LecRK-IV.1/AS1/AtDRM2/PME12/ATWRKY40/SARD1/ATKTI1/ATLOX4/PROSCOOP39/VI1/ABCG36/RACK1B/AIG1/ADR1/AtS40-1/PROSCOOP13/HUP35/APK2A/ATEXO70B2/NIMIN-1/ACBK1";86
"GO:0009751";"GO:0009751";"response to salicylic acid";"42/1192";"170/14111";0,247058823529412;2,924703908409;7,66882117417628;1,3455381360037e-10;3,82805599693052e-08;3,57393813668351e-08;"ATBT4/KH29/AtNPF5.2/PROSCOOP4/ATWRKY38/anac081/PROSCOOP15/EDS5/AEP3/ATWRKY18/ATWRKY53/CRK9/AtS40-3/ACD6/ATWRKY70/ATSYP122/NA/SSL5/HR4/ATBT2/ATEDS1/PCC1/ATGRP-5/AT-SYR1/ATWRKY54/LecRK-IV.1/ATGRP23/ATGSTU7/LURP1/ATGRP-3/ATNUDT6/ATWRKY40/ATEXT1/DHAR2/ATKTI1/PROSCOOP40/PROSCOOP39/CuAOalpha2/PROSCOOP13/AtWAK1/AtRDR1/NA";42
"GO:0009611";"GO:0009611";"response to wounding";"50/1192";"230/14111";0,217391304347826;2,57349722789612;7,30813747713219;3,32353427450569e-10;8,10467572368746e-08;7,56666299488966e-08;"ATBT4/AtZAT12/ATOXS3/CYP96A4/COR78/ATNRT3.1/ATRBOHD/AtNPF5.2/PROSCOOP4/PROSCOOP1/LCR77/UPI/AtHNL/anac081/ADC2/AEP3/CORI3/ANS/CYP74B2/EFD/NA/ATBT2/ATLOX2/ANAC059/JMJ30/AtJAC1/NA/LIK1/ATBFRUCT1/ABCC4/NA/ATOEP16-1/TAT/AtOPR3/ATRNS1/ATWRKY40/ATEXT1/SS2/ATMKK9/ATKTI1/ATLOX4/IAR3/NA/CuAOalpha2/IGMT2/HUP35/JAZ5/ERF59/5PTASE13/AtLEA14";50
"GO:0050832";"GO:0050832";"defense response to fungus";"50/1192";"231/14111";0,216450216450216;2,56235654725588;7,27241399778974;3,90254813248485e-10;8,32706207768956e-08;7,77428667445009e-08;"ERF114/CYP81F2/ATRBOHD/UPI/ATWRKY50/CIPK25/NOXY2/ADR1-L2/ATWRKY18/NA/APG8A/CYP707A1/ACD6/AZI3/EARLI1/AtPME41/AtKPI-1/ATWRKY70/ATJRG21/ATSYP122/LTI30/ATPCB/CYP71B15/AtRLP42/LTPG5/PCC1/ATBFRUCT1/AtEWR1/AT-SYR1/CML36/ATTI1/COR15B/ATWRKY54/AtC3H29/ATWRKY33/AS1/AtC3H20/LURP1/ATWRKY40/VQ10/ABCG36/AtTSA1/ATBG1/ATH5/ADR1/AT3-MMP/AtWAK1/AtCOR47/ATEXO70B2/AtLEA14";50
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"46/1192";"212/14111";0,216981132075472;2,56864157274915;6,99015907561979;1,80922695265937e-09;3,43150045354393e-07;3,20370714190208e-07;"NA/ANAC102/AtZAT12/CYP81F2/ATRBOHD/AtCML37/ATL31/CBP60G/FLOT1/ASUS1/AtZAT6/PFK3/NA/DVL10/AtNUDT7/ATWRKY70/AtC3H47/ATPSK3/ETR2/ATPK19/NA/NA/HRU1/AtGDPD1/ATCAL4/CML10/AtC3H29/NA/IQM4/NA/ATPUMP5/AHB1/ATSERK4/ATLPP1/RHA2B/ADH/ATMKK9/AtPPsPase1/DUF569/LDAP1/NA/NA/AtTEM1/NA/HUP35/NA";46
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"46/1192";"214/14111";0,214953271028037;2,54463557674214;6,9160731306623;2,48832504627647e-09;3,86142804908539e-07;3,60509485173452e-07;"NA/ANAC102/AtZAT12/CYP81F2/ATRBOHD/AtCML37/ATL31/CBP60G/FLOT1/ASUS1/AtZAT6/PFK3/NA/DVL10/AtNUDT7/ATWRKY70/AtC3H47/ATPSK3/ETR2/ATPK19/NA/NA/HRU1/AtGDPD1/ATCAL4/CML10/AtC3H29/NA/IQM4/NA/ATPUMP5/AHB1/ATSERK4/ATLPP1/RHA2B/ADH/ATMKK9/AtPPsPase1/DUF569/LDAP1/NA/NA/AtTEM1/NA/HUP35/NA";46
