"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0015979";"GO:0015979";"photosynthesis";"98/1258";"212/14111";0,462264150943396;5,18522212556619;19,2086232809964;4,17745192399014e-47;7,03482903999939e-44;6,37171351353865e-44;"PSBB/PSAA/PSAB/MSP-1/ATLFNR1/PSAN/EMB2728/LHCB3/CRR1/ATFRO7/AtCEST/RBCS3B/NA/ATSIG5/HCF145/STN8/LHCB4.1/HCF244/ATHDA14/FAD6/NARA5/ATCNFU3/CRR31/PGRL1A/PAM68/DEG5/PPD1/PGRL1B/LHCB5/ATPD/PSBQ/ATKEA3/ATPC1/FIB/MPH2/TROL/LHCA2/PPD6/NA/PPL1/LHCA1/OEC33/CAB4/DEG1/DEG13/NDF4/ADS3/PGK1/LHCB4.2/PPD7/CS26/ATBCA1/CURT1B/PnsL1/EDA3/DEG11/LHB1B2/PSBP-2/NA/PSB29/AtPGR5/LHCB2/LHCB2/PQL3/CRR3/PSBR/NA/AtLHCB7/NA/LQY1/LPA3/CRR23/STN7/PSBY/RBCS1A/RPOD1/LHCA3/MET1/NDF5/AtTLP18.3/NA/GAPB/OHP2/PRK/AB140/AB165/AB180/ATLFNR2/LHCA2*1/HCF173/NDF1/CP24/GAPA-2/CLPP6/OE23/LPA19/PSB27/NA";98
"GO:0019684";"GO:0019684";"photosynthesis, light reaction";"74/1258";"138/14111";0,536231884057971;6,01491901108269;18,5208200053569;1,73305544651484e-41;1,4592326859655e-38;1,32168281157895e-38;"PSBB/PSAB/MSP-1/ATLFNR1/PSAN/LHCB3/CRR1/ATFRO7/AtCEST/ATSIG5/HCF145/STN8/LHCB4.1/HCF244/ATHDA14/FAD6/ATCNFU3/CRR31/PGRL1A/PAM68/DEG5/PPD1/PGRL1B/LHCB5/ATPD/PSBQ/ATPC1/FIB/MPH2/TROL/LHCA2/NA/LHCA1/OEC33/CAB4/DEG1/DEG13/NDF4/ADS3/LHCB4.2/CURT1B/EDA3/DEG11/LHB1B2/PSB29/AtPGR5/LHCB2/LHCB2/PQL3/CRR3/PSBR/AtLHCB7/LQY1/LPA3/CRR23/STN7/PSBY/LHCA3/MET1/NDF5/AtTLP18.3/NA/OHP2/AB140/AB165/AB180/LHCA2*1/HCF173/NDF1/CP24/OE23/LPA19/PSB27/NA";74
"GO:0006091";"GO:0006091";"generation of precursor metabolites and energy";"101/1258";"376/14111";0,268617021276596;3,01308011703819;12,3777647310843;5,4035074206268e-25;3,03316883211185e-22;2,74725693069763e-22;"ORF313/NAD4/COX2/NDHD/PSBB/ATPE/PSAB/MSP-1/ATLFNR1/PSAN/EMB2728/NADP-MDH/LHCB3/CRR1/ATFRO7/AtCEST/G6PD1/NA/PGL5/ATSIG5/ADG2/AtUGP2/HCF145/SBE2.2/STN8/LHCB4.1/AtFBA2/HCF244/ATHDA14/NA/FAD6/ATATG18B/AtFBA5/AtFBA7/ATCNFU3/CRR31/PGRL1A/PAM68/DEG5/PPD1/PGRL1B/LHCB5/ATPD/PSBQ/ATPC1/FIB/MPH2/TROL/LHCA2/NA/LHCA1/OEC33/NA/CAB4/DEG1/DEG13/AOX1A/NDF4/ADS3/PGK1/HUP26/LHCB4.2/CURT1B/EDA3/DEG11/LHB1B2/HGML/AtFBA1/PSB29/AtPGR5/LHCB2/LHCB2/PQL3/CRR3/PSBR/AtLHCB7/LQY1/LPA3/CRR23/STN7/PSBY/LHCA3/MET1/NDF5/AtTLP18.3/NA/ATHKL1/OHP2/AB140/AB165/AB180/ATLFNR2/LHCA2*1/HCF173/NDF1/CP24/ATFD1/OE23/LPA19/PSB27/NA";101
"GO:0009765";"GO:0009765";"photosynthesis, light harvesting";"28/1258";"39/14111";0,717948717948718;8,05323875912111;13,7989026052792;1,93708621308968e-21;8,15513295710754e-19;7,3864155862288e-19;"PSAB/LHCB3/LHCB4.1/DEG5/LHCB5/MPH2/LHCA2/LHCA1/CAB4/DEG1/DEG13/LHCB4.2/DEG11/LHB1B2/LHCB2/LHCB2/AtLHCB7/LQY1/LHCA3/MET1/AtTLP18.3/AB140/AB165/AB180/LHCA2*1/CP24/LPA19/PSB27";28
"GO:0009768";"GO:0009768";"photosynthesis, light harvesting in photosystem I";"20/1258";"23/14111";0,869565217391304;9,75392272067464;13,144483589571;1,19332401055531e-18;4,01911526755029e-16;3,64026629746242e-16;"PSAB/LHCB3/LHCB4.1/LHCB5/LHCA2/LHCA1/CAB4/DEG13/LHCB4.2/DEG11/LHB1B2/LHCB2/LHCB2/AtLHCB7/LHCA3/AB140/AB165/AB180/LHCA2*1/CP24";20
"GO:0009657";"GO:0009657";"plastid organization";"67/1258";"278/14111";0,241007194244604;2,70338037995677;8,973821440226;2,15893344230439e-14;6,05940652806764e-12;5,48823606648957e-12;"NCH1/CDF1/AtOR/AtcPT4/GATA21/RPL24/CAA33/AtCEST/ATGLK2/PMI15/ATPRFB/ATSIG5/EFO2/HCF136/ATYLMG2/DY1/ATTIC40/NA/ATTERC/RIQ1/SAMC1/mTERF6/CDB1/HSP21/CGA1/ATCNFU3/SECE1/PTAC5/ATKEA3/CSP41A/ACSF/NA/RSY3/ARC5/HCF107/PGK1/ATCOL2/CURT1B/SPA1/EDA3/RPT2/AtPP2C26/MAPKKK14/ALB3/ATSULA/PSB29/PDV2/CS17/ABC1K3/BBX22/AUXILIN-LIKE6/PMI2/IM30/THRUMIN1/ATSCO1/ClpR1/NA/CP22/SGRL/PMI1/ASD/AtLrgB/MCD1/CLPP6/EMB3103/CRB/ABC1";67
"GO:0009767";"GO:0009767";"photosynthetic electron transport chain";"25/1258";"53/14111";0,471698113207547;5,29104298527162;9,79130556264565;3,51728463788536e-13;8,46158190028422e-11;7,66397810570811e-11;"PSBB/MSP-1/ATLFNR1/PSAN/ATFRO7/FAD6/CRR31/PGRL1A/PGRL1B/ATPD/PSBQ/ATPC1/FIB/TROL/OEC33/NDF4/ADS3/CURT1B/AtPGR5/PQL3/CRR3/CRR23/PSBY/NDF5/NDF1";25
"GO:0009639";"GO:0009639";"response to red or far red light";"54/1258";"224/14111";0,241071428571429;2,7041008971156;8,04297409941753;7,40593744547934e-12;1,5589498322734e-09;1,41200044190784e-09;"ABA1/NF-YC4/AtOR/PIF7/BHLH136/ATSIG5/CaS/BHLH134/PKS4/APRR7/BBX19/SAUR16/NA/ATH1/IAA29/BBX28/CGA1/TCP2/ATHB-2/ATCRY1/NA/A-PUT2/AMP1/DEG13/DVL6/AtBBX32/HYH/HCF107/SPA3/APRR9/SPA1/AtPIF4/AtHBP2/BBX25/CYP707A2/ATCOL3/AFR/ATRL2/BBX18/PIF1/LHCB2/LHCB2/ABC1K3/BBX22/BBX16/AT-EXP1/IAA6/ATGA3OX1/AtSBH2/DVL4/ATGSTU17/ABC1/BBX24/FBI1";54
"GO:0009658";"GO:0009658";"chloroplast organization";"51/1258";"209/14111";0,244019138755981;2,73716539506013;7,91547978500719;1,75467028407646e-11;3,28318306487196e-09;2,97370437617169e-09;"NCH1/CDF1/AtOR/GATA21/CAA33/AtCEST/ATGLK2/PMI15/ATSIG5/EFO2/ATYLMG2/ATTIC40/NA/RIQ1/SAMC1/mTERF6/CDB1/HSP21/CGA1/ATCNFU3/PTAC5/ATKEA3/CSP41A/ACSF/NA/RSY3/ARC5/ATCOL2/CURT1B/SPA1/RPT2/MAPKKK14/ATSULA/PDV2/ABC1K3/BBX22/AUXILIN-LIKE6/PMI2/THRUMIN1/ATSCO1/ClpR1/NA/SGRL/PMI1/ASD/AtLrgB/MCD1/CLPP6/EMB3103/CRB/ABC1";51
"GO:0009644";"GO:0009644";"response to high light intensity";"26/1258";"66/14111";0,393939393939394;4,41882256588139;8,70941994370708;1,96099278607966e-11;3,30231185175814e-09;2,99103004950466e-09;"MSP-1/abc1k8/LHCB3/CSD3/ATMYB29/ATSDX1/FAD6/AtFKBP16-1/ATCRY1/ATKEA3/FIB/LHCA2/LHCA1/OEC33/CAB4/DEG13/ADS3/CAO/AtGolS1/AtPGR5/LHCB2/LHCB2/ABC1K3/PSBY/LHCA3/MET1";26
