	SRX2513387	SRX2513388	SRX2513389	SRX2513390	SRX2513391	SRX2513392
AT1G01010	68.8065496786494	53.9807125371737	55.706284504299	33.7583249201571	52.7593337933194	67.7095403467362
AT1G01020	216.437995605508	171.136087723388	188.147205494043	327.754522389956	383.485861860216	365.532849832451
AT1G01030	83.6213787187961	101.774712105505	70.4774430494286	33.6708810273793	57.304648023083	51.7351836983201
AT1G01040	1073.19779436642	1012.66619381564	1022.10425405349	1077.18731804728	1023.16153945922	1181.14816616719
AT1G01050	900.047507212382	945.266924579497	981.950492203263	823.274011573796	883.828451051818	1029.5509980534
AT1G01060	1690.47886196393	1737.94199683475	1281.20315741676	482.730396394112	373.361119136243	66.4715587121552
AT1G01080	609.884767134765	662.820640227993	633.328636059573	297.16193784048	396.711831005078	283.086725481157
AT1G01090	2208.15267539762	2263.45139795132	1927.92824239045	1391.54465168355	1168.73418003311	578.77579964297
AT1G01100	10481.3964084391	6454.90627524422	6537.90801709952	10120.6120018318	7185.8664008715	7289.24508475496
AT1G01110	393.806272701175	329.286158453705	348.494874332508	201.776620103448	183.759640417375	235.367226437504
AT1G01120	760.30684053111	909.210676093135	885.594562251336	370.59327940391	520.913711856773	552.026738053224
AT1G01130	36.0845754165972	38.4970168139906	39.0707303700827	4.90699597602099	12.9238651924761	12.5999516320552
AT1G01140	938.173157906087	1087.10562225752	1247.75640365272	1871.2727500736	1853.34749251956	1598.20342278029
AT1G01150	16.0657153096423	9.82387645067861	11.0959158130851	6.06636959466706	6.13138552500913	2.1171092081136
AT1G01160	992.543108271901	819.695398793227	810.274664846187	997.63324726161	919.500668509968	1266.11926075823
AT1G01170	634.178131757986	681.235340240003	786.613816328707	986.866234851436	1205.00036188982	1780.14548515098
AT1G01210	225.331129840979	249.92577347692	279.259984383477	406.015791353751	538.867655017213	590.15823200617
AT1G01220	436.060655898121	475.41808555917	473.405411203387	285.850950943621	288.888153996466	315.968902882659
AT1G01225	116.197858428396	118.031297773788	136.829187177405	61.8219130919439	93.7763787835599	54.6250389699357
AT1G01230	276.39465270131	235.785935020099	260.578014236705	122.73202852924	154.142027141406	257.742079359473
AT1G01240	187.529729899004	190.441378444997	261.122460577649	458.324920845804	511.710738437435	1173.98785635994
AT1G01250	49.8690269469182	45.0392861975599	76.8192674021416	12.4224390249393	9.25104814010243	8.92339255502158
AT1G01260	374.513533478611	400.978680345289	423.211579853387	268.281611753775	250.769978870345	270.83378950269
AT1G01290	288.626299316874	279.724590447285	327.787792129503	293.154036211268	345.227774892965	522.373923686296
AT1G01300	3115.27335293795	2787.99080228289	2699.57851806565	947.880558214608	938.288232936066	1000.4395071838
AT1G01320	2965.43214793751	4164.25687903492	3692.00185172953	6718.64473409275	6629.27503002845	5679.83906624064
AT1G01340	22.2715173518361	22.9745322292042	17.4450245428167	160.406612990695	183.673513749759	22.7005279466561
AT1G01350	413.161930876468	358.708570029997	381.54039041086	1582.31715627695	1063.28965620693	537.28991197283
AT1G01360	226.078489659725	258.692892431134	304.361656547206	1106.12971746702	721.036273923058	847.739625947801
AT1G01370	536.900353696215	440.797330200008	440.739075132656	223.930045898627	189.14368078586	162.820345211374
AT1G01430	156.869259312623	212.495694718782	197.912781058356	277.082531835256	331.458239547447	253.12643484005
AT1G01440	255.66910355179	288.734350853213	299.487687788687	209.28903809714	238.500793066101	276.249680866643
AT1G01448	143.465836694339	225.666819353828	214.635337298483	288.445301721442	453.982691871929	558.563420176852
AT1G01470	50.1765809306522	21.536189095682	72.9575338483662	689.541995909807	378.007401718277	509.261864802835
AT1G01490	800.299563487511	771.259496657207	659.448862720807	515.353776844078	406.368172006398	528.579422375059
AT1G01500	124.317458326502	131.929638309763	125.388162697682	190.168599404036	164.533865068107	142.417133395776
AT1G01510	1282.0016520619	1200.1392897531	1282.23217280521	1731.62837513829	1680.50132341342	1533.5872539542
AT1G01520	17.5181239653358	24.4835473908671	30.082489691789	69.0816871336324	66.2889904734007	184.417497716404
AT1G01540	1092.67123647069	965.453214274314	904.417941527172	1176.73420540699	1146.47264917386	838.790682268477
AT1G01550	1267.10269666762	1342.55595199072	1301.71864786694	1005.84480106115	991.227183275391	964.444841151408
AT1G01560	48.0332754613648	65.5553113901831	35.6531561924646	10.765595741418	24.7785778956082	12.9617332105119
AT1G01570	42.6845803169294	57.4895652271962	60.0160775958169	23.1424893882428	42.0077942886552	61.1071246703979
AT1G01590	30.9269721880325	47.9732493098254	23.5666799743039	9.17044842382036	5.18344013314272	1.99423824699766
AT1G01600	342.510875211939	647.920072468912	375.086046847865	391.620963298863	317.075751201527	190.390128733664
AT1G01610	853.212954810526	982.049083662531	883.444951147343	1048.14614262508	1003.15940513869	1125.7157883331
AT1G01620	9764.74051331457	9297.87420622772	9279.32345725366	9090.04967498511	9753.88509537122	9613.79497901933
AT1G01630	498.881942788065	582.156216009861	472.942866095003	265.909857603319	249.089275168891	246.793646640467
AT1G01640	14.2517269366643	7.63868796832146	5.17792579642471	3.07543012642517	5.2471460717564	16.8197806232118
AT1G01650	799.652340379339	819.276253487361	851.8776808789	944.043713617616	1188.82290422292	1973.29736707219
AT1G01660	41.6008049057129	40.2599138884778	43.714891160481	39.9530516173039	46.8472338194461	108.770901087481
AT1G01670	57.0141219240705	53.5384117788053	52.8928644150596	45.9293551687635	74.845578655028	155.624652847498
AT1G01690	415.868665899302	380.70512780663	390.040315696398	115.339550639911	101.009422495146	87.3499361088319
AT1G01695	18.8568787043081	23.130417414172	26.1084307260371	4.60438159925732	5.17189802852609	7.96523221173578
AT1G01700	41.4827552823826	35.4620471501444	25.4891825795536	37.3864255413116	7.08307541487524	8.4557756500268
AT1G01710	540.014750558907	613.884427787686	582.341265477719	547.756792470638	573.13850305174	750.802952537092
AT1G01715	44.5963108954873	63.0961393214028	61.1024492516915	140.667695724736	191.916980099351	197.946626009735
AT1G01720	613.82346738728	699.288081684307	606.570445983995	2788.82113683853	2324.20604175368	3481.75764425986
