	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	55.4534576300558	-0.192503129614441	0.363564824203472	-0.529487774391246	0.596467123154969	0.679372325123287
AT1G01020	275.415753817594	0.907887298842242	0.180869853067729	5.01956121179727	5.17896410458041e-07	2.77340858021479e-06
AT1G01030	66.4307077704186	-0.828128874066716	0.335968888716238	-2.46489750057232	0.0137052451074582	0.0279774884874409
AT1G01040	1064.91087765154	0.0790476272815181	0.122039586913639	0.647721196708538	0.5171652919927	0.608727181193559
AT1G01050	927.319730779026	-0.045253636309924	0.144149201031489	-0.313936088345286	0.753569580426166	0.812409098391728
AT1G01060	938.697848409658	-2.3538385401835	0.548026096063583	-4.29512126720039	1.7459787037562e-05	7.00408414181187e-05
AT1G01080	480.499089624841	-0.962192962755772	0.187311877498353	-5.13684970545572	2.7938221152492e-07	1.57585951673802e-06
AT1G01090	1589.76449118317	-1.02884075534052	0.310536034735284	-3.31311229699173	0.000922639266768282	0.00257290540982882
AT1G01100	8011.65569804018	0.0672398125512854	0.253251353057387	0.265506232205791	0.79061950948587	0.841945962627289
AT1G01110	282.081798740953	-0.784846492366659	0.187236308793593	-4.19174303009714	2.76819438577569e-05	0.000106765753709559
AT1G01120	666.440968031581	-0.820155459582118	0.202220280850261	-4.05575274712146	4.99731013303634e-05	0.000183291137900626
AT1G01130	24.0138559002038	-1.8417378222222	0.501755727871919	-3.67058654224737	0.000241994516294956	0.000766725610674585
AT1G01140	1432.64314153163	0.700912000952226	0.163879136959337	4.27700568819899	1.89423964483592e-05	7.53479158487252e-05
AT1G01150	8.55006198353262	-1.38391896996887	0.792700469693817	-1.74582837134361	0.0808407794248629	0.131426070604593
AT1G01160	967.627724740187	0.280626125322018	0.187012036520617	1.50057788013597	0.133464776113429	0.201230376371563
AT1G01170	1012.33989503649	0.919195016896499	0.249545092985863	3.68348263593615	0.000230068962779291	0.000733995364873089
AT1G01210	381.593094346419	1.02801217348922	0.20879229762767	4.92361157556888	8.49613976204844e-07	4.35817871573304e-06
AT1G01220	379.265360080571	-0.635299958030412	0.145113587450513	-4.37794950281318	1.1980109771984e-05	4.95046969809979e-05
AT1G01225	96.8802790375048	-0.814909477612984	0.299312517663674	-2.72260406605736	0.00647696305839345	0.0144617863750736
AT1G01230	217.895789498039	-0.524225412576971	0.306893763152435	-1.70816574176057	0.0876055932136925	0.14070869561899
AT1G01240	463.852847427471	1.74738963248337	0.382286830442399	4.57088629095911	4.85665772512423e-06	2.15910109736501e-05
AT1G01250	33.7207433777805	-2.51169310033501	0.488581916436939	-5.14078195658967	2.73597412776345e-07	1.54496735638889e-06
AT1G01260	331.431528967349	-0.602586929471077	0.150698717899714	-3.9986201466696	6.37128368402572e-05	0.000229030226961901
AT1G01290	342.815736114032	0.376255395724206	0.259171843469593	1.45176030963545	0.146568263476022	0.217705503129383
AT1G01300	1914.90849527016	-1.5748886585923	0.120478364444405	-13.0719624710629	4.76209282715397e-39	5.54723534707397e-37
AT1G01320	4974.90828484397	0.813910075626802	0.173961725458056	4.67867327415676	2.88737108530127e-06	1.34264943974153e-05
AT1G01340	71.5786214684945	2.54533441046218	0.67908119982827	3.74820332399992	0.000178105847948702	0.000582658750710247
AT1G01350	722.71793596234	1.46329273133815	0.359411997180882	4.07135193820954	4.67410680484888e-05	0.000172364126914934
AT1G01360	577.33977599599	1.758795010308	0.225776396064433	7.7899862030133	6.70165124514781e-15	1.12642822983512e-13
AT1G01370	332.38847182079	-1.30605543378948	0.200076080374228	-6.5277939839015	6.67454140877483e-11	6.66548750018995e-10
AT1G01430	238.157490218752	0.601913019679096	0.216320698208872	2.78250312921008	0.00539413451217465	0.012296141404084
AT1G01440	261.321775703929	-0.21642602000749	0.189321013561178	-1.14316956124658	0.252968197523017	0.341490367860579
AT1G01448	314.126567852812	1.15789142169713	0.309161047161661	3.74526943910781	0.000180200273451122	0.000588777921687892
AT1G01470	286.91359438427	3.44922870454428	0.426733512866939	8.08286342774255	6.3263459145496e-16	1.17493841127432e-14
AT1G01490	613.551549015177	-0.622599180991282	0.177241014823576	-3.51272633826325	0.000443534051800461	0.00132530101272114
AT1G01500	146.459142866978	0.37386102754377	0.211617508377351	1.76668287236948	0.0772813533553016	0.126307771259907
AT1G01510	1451.68167785435	0.393171026458384	0.115455473365691	3.4053909701887	0.000660693899605879	0.00190090217637114
AT1G01520	65.3120560619048	2.15154255281243	0.516893378829512	4.16244943528689	3.14851877062697e-05	0.000120075607072916
AT1G01540	1020.75665485359	0.0929634716414364	0.18855455485381	0.493032224618031	0.621989818182909	0.701840635378361
AT1G01550	1145.48235366887	-0.402180881682389	0.105094846502936	-3.82683732899455	0.000129800230924567	0.000437701218425552
AT1G01560	32.9579416485917	-1.60275698432887	0.507742704048726	-3.15663223035709	0.00159602504526125	0.0041988051683867
AT1G01570	47.7412719145397	-0.328973679750938	0.437214093464558	-0.752431553942133	0.451791576908969	0.546802391859642
AT1G01590	19.8025047126871	-2.72157812594873	0.696482483718075	-3.90760455513534	9.32157074699121e-05	0.000323826933934264
AT1G01600	377.433972960462	-0.606511311982123	0.353912351519228	-1.71373310193491	0.0865777545840764	0.139313129316308
AT1G01610	982.621387619544	0.224490668693932	0.130078136673278	1.72581399484368	0.0843808812690503	0.136442622413582
AT1G01620	9466.6113210286	0.00609248027367344	0.0925059840138623	0.0658603909641182	0.947488975514617	0.962710312153391
AT1G01630	385.962300717601	-1.03145939641095	0.164255466861009	-6.27960466779324	3.39435018275851e-10	3.05940328666358e-09
AT1G01640	8.70178292046731	-0.0683145176377583	0.914068302635707	-0.0747367756225373	0.940424146767031	0.957699685788037
AT1G01650	1096.16170994305	0.733846984778779	0.280383539635414	2.61729695592334	0.00886291995734408	0.019032625514897
AT1G01660	53.5244660798172	0.65207185688816	0.465874832159466	1.39967178279543	0.161611627311143	0.236012219365356
AT1G01670	73.3074974648709	0.767101273364549	0.471458235311608	1.62708213773705	0.103719654154417	0.162727835198367
AT1G01690	248.385503107703	-1.97694869329885	0.189899522532016	-10.4104984938314	2.22055813755095e-25	1.04525249415921e-23
AT1G01695	14.3062064473394	-1.91610551647455	0.621028933884831	-3.0853723746628	0.00203297451606844	0.00521999106699773
AT1G01700	25.8932102697157	-0.989368492871268	0.711432452993901	-1.39067101691487	0.164325210296323	0.239253658373849
AT1G01710	601.323115313964	0.110182322403873	0.181961890751168	0.605524167445297	0.544830771730826	0.633976756256297
AT1G01715	116.554366883734	1.66140549200523	0.277138956849639	5.99484645136563	2.03677799758405e-09	1.62774203410918e-08
AT1G01720	1752.41113631794	2.16239531678467	0.192502760678303	11.2330613294337	2.80585334596709e-29	1.78894428804659e-27
AT1G01725	138.257532101732	0.803230540288549	0.29182167983859	2.75247041526465	0.00591474903764642	0.0133473462528056
AT1G01730	449.485186413565	-0.956605992760168	0.159791102279799	-5.98660362881234	2.14268091780676e-09	1.70792734050383e-08
AT1G01740	87.9511450819479	-0.079345431434009	0.242203810864588	-0.327597782837404	0.743215798551444	0.804072817560506
AT1G01760	59.1862782113718	-0.439397913544483	0.371668884416754	-1.18222948427339	0.237114656620385	0.323745938805503
AT1G01770	304.212710796233	1.17636990438744	0.350044364044443	3.36063089488303	0.000777646726962423	0.00220058241232217
AT1G01780	93.9285841226612	0.97123818481611	0.368569817113077	2.635153883255	0.00840991466194808	0.0181693249622203
AT1G01790	674.750432740872	-1.69950356958466	0.167257295145531	-10.1610131151883	2.95984650013031e-24	1.27280315034809e-22
AT1G01800	839.959505373172	0.232565357885869	0.148044797569217	1.57091205975769	0.11620307695909	0.178897334289591
AT1G01810	34.4233730746229	1.75040457700048	0.589674867771538	2.96842323230681	0.00299331862034776	0.00734462461105193
AT1G01820	918.420960962055	0.845102497185136	0.17213309691311	4.90958747818108	9.12681801049789e-07	4.64801011298322e-06
AT1G01830	683.468895980583	0.493661986361613	0.230050400644345	2.14588622744808	0.0318820568783318	0.0587073664614759
AT1G01840	42.1556425417671	-0.912517014997753	0.332559204873386	-2.74392349279633	0.00607096851028851	0.0136563401896676
AT1G01860	202.855120033539	0.575373874025634	0.177436012372425	3.24271192940229	0.00118397855950697	0.00320787949178946
AT1G01880	134.927923918025	-0.619710021015179	0.25159789775611	-2.46309697553954	0.0137742654806067	0.0281065512080828
AT1G01900	98.0311833110854	0.634994338453709	0.318192173263893	1.99563154536512	0.0459740432383726	0.0804862803959144
AT1G01910	1061.68144779228	0.868036377005114	0.329937430747914	2.6309120945672	0.00851560590629006	0.0183760964597571
AT1G01920	558.628968195732	0.471857588955351	0.205711644975854	2.29378161363076	0.0218030460591372	0.0420987266804889
