"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0022402";"GO:0022402";"cell cycle process";"170/1835";"467/13790";0,364025695931477;2,73564814544691;14,9495715053241;5,16723873838197e-38;9,20801943179667e-35;8,00650044515606e-35;"ATEB1C/ICU2/CYCD4;1/AtTOP3alpha/ATRMI1/ATCAP-E1/NA/ANQ1/PP4-2/ATK3/NA/ATIM/SHOC1/NA/ATMAP65-3/CPI1/ATCAP-C/AtAUG3/TET1/MCM3/MCM6/NA/CYCA3;1/SMR6/CAP-G/NA/AGO9/EMB3013/TPXL5/PANS2/AtMYB3R4/CYC2BAT/CYCD4;2/SMC6A/NA/EMS1/NA/CYC1BAT/NA/CYCD5;1/CYC1/AGP18/CYCB2;2/CYCD3/AtAUR1/POLQ/AtCTF7/ATMUS81/AUG8/NA/MAP65-2/PCH2/ATCSLG1/AESP/TPXL3/NA/ATK1/NA/ATMSH4/CAP-D3/ATORC1A/KINESIN-12A/ATORC1B/CCS52A2/ATK5/CYCD6;1/ATRANGAP1/NA/ATRAD21.2/TRM7/CAP-D2/TON1B/NA/NDC80/CDC2B/KICP-02/CYCD3;3/SPC25/DEL1/ATSMC2/NA/KINESIN-12E/AtMAD2/CDC45/ICK3/ATTOPII/KINESIN-12B/ARLIM15/ATMSH5/BUB3.1/ACK1/POK2/ATMSH2/CMR1/ATSPO11-1/CYC2/ATGSL10/ATRAD9/ATN/MCC1/ATNBS1/MD60/NA/PYM/ETG1/DAR2/CDKB1;2/NA/NA/ATNPSN11/ASY4/BUBR1/NA/AUG2/CAP-H/ATCDT1A/NA/RSW7/SMC3/CYCB1;4/IQD6/AtAUR2/NA/CESA09/NA/CYCB2;1/MCM4/ORPK1/NA/PPK1/NA/CDKB2;1/CYCB2;4/iqd8/NA/CMT3/NA/NA/SCL28/NUF2/ANP2/DRP5A/NA/UBC20/FU/CYCA3;4/CYCA3;2/ATMCM2/CYCA1;1/At-FANCM/CDKB2;2/NA/CYCB2;3/NA/CVP1/ATNACK1/IQD7/CENP-C/CYCA2;3/GAI/NA/PHS1/ATRAB-A2A/CDC6b/JASON/NA/AtTPX2/ATCSLD5/ATPRD3/CENH3";170
"GO:0000278";"GO:0000278";"mitotic cell cycle";"105/1835";"239/13790";0,439330543933054;3,30156305222715;14,0619576212888;9,12442112890822e-32;8,12985922585722e-29;7,06902521144889e-29;"ICU2/CYCD4;1/AtTOP3alpha/ATCAP-E1/NA/NA/ATCAP-C/MCM3/MCM6/TUB4/CYCA3;1/CAP-G/EMB3013/TPXL5/PANS2/CYC2BAT/CYCD4;2/NA/NA/CYC1BAT/NA/CYCD5;1/CYC1/CYCB2;2/CYCD3/AtAUR1/AtCTF7/ATMUS81/ATCSLG1/TPXL3/NA/TUB9/CAP-D3/ATORC1A/KINESIN-12A/ATORC1B/CYCD6;1/NA/ATRAD21.2/TRM7/CAP-D2/NDC80/CDC2B/KICP-02/CYCD3;3/ATSMC2/AtMAD2/CDC45/KINESIN-12B/BUB3.1/POK2/CMR1/CYC2/ATGSL10/ATRAD9/ATN/ATNBS1/MD60/CDKB1;2/NA/NA/BUBR1/AUG2/CAP-H/ATCDT1A/TBB7/RSW7/CKS2/CYCB1;4/AtAUR2/NA/CESA09/NA/CYCB2;1/MCM4/ORPK1/PPK1/NA/CDKB2;1/CYCB2;4/TUB1/NA/CMT3/NA/SCL28/NUF2/NA/UBC20/TUA2/CYCA3;4/CYCA3;2/ATMCM2/CYCA1;1/CDKB2;2/CYCB2;3/NA/TUB5/CENP-C/CYCA2;3/AtHaspin/ABO4/CDC6b/NA/AtTPX2/ATCSLD5";105
"GO:1903047";"GO:1903047";"mitotic cell cycle process";"85/1835";"186/13790";0,456989247311828;3,43426796753684;13,0948694964113;2,12600087477935e-27;1,26284451961893e-24;1,09806080269305e-24;"ICU2/CYCD4;1/ATCAP-E1/NA/NA/ATCAP-C/MCM3/MCM6/CYCA3;1/CAP-G/EMB3013/TPXL5/CYC2BAT/CYCD4;2/NA/CYC1BAT/NA/CYCD5;1/CYC1/CYCB2;2/CYCD3/AtAUR1/AtCTF7/ATMUS81/ATCSLG1/TPXL3/CAP-D3/ATORC1A/KINESIN-12A/ATORC1B/CYCD6;1/NA/TRM7/CAP-D2/NDC80/CDC2B/KICP-02/CYCD3;3/ATSMC2/AtMAD2/CDC45/KINESIN-12B/BUB3.1/POK2/CYC2/ATGSL10/ATRAD9/ATN/ATNBS1/MD60/CDKB1;2/NA/NA/BUBR1/CAP-H/RSW7/CYCB1;4/AtAUR2/CESA09/NA/CYCB2;1/MCM4/ORPK1/PPK1/NA/CDKB2;1/CYCB2;4/NA/CMT3/NA/NUF2/NA/UBC20/CYCA3;4/CYCA3;2/ATMCM2/CYCA1;1/CDKB2;2/CYCB2;3/CENP-C/CYCA2;3/CDC6b/NA/AtTPX2/ATCSLD5";85
"GO:0007018";"GO:0007018";"microtubule-based movement";"36/1835";"58/13790";0,620689655172414;4,66447430235836;10,956413383926;6,11337439641762e-18;2,72350829360405e-15;2,36812818724388e-15;"KAC2/NA/ATK3/NA/NA/ATK4/NA/NA/Kin7.4/NA/ATK1/PAKRP2/KINESIN-12A/ATK5/ARK1/KICP-02/AtKIN14h/KINESIN-12E/KINESIN-12B/NA/POK2/ATKINESIN-13A/NA/NA/NA/NA/NA/RSW7/MDKIN2/MDKIN1/NA/ZCF125/NA/NA/NA/ATNACK1";36
"GO:0006259";"GO:0006259";"DNA metabolic process";"136/1835";"493/13790";0,275862068965517;2,07309968993705;9,50596748601582;9,14178999817108e-18;3,14932947931939e-15;2,73838560668566e-15;"ICU2/FAS2/EMB2780/CHR24/AtTOP3alpha/NA/ATRMI1/ATRPA70D/NA/PP4-2/NA/ATIM/PrimPol/SHOC1/ATRADA/UBP21/MCM3/NA/ATRPA70C/ATREV1/POLH/MCM6/NA/RAD5B/ARP9/POLA3/SMR6/RECQSIM/DPD1/ATXR6/RAD5/emb1379/ATTERT/ATORC3/ABAP1/AtMYB3R4/ATRPA70B/NA/SMC6A/ATBRCA2(V)/CYCD5;1/AtMORC2/SSN2/POLQ/AtCTF7/ATMUS81/NA/PCH2/ENDO3/ENDO4/NSE5/NA/ATMSH4/DMS13/ATORC1A/ATORC1B/CCS52A2/MCM7/BRCA2(IV)/ATRAD21.2/NA/CDC2B/AtSEND1/NA/IDN2/APE1L/DEL1/DUT1/ATSNM1/CDC45/ICK3/ATTOPII/ARLIM15/ATMSH5/ACK1/ATUNG/ATMSH2/NRPB9A/NA/ATSPO11-1/NA/RECQI1/ATRAD9/ATRPA32B/ATNBS1/PYM/POLD2/ETG1/DAR2/CDKB1;2/ATORC2/ASY4/ATCDT1A/ATPCNA2/ATRAD51B/ATRPA2/ATEME1B/ATEME1A/ATRNR1/MCM10/MCM4/MCM9/MCM5/STI/ATORC4/AtBRCC36A/POLD3/NA/NA/EMB2814/EMB2813/DDRM1/AtLIG6/FAS1/NA/EMB2811/SCL28/NA/ATMCM2/At-FANCM/NA/ATORC6/NA/CVP1/CSA-2/CYCA2;3/HMGA/PHR1/POLD4/ABO4/ATLIG1/ATPCNA1/CDC6b/H1.1/ATBARD1/ATPRD3";136
"GO:0007017";"GO:0007017";"microtubule-based process";"78/1835";"216/13790";0,361111111111111;2,71374508023009;9,94554997619961;1,06038029606714e-17;3,14932947931939e-15;2,73838560668566e-15;"ATEB1C/KAC2/NA/ATK3/ATMAP65-3/AtAUG3/TUB4/NA/WVD2/NA/ATK4/NA/TUA3/EMB3013/TPXL5/NA/NA/Kin7.4/NA/AtAUR1/AUG8/MAP65-2/TPXL3/NA/ATK1/TUB9/IPGA1/NA/PAKRP2/KINESIN-12A/ATK5/MAP65-4/NA/TRM7/TON1B/ARK1/ICR5/KICP-02/iqd21/AtKIN14h/KINESIN-12E/KINESIN-12B/ATNEK5/NA/POK2/ATKINESIN-13A/NA/NA/ANP3/ATN/MD60/NA/MAP65-5/NA/NA/AUG2/TBB7/RSW7/AtAUR2/MDKIN2/TUB1/MUS/MDKIN1/CORD5/NA/NUF2/ZCF125/NA/ANP2/TUA2/CORD4/NA/NA/TUB5/NA/ATNACK1/KTN80.1/AtTPX2";78
"GO:0006260";"GO:0006260";"DNA replication";"61/1835";"148/13790";0,412162162162162;3,09739303336034;10,0503523123564;2,64498683903975e-17;6,73338078166975e-15;5,85476786025039e-15;"ICU2/EMB2780/NA/ATIM/PrimPol/MCM3/NA/MCM6/POLA3/SMR6/RECQSIM/ATXR6/ATORC3/ABAP1/AtMYB3R4/NA/CYCD5;1/POLQ/ATORC1A/ATORC1B/CCS52A2/MCM7/NA/CDC2B/DEL1/CDC45/ICK3/ACK1/RECQI1/ATRPA32B/PYM/POLD2/ETG1/DAR2/CDKB1;2/ATORC2/ATCDT1A/ATPCNA2/ATRPA2/ATRNR1/MCM10/MCM4/MCM5/STI/ATORC4/POLD3/EMB2814/EMB2813/AtLIG6/EMB2811/SCL28/ATMCM2/NA/ATORC6/CVP1/CYCA2;3/POLD4/ABO4/ATLIG1/ATPCNA1/CDC6b";61
"GO:0051276";"GO:0051276";"chromosome organization";"74/1835";"204/13790";0,362745098039216;2,7260244697334;9,73029162961818;5,52015268186321e-17;1,13025048583194e-14;9,82768453626684e-15;"AtTOP3alpha/ATCAP-E1/ATRPA70D/NA/ATCAP-C/MCM3/ATRPA70C/MCM6/CAP-G/RECQSIM/ATTERT/TPXL5/PANS2/ATRPA70B/SMC6A/NA/NA/KNL2/ATCSP2/NASP/AtCTF7/ATMUS81/PCH2/AESP/TPXL3/ATMSH4/CAP-D3/MCM7/NA/ATRAD21.2/CAP-D2/NDC80/AtSEND1/ATSMC2/NA/AtMAD2/ATTOPII/ARLIM15/ATMSH5/BUB3.1/CMR1/ATSPO11-1/RECQI1/ATNBS1/MD60/NA/ETG1/NA/NA/BUBR1/CAP-H/ATCDT1A/RSW7/SMC3/NA/MCM4/MCM9/MCM5/NA/PPK1/NA/NUF2/NA/UBC20/ATMCM2/NA/CENP-C/HMGA/PHS1/H1.1/NA/AtTPX2/ATPRD3/CENH3";74
"GO:0007059";"GO:0007059";"chromosome segregation";"60/1835";"146/13790";0,410958904109589;3,08835056548841;9,93844884400643;5,70833578702999e-17;1,13025048583194e-14;9,82768453626684e-15;"ATEB1C/AtTOP3alpha/ATCAP-E1/NA/ATK3/ATCAP-C/AtAUG3/CAP-G/NA/TPXL5/NA/NA/NA/AtCTF7/ATMUS81/AUG8/PCH2/AESP/TPXL3/ATK1/ATMSH4/CAP-D3/ATK5/NA/CAP-D2/NDC80/KICP-02/SPC25/ATSMC2/NA/KINESIN-12E/AtMAD2/ATTOPII/ARLIM15/ATMSH5/BUB3.1/ATSPO11-1/MCC1/ATNBS1/MD60/NA/NA/BUBR1/AUG2/CAP-H/RSW7/SMC3/NA/NA/PPK1/NA/NUF2/UBC20/NA/CENP-C/PHS1/NA/AtTPX2/ATPRD3/CENH3";60
"GO:0006261";"GO:0006261";"DNA-templated DNA replication";"56/1835";"134/13790";0,417910447761194;3,14059132132254;9,75515187796863;2,55420587731368e-16;4,55159487337297e-14;3,9576747909534e-14;"ICU2/EMB2780/NA/ATIM/PrimPol/MCM3/NA/MCM6/POLA3/SMR6/RECQSIM/ATORC3/ABAP1/AtMYB3R4/NA/CYCD5;1/POLQ/ATORC1A/ATORC1B/CCS52A2/MCM7/NA/CDC2B/DEL1/CDC45/ICK3/ACK1/RECQI1/PYM/POLD2/ETG1/DAR2/CDKB1;2/ATCDT1A/ATPCNA2/MCM10/MCM4/MCM5/STI/ATORC4/POLD3/EMB2814/EMB2813/AtLIG6/EMB2811/SCL28/ATMCM2/NA/ATORC6/CVP1/CYCA2;3/POLD4/ABO4/ATLIG1/ATPCNA1/CDC6b";56
