"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009408";"GO:0009408";"response to heat";"107/1750";"268/13790";0,399253731343284;3,14611940298507;13,5261119913382;8,0668721721139e-30;1,48914460297222e-26;1,41127805790035e-26;"AtZAT12/HSP18.2/ATTIL/AtXTH22/ABI2/FTSH11/ATHS83/Oma1/ATFKBP65/GFA2/NA/BIP/HSP15.7/BIP1/AtPARK13/ATJ2/PUB48/HTT2/CGE1/APG6/AT-P5C1/AT-HSP17.6A/HSP17.6II/HSC70-5/DREB2/AT-HSFA3/AT-HSFB1/HTT1/SES1/ERF54/HSP21/AR192/ABI1/cpHsc70-1/HSA32/NA/Hop3/ATHSP22.0/AT-HSFA7B/CP12/AtUSP/AT-HSFA7A/ATHSP17.4/ATJ/ATFKBP62/AT-HSFC1/ATMBF1C/HSP60/ELIP/PIFI/ATHSP70/DREB2/BZIP28/Fes1A/ATERDJ3A/AtHsp90-6/ATHSFA1E/AtGolS1/AtCCA1/ATBAG6/AtPIF4/AtCOR15A/UBAC2B/AtERF48/RDO2/ATWRKY33/DREB19/AtCRL1/HSP70-8/ATWRKY25/HSP17.6B/SAP3/ATHSFA2/CLPB-M/DJA6/AtERF53/HSP18.5/AtFDA13/AtHsp90.5/PGK/AtWIND1/ATSKP2;2/ATCDSP32/ATHSP101/ATI3C/ABCG25/AT-HSFA8/HKL/HSP17.6A/ABS4/DjC53/HSP17.4B/HSP17.6C/HSP26.5/BBX17/ERF113/CFLAP2/ATFBP7/AtCOR47/ATI3A/HSP70-5/CPN10/CYP71B2/BIP3/AVDE1/HSP17.8/CYP18-1";107
"GO:0009414";"GO:0009414";"response to water deprivation";"120/1750";"378/13790";0,317460317460317;2,5015873015873;11,2855279625875;6,99067058516229e-23;6,4523889501048e-20;6,11499711186302e-20;"SNRK2-3/ATDI8/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATTIL/ABI2/ATOXS3/COR78/LTI65/ATBI-1/GORK/ATSTP13/AtCor6.6/KIN1/ZIFL1/Rap2.6L/SELO/MYBS2/AtLEA4-5/DREB2/RD19/NA/NA/TMT2/AtDOA10A/ABF3/ATOST1/ABC1K1/ANAC072/NA/AtRNP1/MASP1/AtLEA5/ATSUS3/EDL3/AtATG18a/ATHB-12/ATPIP1/AtREM4.1/AtPIP2;1/LTI30/SNRK2-2/AFL1/ATMBF1C/AtBAM1/AXR2/AtOCT4/AZF2/ABF4/UBC32/ATNCED3/AHG3/DREB2/AtMTM1/AIF/ATBPM2/AtPP2CF1/ABR/RGLG1/LDAP2/AtGolS1/ATHB-7/ATHH2/AtMAX2/AtCOR15A/AtREM4.2/CID1/ATCYSA/ATP5CS/AtLtpI-5/ATWRKY33/DREB19/AKR4C9/AKR4C8/PIP2;3/PIP2;2/ABI5/AtLEA4-2/PP2CG1/AtCRL1/AtCLO3/ATGRP7/AtERF53/HIS1-3/ERD7/ATCOR413-PM1/PAP1/AtHsp90.5/ABC1K3/ATGSTU19/AtWIND1/ATCDSP32/ATBBD1/AtRPK1/ATHPR1/LDAP1/AtGolS2/ALDH7B4/ANAC019/LEA7/AKS1/RD21/RAP2.1/ERF113/CPuORF19/ATP8/COR413-TM1/STZ/AHK3/PROSCOOP14/ERF58/ERD10/AtCOR47/bZIP62/AFP2/SMXL6/AT-PHH1/AtLEA14";120
"GO:0009415";"GO:0009415";"response to water";"121/1750";"389/13790";0,311053984575835;2,45110539845758;11,0682082417592;3,23032322117125e-22;1,98772555542738e-19;1,88378848897776e-19;"SNRK2-3/ATDI8/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATTIL/ABI2/ATOXS3/COR78/LTI65/ATBI-1/GORK/ATSTP13/AtCor6.6/KIN1/ZIFL1/Rap2.6L/SELO/MYBS2/AtLEA4-5/DREB2/RD19/NA/NA/TMT2/AtDOA10A/ABF3/ATOST1/ABC1K1/FLOE1/ANAC072/NA/AtRNP1/MASP1/AtLEA5/ATSUS3/EDL3/AtATG18a/ATHB-12/ATPIP1/AtREM4.1/AtPIP2;1/LTI30/SNRK2-2/AFL1/ATMBF1C/AtBAM1/AXR2/AtOCT4/AZF2/ABF4/UBC32/ATNCED3/AHG3/DREB2/AtMTM1/AIF/ATBPM2/AtPP2CF1/ABR/RGLG1/LDAP2/AtGolS1/ATHB-7/ATHH2/AtMAX2/AtCOR15A/AtREM4.2/CID1/ATCYSA/ATP5CS/AtLtpI-5/ATWRKY33/DREB19/AKR4C9/AKR4C8/PIP2;3/PIP2;2/ABI5/AtLEA4-2/PP2CG1/AtCRL1/AtCLO3/ATGRP7/AtERF53/HIS1-3/ERD7/ATCOR413-PM1/PAP1/AtHsp90.5/ABC1K3/ATGSTU19/AtWIND1/ATCDSP32/ATBBD1/AtRPK1/ATHPR1/LDAP1/AtGolS2/ALDH7B4/ANAC019/LEA7/AKS1/RD21/RAP2.1/ERF113/CPuORF19/ATP8/COR413-TM1/STZ/AHK3/PROSCOOP14/ERF58/ERD10/AtCOR47/bZIP62/AFP2/SMXL6/AT-PHH1/AtLEA14";121
"GO:0001101";"GO:0001101";"response to acid chemical";"124/1750";"409/13790";0,303178484107579;2,38904645476773;10,8719214439785;1,12952848555853e-21;5,2127739608526e-19;4,94020090262703e-19;"SNRK2-3/ATDI8/LTP3/AtLtpI-11/HAI1/AtAIRP4/ATTIL/ABI2/ATOXS3/COR78/LTI65/ATBI-1/GORK/ATSTP13/AtCor6.6/KIN1/ZIFL1/Rap2.6L/SELO/MYBS2/AtLEA4-5/DREB2/RD19/NA/NA/TMT2/ATGLR3.2/AtDOA10A/ABF3/ATOST1/ABC1K1/FLOE1/ANAC072/NA/AtRNP1/MAPKKK9/MASP1/AtLEA5/ATSUS3/EDL3/AtATG18a/ATHB-12/ATPIP1/AtREM4.1/AtPIP2;1/LTI30/SNRK2-2/AFL1/ATMBF1C/AtBAM1/AXR2/AtOCT4/AZF2/ABF4/UBC32/ATNCED3/AHG3/DREB2/AtMTM1/AIF/ATBPM2/AtPP2CF1/ABR/RGLG1/LDAP2/AtGolS1/ATHB-7/ATHH2/AtMAX2/AtCOR15A/AtREM4.2/CID1/ATCYSA/ATP5CS/AtLtpI-5/ATWRKY33/DREB19/AKR4C9/AKR4C8/PIP2;3/PIP2;2/ABI5/AtLEA4-2/PP2CG1/AtCRL1/AtCLO3/ATGRP7/AtERF53/HIS1-3/ERD7/ATCOR413-PM1/PAP1/AtHsp90.5/ABC1K3/ATGSTU19/AtWIND1/ATCDSP32/ATBBD1/AtRPK1/ATHPR1/LDAP1/AtFBS1/AtGolS2/ALDH7B4/ANAC019/LEA7/AKS1/RD21/RAP2.1/ERF113/CPuORF19/ATP8/COR413-TM1/STZ/AHK3/PROSCOOP14/ERF58/ERD10/AtCOR47/bZIP62/AFP2/SMXL6/AT-PHH1/AtLEA14";124
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"69/1750";"193/13790";0,357512953367876;2,81720207253886;9,69242604335329;1,259188275676e-16;3,87410259482981e-14;3,67152791960264e-14;"EXL2/NA/SRO5/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NRP/HSP15.7/AtDMR6/ATBCB/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/NA/ATL14/NA/NA/CBSX5/HUP54/PFK3/SGT1A/DVL10/AT-HSFB2B/ATHSP22.0/CP12/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/CID1/ATHSPRO2/DOGT1/FBA6/NA/AtCRL1/NA/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/AtFBS1/HSP17.6A/HSP17.4B/HUP32/STZ/MPSR1/NA/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";69
"GO:0071453";"GO:0071453";"cellular response to oxygen levels";"69/1750";"193/13790";0,357512953367876;2,81720207253886;9,69242604335329;1,259188275676e-16;3,87410259482981e-14;3,67152791960264e-14;"EXL2/NA/SRO5/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NRP/HSP15.7/AtDMR6/ATBCB/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/NA/ATL14/NA/NA/CBSX5/HUP54/PFK3/SGT1A/DVL10/AT-HSFB2B/ATHSP22.0/CP12/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/CID1/ATHSPRO2/DOGT1/FBA6/NA/AtCRL1/NA/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/AtFBS1/HSP17.6A/HSP17.4B/HUP32/STZ/MPSR1/NA/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";69
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"68/1750";"191/13790";0,356020942408377;2,80544502617801;9,57898807474076;2,68812371083496e-16;7,08896624314477e-14;6,71828813144016e-14;"EXL2/NA/SRO5/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NRP/HSP15.7/AtDMR6/ATBCB/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/NA/ATL14/NA/NA/CBSX5/HUP54/PFK3/SGT1A/DVL10/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/CID1/ATHSPRO2/DOGT1/FBA6/NA/AtCRL1/NA/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/AtFBS1/HSP17.6A/HSP17.4B/HUP32/STZ/MPSR1/NA/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";68
"GO:0070482";"GO:0070482";"response to oxygen levels";"72/1750";"222/13790";0,324324324324324;2,55567567567568;8,90860693918093;9,79633200679783e-15;2,2605036105686e-12;2,14230313096026e-12;"EXL2/NA/SRO5/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NRP/HSP15.7/AtDMR6/ATBCB/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtCTR1/NA/ATL14/NA/NA/CBSX5/HUP54/PFK3/SGT1A/CHS4/GOLLUM/DVL10/AT-HSFB2B/ATHSP22.0/CP12/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/CID1/ATHSPRO2/DOGT1/FBA6/NA/AtCRL1/NA/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/AtFBS1/HSP17.6A/HSP17.4B/HUP32/STZ/MPSR1/NA/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";72
"GO:0036293";"GO:0036293";"response to decreased oxygen levels";"71/1750";"221/13790";0,321266968325792;2,53158371040724;8,75054537088371;2,58253642144186e-14;5,29706914886853e-12;5,02008834203084e-12;"EXL2/NA/SRO5/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NRP/HSP15.7/AtDMR6/ATBCB/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtCTR1/NA/ATL14/NA/NA/CBSX5/HUP54/PFK3/SGT1A/CHS4/DVL10/AT-HSFB2B/ATHSP22.0/CP12/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/CID1/ATHSPRO2/DOGT1/FBA6/NA/AtCRL1/NA/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/AtFBS1/HSP17.6A/HSP17.4B/HUP32/STZ/MPSR1/NA/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";71
"GO:0001666";"GO:0001666";"response to hypoxia";"70/1750";"217/13790";0,32258064516129;2,54193548387097;8,72831300086524;3,12974904583383e-14;5,77751673860926e-12;5,4754135938693e-12;"EXL2/NA/SRO5/AtZAT12/ATTIL/AtXTH22/PDC2/NA/NRP/HSP15.7/AtDMR6/ATBCB/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtCTR1/NA/ATL14/NA/NA/CBSX5/HUP54/PFK3/SGT1A/CHS4/DVL10/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/CID1/ATHSPRO2/DOGT1/FBA6/NA/AtCRL1/NA/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/AtFBS1/HSP17.6A/HSP17.4B/HUP32/STZ/MPSR1/NA/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";70
