	SRX2513393	SRX2513394	SRX2513395	SRX2513396	SRX2513397	SRX2513398
AT1G01010	87.6052811103304	80.1981135453995	85.2715104855251	118.435022304778	190.469082804814	196.430856918538
AT1G01020	132.012404012548	150.616710351383	142.356426133531	278.236277665371	288.183693333556	206.229124347903
AT1G01030	109.790167614657	101.193971838732	129.876282173668	68.6200617201782	131.514052541651	141.266341201551
AT1G01040	1170.41837459285	976.693374120207	899.128698427005	1022.820145039	1008.58978125928	1040.68700518622
AT1G01050	987.595002673303	1233.63337902625	1059.16071884395	1220.23200037733	1137.20977287147	1203.46220689263
AT1G01060	1259.89065675522	1650.84120678331	1343.7181998992	155.292121604685	273.086133356461	38.4441650702433
AT1G01070	96.3377210714732	137.132799558259	131.799081279919	80.6950427314811	115.393169601068	135.032064893071
AT1G01080	628.518722590479	711.692718724224	616.427400558342	238.250418579029	360.039921847657	358.26878964901
AT1G01090	3553.82707443171	3750.63289826997	3520.23207999776	1877.91221084548	2043.87375310213	1489.57886193513
AT1G01100	4977.27455347314	4388.30627727554	4020.77873333232	6368.49039816874	4392.41347389023	3765.80821919243
AT1G01110	237.83818800004	235.635136848003	229.460906740655	175.468470826952	148.553803361288	175.57592894196
AT1G01120	525.656002907328	513.370237575218	509.467003056874	205.003141989853	271.809034879265	265.46230924004
AT1G01140	848.340973369018	985.181852276719	1974.26612903131	2284.63553653711	1861.36263993563	1236.54675705066
AT1G01160	453.573569664293	483.211765406193	469.257391484303	697.143211326852	555.210127772035	641.756376308804
AT1G01170	433.246371990657	553.406830152221	547.987427107913	830.560506999724	728.57275189572	1093.13382774354
AT1G01180	24.2314048558674	21.9856060519325	12.989986010483	9.68795267538602	16.0498200603922	8.99298501493648
AT1G01210	129.784849740361	202.999571694767	192.296078147028	375.698378434726	421.870923908501	378.399176133376
AT1G01220	365.031266703206	368.091870812266	396.351555981948	359.547752149842	300.928295044444	313.402950637924
AT1G01225	82.390674582979	85.2669160869093	92.0266698416143	37.7551491520377	41.7220105263863	43.8267098522251
AT1G01230	262.822250867224	353.844684562206	349.562482049535	173.915275715836	172.198955598102	263.335768848665
AT1G01240	261.323651928769	292.770694956145	329.706173781418	404.593649786697	458.336953945575	544.674355185901
