"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0022402";"GO:0022402";"cell cycle process";"136/1679";"479/15349";0,2839248434238;2,59557023330071;12,433551114341;7,31206764936426e-27;1,29935442129203e-23;1,15684607126258e-23;"ATEB1C/CYCD4;1/AtTOP3alpha/ATCAP-E1/NA/ANQ1/PP4-2/ATK3/NA/ATIM/SHOC1/NA/CPI1/ATCAP-C/AtAUG3/TET1/MCM3/MCM6/NA/CYCA3;1/CAP-G/NA/CYCA2;1/PANS2/PHGAP1/AtMYB3R4/CYC2BAT/CYCD4;2/NA/NA/CYC1BAT/CYCD5;1/CYC1/AGP18/CYCB2;2/AtAUR1/ATMUS81/MAP65-2/NA/ATK1/NA/ATMSH4/ATORC1A/KINESIN-12A/ATORC1B/ATK5/ATRANGAP1/NA/ATRAD21.2/TRM7/CAP-D2/TON1B/NA/NDC80/CDC2B/SPC25/DEL1/ASL29/ATSMC2/NA/KINESIN-12E/AtMAD2/CDC45/ICK3/ATTOPII/KINESIN-12B/ARLIM15/BUB3.1/POK2/ATMSH2/CMR1/CYC2/ATGSL10/ATN/NA/PYM/AtAUG1/ETG1/APC7/CDKB1;2/NA/NA/ATNPSN11/ASY4/BUBR1/NA/CAP-H/ATCDT1A/NA/RSW7/SMC3/CYCB1;4/IQD6/QWRF4/NA/CYCB2;1/MCM4/APC2/CYCJ18/ORPK1/PPK1/NA/CDKB2;1/CYCB2;4/iqd8/NA/ATCYCD1;1/NA/NA/FST/SCL28/DRP5A/NA/SMR9/UBC20/FU/CYCA3;4/CYCA3;2/ATMCM2/CYCA1;1/CDKB2;2/NA/NA/CVP1/ATNACK1/IQD7/CENP-C/GAI/ATRAB-A2A/CDC6b/JASON/NA/AtTPX2/ATCSLD5/ATPRD3/CENH3";136
"GO:0000278";"GO:0000278";"mitotic cell cycle";"85/1679";"248/15349";0,342741935483871;3,13326144594517;11,8695446144378;4,96059365995365e-23;4,40748746686882e-20;3,92409066890018e-20;"CYCD4;1/AtTOP3alpha/ATCAP-E1/NA/NA/ATCAP-C/MCM3/MCM6/TUB4/CYCA3;1/CAP-G/CYCA2;1/PANS2/PHGAP1/CYC2BAT/CYCD4;2/NA/NA/CYC1BAT/CYCD5;1/CYC1/CYCB2;2/AtAUR1/ATMUS81/NA/ATORC1A/KINESIN-12A/ATORC1B/NA/ATRAD21.2/TRM7/CAP-D2/NDC80/CDC2B/ATSMC2/AtMAD2/CDC45/KINESIN-12B/BUB3.1/POK2/CMR1/CYC2/ATGSL10/ATN/APC7/CDKB1;2/NA/NA/BUBR1/CAP-H/ATCDT1A/TBB7/RSW7/CKS2/CYCB1;4/NA/CYCB2;1/MCM4/APC2/CYCJ18/ORPK1/PPK1/NA/CDKB2;1/CYCB2;4/NA/ATCYCD1;1/NA/SCL28/NA/UBC20/CYCA3;4/CYCA3;2/ATMCM2/CYCA1;1/CDKB2;2/NA/TUB5/CENP-C/AtHaspin/ABO4/CDC6b/NA/AtTPX2/ATCSLD5";85
"GO:1903047";"GO:1903047";"mitotic cell cycle process";"70/1679";"193/15349";0,362694300518135;3,31566099979324;11,3456223511908;9,24355960323632e-21;5,47526847165031e-18;4,87476143286463e-18;"CYCD4;1/ATCAP-E1/NA/NA/ATCAP-C/MCM3/MCM6/CYCA3;1/CAP-G/CYCA2;1/PHGAP1/CYC2BAT/CYCD4;2/NA/CYC1BAT/CYCD5;1/CYC1/CYCB2;2/AtAUR1/ATMUS81/ATORC1A/KINESIN-12A/ATORC1B/NA/TRM7/CAP-D2/NDC80/CDC2B/ATSMC2/AtMAD2/CDC45/KINESIN-12B/BUB3.1/POK2/CYC2/ATGSL10/ATN/APC7/CDKB1;2/NA/NA/BUBR1/CAP-H/RSW7/CYCB1;4/NA/CYCB2;1/MCM4/APC2/CYCJ18/ORPK1/PPK1/NA/CDKB2;1/CYCB2;4/NA/ATCYCD1;1/NA/NA/UBC20/CYCA3;4/CYCA3;2/ATMCM2/CYCA1;1/CDKB2;2/CENP-C/CDC6b/NA/AtTPX2/ATCSLD5";70
"GO:0044772";"GO:0044772";"mitotic cell cycle phase transition";"39/1679";"85/15349";0,458823529411765;4,19445047822583;10,3499542509712;3,50346225199317e-16;1,55641310544797e-13;1,38571151703835e-13;"CYCD4;1/NA/CYCA3;1/CYCA2;1/CYC2BAT/CYCD4;2/CYC1BAT/CYCD5;1/CYC1/CYCB2;2/ATORC1A/ATORC1B/CDC2B/AtMAD2/BUB3.1/CYC2/APC7/CDKB1;2/BUBR1/CYCB1;4/NA/CYCB2;1/APC2/CYCJ18/PPK1/NA/CDKB2;1/CYCB2;4/NA/ATCYCD1;1/NA/NA/UBC20/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2/CDC6b/NA";39
"GO:0044770";"GO:0044770";"cell cycle phase transition";"43/1679";"105/15349";0,40952380952381;3,74376471255566;9,88687473808102;1,77988134260662e-15;6,32569829162392e-13;5,63191927986894e-13;"CYCD4;1/NA/ATIM/CYCA3;1/CYCA2;1/CYC2BAT/CYCD4;2/CYC1BAT/CYCD5;1/CYC1/CYCB2;2/ATMUS81/NA/ATORC1A/ATORC1B/CDC2B/AtMAD2/BUB3.1/CYC2/APC7/CDKB1;2/BUBR1/ATCDT1A/CYCB1;4/NA/CYCB2;1/APC2/CYCJ18/PPK1/NA/CDKB2;1/CYCB2;4/NA/ATCYCD1;1/NA/NA/UBC20/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2/CDC6b/NA";43
"GO:0007018";"GO:0007018";"microtubule-based movement";"31/1679";"62/15349";0,5;4,57087552114354;9,87362000929035;1,93937408472473e-14;5,7437795809264e-12;5,11382324445836e-12;"KAC2/NA/ATK3/NA/NA/NA/Kin7.4/NA/ATK1/PAKRP2/KINESIN-12A/ATK5/AtKIN14h/KINESIN-12E/KINESIN-12B/NA/POK2/NA/NA/NA/NA/NA/NA/RSW7/MDKIN2/MDKIN1/ZCF125/NA/NA/NA/ATNACK1";31
"GO:0000082";"GO:0000082";"G1/S transition of mitotic cell cycle";"22/1679";"38/15349";0,578947368421053;5,29259270869252;9,28488843356916;2,47470114410145e-12;6,28220561866897e-10;5,59319672117967e-10;"CYCD4;1/CYCA3;1/CYCA2;1/CYC2BAT/CYCD4;2/CYC1BAT/CYCD5;1/CYC1/CYCB2;2/CDC2B/CYC2/CDKB1;2/CYCB1;4/CYCB2;1/CYCJ18/CDKB2;1/CYCB2;4/ATCYCD1;1/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2";22
"GO:0044843";"GO:0044843";"cell cycle G1/S phase transition";"22/1679";"41/15349";0,536585365853659;4,90532982756867;8,77520773041168;1,96417917827261e-11;4,36293299973805e-09;3,88442276966282e-09;"CYCD4;1/CYCA3;1/CYCA2;1/CYC2BAT/CYCD4;2/CYC1BAT/CYCD5;1/CYC1/CYCB2;2/CDC2B/CYC2/CDKB1;2/CYCB1;4/CYCB2;1/CYCJ18/CDKB2;1/CYCB2;4/ATCYCD1;1/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2";22
"GO:0007059";"GO:0007059";"chromosome segregation";"46/1679";"149/15349";0,308724832214765;2,82228555667923;7,83348036670015;2,89645986062833e-11;5,71889908037394e-09;5,09167154447296e-09;"ATEB1C/AtTOP3alpha/ATCAP-E1/NA/ATK3/ATCAP-C/AtAUG3/CAP-G/NA/NA/NA/ATMUS81/ATK1/ATMSH4/ATK5/NA/CAP-D2/NDC80/SPC25/ATSMC2/NA/KINESIN-12E/AtMAD2/ATTOPII/ARLIM15/BUB3.1/AtAUG1/APC7/NA/NA/BUBR1/CAP-H/RSW7/SMC3/QWRF4/NA/APC2/PPK1/NA/UBC20/NA/CENP-C/NA/AtTPX2/ATPRD3/CENH3";46
"GO:0007017";"GO:0007017";"microtubule-based process";"60/1679";"228/15349";0,263157894736842;2,4057239584966;7,49452650153619;5,34922275895496e-11;9,50556884266297e-09;8,46303348074664e-09;"ATEB1C/KAC2/NA/ATK3/AtAUG3/TUB4/NA/NA/TUA3/KTN80.3/NA/NA/Kin7.4/NA/AtAUR1/MAP65-2/NA/ATK1/IPGA1/NA/PAKRP2/KINESIN-12A/ATK5/MAP65-4/NA/TRM7/TON1B/iqd21/AtKIN14h/KINESIN-12E/KINESIN-12B/ATNEK5/NA/POK2/NA/NA/NA/ANP3/ATN/NA/AtAUG1/MAP65-5/NA/NA/TBB7/RSW7/QWRF4/MDKIN2/MUS/MDKIN1/CORD5/ZCF125/NA/CORD4/NA/NA/TUB5/NA/ATNACK1/AtTPX2";60
