"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009408";"GO:0009408";"response to heat";"97/1291";"274/15349";0,354014598540146;4,20896210146607;16,2419607229432;1,10021612662602e-36;1,87036741526423e-33;1,79277322528113e-33;"AtZAT12/HSP18.2/ATTIL/ABI2/AtHsp90.2/BOB1/ATHS83/Oma1/ATFKBP65/GFA2/BIP/HSP15.7/ATJ2/PUB48/HTT2/CGE1/APG6/AT-P5C1/AT-HSP17.6A/HSP17.6II/HSC70-5/DREB2/AT-HSFA3/AT-HSFB1/HTT1/SES1/ERF54/HSP21/AR192/ABI1/cpHsc70-1/HSA32/AT-HSFA4A/NA/Hop3/ATHSP22.0/AT-HSFA7B/AtUSP/AT-HSFA7A/ATHSP17.4/ATJ/ATFKBP62/ATMBF1C/HSP60/ATHSP70/DREB2/BZIP28/Fes1A/ATERDJ3A/AtHsp90-6/ATHSFA1E/AtGolS1/AtCCA1/ATBAG6/UBAC2B/AtERF48/DREB19/AtCRL1/HSP70-8/ATWRKY25/HSP17.6B/SAP3/ATHSFA2/CLPB-M/DJA6/AtERF53/HSP18.5/AtFDA13/AtHsp90.5/AtWIND1/ATSKP2;2/ATCDSP32/ATHSP101/ATI3C/AT-HSFA8/HKL/HSP17.6A/ABS4/DjC53/HSP17.4B/HSP17.6C/HSP26.5/BBX17/ERF113/CFLAP2/ATFBP7/AtCOR47/ATI3A/HSP70-5/GLYI4/CPN10/CYP71B2/HSP70-16/BIP3/HSP17.8/ACD31.2/CYP18-1";97
"GO:0006457";"GO:0006457";"protein folding";"62/1291";"187/15349";0,331550802139037;3,94188478856087;12,2657882985464;4,41855217545775e-22;3,75576934913909e-19;3,59995724610979e-19;"HSP18.2/NA/AtHsp90.2/BOB1/ATHS83/NA/ATFKBP65/GFA2/BIP/HSP15.7/ATJ2/CPN60a2/CGE1/APG6/AT-HSP17.6A/HSP17.6II/HSC70-5/AtGlsA1/AtCYP57/SES1/BOB2/AR192/cpHsc70-1/AtHip1/DJC26/ATHSP22.0/AtRbcX1/NA/GroES/AtUSP/ATHSP17.4/ATJ/ATFKBP62/HSP60/HSP60-3A/Cpn60beta2/ATHSP70/NA/AtHsp90-6/ATBAG6/HSP70-8/HSP17.6B/ARC2/CLPB-M/DJA6/NA/DNAJ/HSP18.5/CYP40/AtHsp90.5/AtHsp70-15/HSP17.6A/HSP17.4B/HSP17.6C/HSP70-5/CPN10/ATBAG5/HSP70-16/BIP3/HSP17.8/AtTPR2/CYP18-1";62
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"59/1291";"197/15349";0,299492385786802;3,56073480204619;10,9620046766741;1,22452830009434e-18;6,93899370053457e-16;6,65112213524923e-16;"NA/SRO5/AtZAT12/ATTIL/PDC2/NA/HSP15.7/HYP1/ATL31/AtDMR6/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/UGT73B3/NA/NA/HUP54/PFK3/SGT1A/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/ATHSPRO2/FBA6/NA/AtCRL1/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/HSP17.6A/HSP17.4B/HUP32/Nemp_A/STZ/MPSR1/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";59
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"59/1291";"199/15349";0,296482412060302;3,52494852262864;10,8642561626437;2,10032331059905e-18;7,14109925603677e-16;6,84484312591017e-16;"NA/SRO5/AtZAT12/ATTIL/PDC2/NA/HSP15.7/HYP1/ATL31/AtDMR6/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/UGT73B3/NA/NA/HUP54/PFK3/SGT1A/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/ATHSPRO2/FBA6/NA/AtCRL1/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/HSP17.6A/HSP17.4B/HUP32/Nemp_A/STZ/MPSR1/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";59
"GO:0071453";"GO:0071453";"cellular response to oxygen levels";"59/1291";"199/15349";0,296482412060302;3,52494852262864;10,8642561626437;2,10032331059905e-18;7,14109925603677e-16;6,84484312591017e-16;"NA/SRO5/AtZAT12/ATTIL/PDC2/NA/HSP15.7/HYP1/ATL31/AtDMR6/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/UGT73B3/NA/NA/HUP54/PFK3/SGT1A/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/ATHSPRO2/FBA6/NA/AtCRL1/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/NA/LDAP1/HKL/HSP17.6A/HSP17.4B/HUP32/Nemp_A/STZ/MPSR1/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";59
"GO:0070482";"GO:0070482";"response to oxygen levels";"63/1291";"230/15349";0,273913043478261;3,2566160374499;10,4493024952367;1,18229351414054e-17;3,3498316233982e-15;3,210860280508e-15;"NA/SRO5/AtZAT12/ATTIL/PDC2/NA/HSP15.7/HYP1/ATL31/AtDMR6/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtCTR1/UGT73B3/NA/NA/HUP54/PFK3/SGT1A/CHS4/GOLLUM/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/ATHSPRO2/FBA6/NA/AtCRL1/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/ALAAT2/NA/LDAP1/HKL/HSP17.6A/HSP17.4B/HUP32/Nemp_A/STZ/MPSR1/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";63
"GO:0001666";"GO:0001666";"response to hypoxia";"62/1291";"225/15349";0,275555555555556;3,27614424649281;10,4228131644793;1,56244292541591e-17;3,79450424743863e-15;3,63708518578018e-15;"NA/SRO5/AtZAT12/ATTIL/PDC2/NA/HSP15.7/HYP1/ATL31/AtDMR6/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtCTR1/UGT73B3/NA/NA/HUP54/PFK3/SGT1A/CHS4/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/ATHSPRO2/FBA6/NA/AtCRL1/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/ALAAT2/NA/LDAP1/HKL/HSP17.6A/HSP17.4B/HUP32/Nemp_A/STZ/MPSR1/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";62
"GO:0036293";"GO:0036293";"response to decreased oxygen levels";"62/1291";"229/15349";0,270742358078603;3,21891901947984;10,2520459780809;4,00379798578221e-17;8,50807071978719e-15;8,15510431840902e-15;"NA/SRO5/AtZAT12/ATTIL/PDC2/NA/HSP15.7/HYP1/ATL31/AtDMR6/AT-HSP17.6A/HSP17.6II/DREB2/AtZAT6/AtCTR1/UGT73B3/NA/NA/HUP54/PFK3/SGT1A/CHS4/AT-HSFB2B/ATHSP22.0/NA/ATMES10/ATHSP17.4/ATMBF1C/ETR2/HUP26/NA/HRU1/NA/ATGSTF5/ATHSPRO2/FBA6/NA/AtCRL1/AthCYSTM6/ATHSFA2/CBP1/NA/ATHSP101/ALAAT2/NA/LDAP1/HKL/HSP17.6A/HSP17.4B/HUP32/Nemp_A/STZ/MPSR1/NA/SNIPER1/NA/(AT)SRC2/NA/HSP17.8/MAP3K13/NA/ANAC002";62
"GO:0009414";"GO:0009414";"response to water deprivation";"86/1291";"407/15349";0,211302211302211;2,51222125583086;9,36991009261145;6,21894480036085e-16;1,17468957340149e-13;1,12595632174954e-13;"SNRK2-3/ATDI8/HAI1/AtAIRP4/ATTIL/ABI2/ATOXS3/AtHsp90.2/COR78/LTI65/ATHVA22E/ATBI-1/AATP1/GORK/ATSTP13/AtCor6.6/Rap2.6L/MYBS2/DREB2/RD19/NA/AtDOA10A/ABF3/ANAC072/AtRNP1/AtRbcX1/MASP1/AtLEA5/EDL3/AtATG18a/AtREM4.1/AtPIP2;1/LTI30/SNRK2-2/AFL1/AOC1/ATMBF1C/AtBAM1/AZF2/ANAC055/ATNCED3/DREB2/AIF/ATBPM2/AtPP2CF1/RGLG1/AtGolS1/ATHB-7/ATHH2/AtREM4.2/ATCYSA/SMXL8/DREB19/AKR4C9/PIP2;3/PIP2;2/ABI5/AtCRL1/AtCLO3/ATGRP7/RD2/AtERF53/ATGRP-3/AtHsp90.5/DRS1/ATGSTU19/AtWIND1/ATCDSP32/ATBBD1/LDAP1/AtGolS2/ANAC019/LEA7/RAP2.1/ERF113/CPuORF19/ATP8/STZ/PROSCOOP14/ERF58/AtCOR47/bZIP62/GLYI4/ESL1/AT-PHH1/AtLEA14";86
"GO:0009415";"GO:0009415";"response to water";"87/1291";"418/15349";0,208133971291866;2,47455331166449;9,26256820460302;1,08743404594256e-15;1,84863787810235e-13;1,77194516117798e-13;"SNRK2-3/ATDI8/HAI1/AtAIRP4/ATTIL/ABI2/ATOXS3/AtHsp90.2/COR78/LTI65/ATHVA22E/ATBI-1/AATP1/GORK/ATSTP13/AtCor6.6/Rap2.6L/MYBS2/DREB2/RD19/NA/AtDOA10A/ABF3/ANAC072/AtRNP1/AtRbcX1/MASP1/AtLEA5/EDL3/AtATG18a/AtREM4.1/AtPIP2;1/LTI30/SNRK2-2/AFL1/AOC1/ATMBF1C/AtBAM1/AZF2/ANAC055/ATNCED3/DREB2/AIF/ATBPM2/AtPP2CF1/ANAC047/RGLG1/AtGolS1/ATHB-7/ATHH2/AtREM4.2/ATCYSA/SMXL8/DREB19/AKR4C9/PIP2;3/PIP2;2/ABI5/AtCRL1/AtCLO3/ATGRP7/RD2/AtERF53/ATGRP-3/AtHsp90.5/DRS1/ATGSTU19/AtWIND1/ATCDSP32/ATBBD1/LDAP1/AtGolS2/ANAC019/LEA7/RAP2.1/ERF113/CPuORF19/ATP8/STZ/PROSCOOP14/ERF58/AtCOR47/bZIP62/GLYI4/ESL1/AT-PHH1/AtLEA14";87
