	SRX2513381	SRX2513382	SRX2513383	SRX2513384	SRX2513385	SRX2513386
AT1G01010	106.620555320915	140.342760465455	154.583497135115	113.440431013946	88.3359893983454	95.6220276195885
AT1G01020	105.357699199195	148.739443780822	115.347275720981	218.353104760915	167.264034022352	237.414155979099
AT1G01030	3.56991672890106	20.5885013831279	13.2349174595157	12.278638534786	10.1996927443736	7.15116014594399
AT1G01040	1006.41280909678	1262.59177159537	1301.24842263958	1221.16029965902	1037.78852359887	961.603853315036
AT1G01050	809.900549334361	838.554453067157	855.363247028431	683.208856731464	672.116915231558	820.465800508117
AT1G01060	518.970296277162	619.786148592295	828.853456694511	19.3529791336421	43.7748320166214	49.6163046867583
AT1G01070	165.719593033559	73.017277110361	120.631975570277	241.833739366937	208.625566516266	121.701776846902
AT1G01080	653.43289122078	468.751045769408	399.417204935728	318.952099826955	453.654526150339	313.180095490962
AT1G01090	1459.04770570067	1307.61385253735	1164.82449991192	379.759978094493	608.317302419958	540.035294168699
AT1G01100	1118.60432670291	815.522688213105	917.202462941988	1625.8887746773	1222.77286944577	1683.206518346
AT1G01110	48.6168669592368	39.945986188572	14.5423996189138	26.0905344213234	29.5986872597875	10.5966237260485
AT1G01120	823.027200655563	887.612778717817	693.859907449423	135.620295976151	183.396216259192	101.769042956444
AT1G01140	3152.18739508511	2909.32202810489	2883.54687120839	3852.41426157047	4535.40755050649	3558.34922423642
AT1G01160	314.985717069113	324.8692421673	388.014790977733	832.623160019053	647.505547184437	679.201213115733
AT1G01170	728.675239334632	617.068932097813	601.425117534621	788.195135820939	979.2081270881	618.200241904074
AT1G01180	364.786150899673	170.507946861029	239.919837718154	201.063371589301	129.587229396582	97.3045451361769
AT1G01210	95.6780240456927	172.73889780354	145.797953225983	276.547265866855	221.905497191057	289.760570936158
AT1G01220	360.00485542288	342.161628278739	329.092597999664	294.314428967026	280.207459010362	281.920006605563
AT1G01225	11.6964775760728	22.6678574407243	8.87320319480423	3.76533087600723	10.3077078027634	8.67389069404562
AT1G01230	440.383558647194	547.178098875921	498.781967668561	286.337164271935	316.99535946195	393.166421383959
AT1G01240	1155.94766361358	883.124289505115	952.365686789429	935.497925462113	1056.70282505812	1110.07231233148
AT1G01250	30.5952648469402	57.4649076207953	40.6285193767441	7.5648116884045	26.1878450167436	9.52746084045142
AT1G01260	271.233981927498	1144.47923683821	527.186027615023	671.134657785633	645.313267768744	386.760186508229
AT1G01290	249.799955698885	270.697884325302	264.529306408148	292.216067976551	338.461498814218	322.816167760012
AT1G01300	308.617778215956	427.203740461437	213.0913199133	26.1275884632392	60.1926285864723	100.030734740761
AT1G01320	6117.66015085457	4488.86021505357	4067.11319201749	10876.2231653501	8274.77555608512	7101.77621273557
AT1G01340	300.321509459802	527.96078121474	879.265335880654	104.174756457687	37.5850088199039	83.4121935486856
AT1G01350	252.167654495187	254.783990108928	260.378310597993	415.949602333975	274.175417352952	323.168740003615
AT1G01360	392.07901754607	399.926805131152	446.227704563993	248.081459496635	309.456919742394	334.999874732746
AT1G01390	126.929765552939	86.8105483712528	120.834383069377	43.8503027398873	37.8118637323374	21.2296344591649
AT1G01420	158.156255263935	189.958055991249	224.150074845197	138.61603473355	118.962050733486	106.381286148895
AT1G01430	652.813539136313	357.012499815851	257.935000345768	268.663471154068	320.752404731902	256.624154532728
AT1G01440	496.665760945876	474.345648320141	595.892179629654	312.824156757368	315.36724238966	238.505343992268
AT1G01448	156.797167633064	170.828536072763	181.070208950149	264.860241667882	222.451371000295	198.251062360323
AT1G01470	1519.46496564304	3434.49876509573	2299.4109762951	2421.63532779866	4080.13823064864	1959.30722509591
AT1G01480	8.8384672086198	66.2073349698067	18.8157774499402	2.79821783351291	4.49275453391601	14.8510127191747
AT1G01490	1433.70497514376	1260.7844281865	1066.86429858004	1775.59831797919	2046.88517529001	1216.93103692929
AT1G01500	341.638700734163	342.427511751562	364.763926103964	442.3101097702	433.317304629592	344.297090827179
AT1G01510	344.75584611843	270.850494552314	273.593346835237	298.056740894985	243.777322631547	306.358899834234
AT1G01520	23.4893931446727	50.5171431790709	87.8596914634289	57.8110207823955	88.1844995800307	58.9077845898544
AT1G01540	922.863362754436	583.962931308726	500.934776675501	769.908083102191	550.639663455231	646.334444504563
AT1G01550	3766.3713132297	4849.00611133058	5425.85385077251	3075.67023816016	3046.18800381804	2699.97917216414
AT1G01560	934.835193856715	1305.11211780813	1544.91819987976	36.4077571260976	15.9285754365981	51.5517497192999
AT1G01570	14.5756096493375	8.27475406697125	17.8070380688426	10.8585634123307	16.3977664558383	10.1111479226116
AT1G01580	20.8240034220032	20.9775448466609	32.4007045836696	32.3975068866442	52.8845875318609	29.9580164262072
AT1G01610	424.582695614994	318.856093194563	254.999155852406	205.423547040745	173.946462664493	144.36183162602
AT1G01620	2742.07876717033	767.602249151225	515.490545839335	1921.20519203314	2767.84115614753	757.508365039294
AT1G01630	553.99408131058	530.533538663067	773.43831164544	317.139735280247	246.988440187266	545.636828789242
AT1G01640	67.6332661677756	58.6271544504877	72.6913767980328	52.5708232504049	68.7379541309592	66.8363862069005
AT1G01650	793.121329182107	1520.44069421435	1114.49491351648	756.917844058535	1134.34379571004	810.467664013061
AT1G01660	27.747455365417	46.5130070076166	33.1216909193066	62.21939133601	47.0220703134734	62.6244561612779
AT1G01670	67.9662812774115	82.6697095306457	68.2705017943456	67.2554719306928	57.9790523527732	108.871575328217
AT1G01680	689.526248178318	663.75519034674	1045.47563139814	50.1114214236422	5.62677482977542	52.0745470719351
