"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009617";"GO:0009617";"response to bacterium";"156/1687";"482/13434";0,323651452282158;2,57731689979757;13,3645586747511;3,60579495182153e-31;6,38946865462776e-28;5,45044373770076e-28;"NCH1/MAPKKK5/CPK28/LecRK-IX.2/ATWRKY51/CBP60a/ATEXO70B1/CYP81F2/ATWRKY48/FLS2/AtNPF5.2/ATWRKY52/ATNPR3/PROSCOOP12/PROSCOOP4/ARA8/CML46/ATL31/CBP60G/SZE1/ATWRKY38/NA/AtCAF1b/EFR/SAG101/AtGH3.12/NHL3/IDL6/ATCSLA09/SAI-LLP1/AT-HSC70-1/AtHsp70-2/LecRK-VI.2/EDS5/AtMORC2/XLG2/ADR1-L1/ATPME44/ATWRKY18/ATWRKY11/GAE1/LecRK-V.9/HAE/NA/ATMEK1/AtNHR2B/ATWRKY53/CRK23/CRK21/CRK20/CRK17/CRK15/CRK13/CRK12/AT-RLK3/CRK10/CRK7/CRK6/CRK5/SOBER1/AtRLP51/AtCML8/ACD6/AtNUDT7/MEE54/CRK34/MIK2/CPK31/ATGSL05/LecRK-IV.4/ATHLECRK/ACA11/AtBG3/SIB1/ATWRKY70/ATCHITIV/LecRK-IV.2/ATPAD4/ZAR1/AtBCS1/HR4/ATEDS1/ATPUB13/CRK4/ATMAPK3/LecRK-I.1/AtCAF1a/AIG2/ATMYB30/GAE6/LTPG5/PCC1/NDR1/ATERF-4/IDL7/PBL39/LecRK-VI.1/ATL6/AtSDR3/ATCNGC12/ATCNGC11/ATWRKY46/AtGH3.11/AtPME17/BGLU26/ACA4/ATWRKY54/BIK1/ATWRKY33/LecRK-IV.1/AP4.3A/AtRLP23/CYP71A13/CYP71A12/NHL13/PME12/ATWRKY60/ATWRKY17/TET8/AtLYK4/FRK1/PBL14/AHK4/ATWRKY40/ATWAKL10/RGLG4/TGA7/ATICS1/SARD1/ATLOX4/NA/IDA/PXMT1/ATNPR1/LORE/AtFBS1/ABCG36/AtPP2-B13/NA/IOS1/RKL1/ATSBT3.3/CXC750/AGO2/PROSCOOP13/OPCL1/HUP35/AtMYB51/AtPEPR2/CRPK1/LecRK-S.1/CBRLK1/AtCRT3/ATEXO70B2/NIMIN-1/ACBK1";156
"GO:0002376";"GO:0002376";"immune system process";"113/1687";"304/13434";0,371710526315789;2,96002324275419;13,0992434766753;1,28834250826714e-28;1,14147146232468e-25;9,73715706248215e-26;"MAPKKK5/LecRK-IX.2/BON/ATEXO70E2/ATEXO70B1/CYP81F2/ANK/FLS2/ATWRKY52/ATNPR3/AtCML24/PBL13/SZE1/EFR/AtGH3.12/AtGILP/IDL6/NA/LecRK-VI.2/EDS5/BEE2/AtMORC2/XLG2/ATWRKY11/CRK23/CRK21/CRK20/CRK17/CRK15/CRK13/CRK12/AT-RLK3/CRK10/CRK7/CRK6/CRK5/SOBER1/CRK28/B120/ARK3/BPL1/AtNUDT7/ARCK1/MEE54/CRK34/CRK40/CRK39/CRK38/CRK36/ATGSL05/CRK41/NA/ATWRKY70/ATCHITIV/AtPUB22/ATPAD4/ATSYP122/ZAR1/AtBCS1/ATEDS1/ATPUB13/CRK4/ATEXO70E1/ATMYB30/LTPG5/ATMAP2K_ALPHA/NDR1/MKS1/CES101/ATERF-4/LIK1/PUB24/AT-SYR1/PBL39/TN13/AtGH3.11/BGLU26/BIK1/AtPUB23/AtLYK5/AtRLP23/CYP71A13/CYP71A12/PLA/AtLYK4/PIP3/ATSERK4/TN11/BPL2/NA/ZRK12/ARK1/ATNPR1/ATRBOH/NA/LORE/NA/NA/ABCG36/IGP2/NA/NA/NILR2/ATSBT3.3/RKFL1/CAD1/NSL1/ATGSTU13/AtMYB51/SOC3/CBRLK1/LRR/AtCRT3";113
"GO:0006955";"GO:0006955";"immune response";"109/1687";"300/13434";0,363333333333333;2,89331357439241;12,5679728637318;1,158071091195e-26;6,84033991199182e-24;5,83505293668781e-24;"MAPKKK5/LecRK-IX.2/BON/ATEXO70E2/ATEXO70B1/CYP81F2/ANK/FLS2/ATWRKY52/ATNPR3/AtCML24/PBL13/SZE1/EFR/AtGH3.12/AtGILP/IDL6/NA/LecRK-VI.2/EDS5/BEE2/AtMORC2/XLG2/ATWRKY11/CRK23/CRK21/CRK20/CRK17/CRK15/CRK13/CRK12/AT-RLK3/CRK10/CRK7/CRK6/CRK5/SOBER1/CRK28/B120/ARK3/BPL1/AtNUDT7/ARCK1/MEE54/CRK34/CRK40/CRK39/CRK38/CRK36/ATGSL05/CRK41/NA/ATWRKY70/ATCHITIV/ATPAD4/ATSYP122/ZAR1/AtBCS1/ATEDS1/ATPUB13/CRK4/ATEXO70E1/ATMYB30/LTPG5/ATMAP2K_ALPHA/NDR1/MKS1/CES101/ATERF-4/LIK1/AT-SYR1/PBL39/TN13/AtGH3.11/BGLU26/BIK1/AtLYK5/AtRLP23/CYP71A13/CYP71A12/PLA/AtLYK4/PIP3/ATSERK4/TN11/BPL2/NA/ZRK12/ARK1/ATNPR1/NA/LORE/NA/NA/ABCG36/IGP2/NA/NA/NILR2/ATSBT3.3/RKFL1/CAD1/NSL1/ATGSTU13/AtMYB51/SOC3/CBRLK1/LRR/AtCRT3";109
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"87/1687";"210/13434";0,414285714285714;3,29906003895334;12,7250384772963;3,98439924849528e-26;1,76508886708341e-23;1,50568350548401e-23;"NA/SRO5/AtZAT12/DM10/AtXTH22/CYP81F2/PBP1/ATRBOHD/CYP707A3/AtCML37/NRP/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/AtGILP/NHL3/AtZAT6/NA/GAE1/ATL14/NA/NA/CMI1/DIC2/NA/SGT1A/ACR7/AtBBE22/NA/AtNUDT7/BPS3/AtWRKY22/NA/ATWRKY70/AtC3H47/NA/ZAT7/AGC2/ATERF-4/ATPK19/NA/ATGSTF5/ATWRKY46/ATCAL4/CML10/AtC3H29/NA/PLA/IQM4/NA/PIP3/ATPUMP5/ATSERK4/ATLPP1/RHA2B/ATOPR1/CML38/NA/ATMKK9/TN11/TN9/TN8/TN7/AtRAV2/AtPERK9/NA/TN3/AtFBS1/NA/ATPME1/NA/NA/ATGA2OX2/STZ/AtBBE3/AtTEM1/NA/HUP35/atnudt4/PER4/AtRAV1/NA/NA";87
"GO:0042742";"GO:0042742";"defense response to bacterium";"126/1687";"384/13434";0,328125;2,61294087136929;12,1523247718515;6,72360999607256e-26;2,25778767787163e-23;1,92597309339649e-23;"NCH1/MAPKKK5/CPK28/LecRK-IX.2/ATWRKY51/CBP60a/ATEXO70B1/CYP81F2/ATWRKY48/FLS2/AtNPF5.2/ATWRKY52/ATNPR3/PROSCOOP12/PROSCOOP4/ARA8/CML46/ATL31/CBP60G/SZE1/ATWRKY38/NA/AtCAF1b/SAG101/AtGH3.12/NHL3/IDL6/AT-HSC70-1/LecRK-VI.2/EDS5/AtMORC2/XLG2/ADR1-L1/ATPME44/ATWRKY18/ATWRKY11/GAE1/LecRK-V.9/HAE/NA/ATMEK1/AtNHR2B/ATWRKY53/CRK23/CRK21/CRK20/CRK17/CRK15/CRK13/CRK12/AT-RLK3/CRK10/CRK7/CRK6/CRK5/SOBER1/AtRLP51/ACD6/AtNUDT7/MEE54/CRK34/ATGSL05/LecRK-IV.4/ATHLECRK/ACA11/SIB1/ATWRKY70/LecRK-IV.2/ATPAD4/ZAR1/ATEDS1/ATPUB13/CRK4/LecRK-I.1/AtCAF1a/AIG2/GAE6/NDR1/ATERF-4/IDL7/PBL39/LecRK-VI.1/ATL6/AtSDR3/ATWRKY46/AtGH3.11/AtPME17/BGLU26/ACA4/ATWRKY54/BIK1/ATWRKY33/LecRK-IV.1/AP4.3A/AtRLP23/CYP71A13/CYP71A12/NHL13/ATWRKY60/ATWRKY17/TET8/FRK1/PBL14/AHK4/ATWRKY40/RGLG4/TGA7/ATICS1/SARD1/IDA/PXMT1/ATNPR1/ABCG36/NA/IOS1/RKL1/ATSBT3.3/AGO2/PROSCOOP13/AtMYB51/AtPEPR2/LecRK-S.1/CBRLK1/AtCRT3/ATEXO70B2/NIMIN-1";126
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"87/1687";"212/13434";0,410377358490566;3,26793683103869;12,6133623562448;8,91902581551997e-26;2,25778767787163e-23;1,92597309339649e-23;"NA/SRO5/AtZAT12/DM10/AtXTH22/CYP81F2/PBP1/ATRBOHD/CYP707A3/AtCML37/NRP/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/AtGILP/NHL3/AtZAT6/NA/GAE1/ATL14/NA/NA/CMI1/DIC2/NA/SGT1A/ACR7/AtBBE22/NA/AtNUDT7/BPS3/AtWRKY22/NA/ATWRKY70/AtC3H47/NA/ZAT7/AGC2/ATERF-4/ATPK19/NA/ATGSTF5/ATWRKY46/ATCAL4/CML10/AtC3H29/NA/PLA/IQM4/NA/PIP3/ATPUMP5/ATSERK4/ATLPP1/RHA2B/ATOPR1/CML38/NA/ATMKK9/TN11/TN9/TN8/TN7/AtRAV2/AtPERK9/NA/TN3/AtFBS1/NA/ATPME1/NA/NA/ATGA2OX2/STZ/AtBBE3/AtTEM1/NA/HUP35/atnudt4/PER4/AtRAV1/NA/NA";87
"GO:0071453";"GO:0071453";"cellular response to oxygen levels";"87/1687";"212/13434";0,410377358490566;3,26793683103869;12,6133623562448;8,91902581551997e-26;2,25778767787163e-23;1,92597309339649e-23;"NA/SRO5/AtZAT12/DM10/AtXTH22/CYP81F2/PBP1/ATRBOHD/CYP707A3/AtCML37/NRP/HYP1/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/AtGILP/NHL3/AtZAT6/NA/GAE1/ATL14/NA/NA/CMI1/DIC2/NA/SGT1A/ACR7/AtBBE22/NA/AtNUDT7/BPS3/AtWRKY22/NA/ATWRKY70/AtC3H47/NA/ZAT7/AGC2/ATERF-4/ATPK19/NA/ATGSTF5/ATWRKY46/ATCAL4/CML10/AtC3H29/NA/PLA/IQM4/NA/PIP3/ATPUMP5/ATSERK4/ATLPP1/RHA2B/ATOPR1/CML38/NA/ATMKK9/TN11/TN9/TN8/TN7/AtRAV2/AtPERK9/NA/TN3/AtFBS1/NA/ATPME1/NA/NA/ATGA2OX2/STZ/AtBBE3/AtTEM1/NA/HUP35/atnudt4/PER4/AtRAV1/NA/NA";87
"GO:0001666";"GO:0001666";"response to hypoxia";"92/1687";"237/13434";0,388185654008439;3,09121877649636;12,3088250409365;4,48190019431476e-25;9,92740893040719e-23;8,46843247241578e-23;"NA/SRO5/AtZAT12/DM10/AtXTH22/CYP81F2/PBP1/ATRBOHD/CYP707A3/AtCML37/NRP/HYP1/ACBP5/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/AtGILP/NHL3/AtZAT6/NA/GAE1/ATL14/NA/NA/CMI1/DIC2/NA/SGT1A/ACR7/AtBBE22/NA/AtNUDT7/BPS3/AtWRKY22/NA/ATWRKY70/AtC3H47/NA/ATPAD4/ATEDS1/ZAT7/ATMYB30/AGC2/ATERF-4/ATPK19/NA/ATGSTF5/ATWRKY46/ATCAL4/CML10/AtC3H29/NA/PLA/IQM4/NA/PIP3/ATPUMP5/ATSERK4/ATLPP1/RHA2B/ATOPR1/CML38/NA/ATMKK9/TN11/TN9/TN8/TN7/AtRAV2/AtPERK9/NA/TN3/ATNPR1/AtFBS1/NA/ATPME1/NA/NA/ATGA2OX2/STZ/AtBBE3/AtTEM1/NA/HUP35/atnudt4/PER4/AtRAV1/NA/NA";92
"GO:0036293";"GO:0036293";"response to decreased oxygen levels";"92/1687";"241/13434";0,381742738589212;3,03991224078688;12,1095718505218;1,87515870734169e-24;3,69197914378831e-22;3,14938936110254e-22;"NA/SRO5/AtZAT12/DM10/AtXTH22/CYP81F2/PBP1/ATRBOHD/CYP707A3/AtCML37/NRP/HYP1/ACBP5/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/AtGILP/NHL3/AtZAT6/NA/GAE1/ATL14/NA/NA/CMI1/DIC2/NA/SGT1A/ACR7/AtBBE22/NA/AtNUDT7/BPS3/AtWRKY22/NA/ATWRKY70/AtC3H47/NA/ATPAD4/ATEDS1/ZAT7/ATMYB30/AGC2/ATERF-4/ATPK19/NA/ATGSTF5/ATWRKY46/ATCAL4/CML10/AtC3H29/NA/PLA/IQM4/NA/PIP3/ATPUMP5/ATSERK4/ATLPP1/RHA2B/ATOPR1/CML38/NA/ATMKK9/TN11/TN9/TN8/TN7/AtRAV2/AtPERK9/NA/TN3/ATNPR1/AtFBS1/NA/ATPME1/NA/NA/ATGA2OX2/STZ/AtBBE3/AtTEM1/NA/HUP35/atnudt4/PER4/AtRAV1/NA/NA";92
"GO:0070482";"GO:0070482";"response to oxygen levels";"92/1687";"242/13434";0,380165289256198;3,02735061995718;12,0604021701039;2,66457313013386e-24;4,72162358659721e-22;4,02771264723393e-22;"NA/SRO5/AtZAT12/DM10/AtXTH22/CYP81F2/PBP1/ATRBOHD/CYP707A3/AtCML37/NRP/HYP1/ACBP5/ATL31/CBP60G/FLOT1/ATBCB/NA/NA/AtGILP/NHL3/AtZAT6/NA/GAE1/ATL14/NA/NA/CMI1/DIC2/NA/SGT1A/ACR7/AtBBE22/NA/AtNUDT7/BPS3/AtWRKY22/NA/ATWRKY70/AtC3H47/NA/ATPAD4/ATEDS1/ZAT7/ATMYB30/AGC2/ATERF-4/ATPK19/NA/ATGSTF5/ATWRKY46/ATCAL4/CML10/AtC3H29/NA/PLA/IQM4/NA/PIP3/ATPUMP5/ATSERK4/ATLPP1/RHA2B/ATOPR1/CML38/NA/ATMKK9/TN11/TN9/TN8/TN7/AtRAV2/AtPERK9/NA/TN3/ATNPR1/AtFBS1/NA/ATPME1/NA/NA/ATGA2OX2/STZ/AtBBE3/AtTEM1/NA/HUP35/atnudt4/PER4/AtRAV1/NA/NA";92
