"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0042254";"GO:0042254";"ribosome biogenesis";"86/1251";"304/13434";0,282894736842105;3,03789599899028;11,5166053714198;8,06552440860059e-22;1,34532947135458e-18;1,2972759259307e-18;"RH27/RID2/NA/TRL/ATFBR1/NA/uS4y/AtRRP6L2/NA/NA/RAN2/ATRAN1/NA/PES/AtGHS40/NA/SDN2/AtLa1/NA/NA/NA/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/NA/ATCFM3B/NA/RH39/NA/NA/ACYR2/AtCBF5/NA/EDA7/CIP111/CP29A/RID3/eL34x/ARPF2/RLUA2/NA/RFC3/NA/RRP5/IRP4/RPP0C/NA/AtRH57/RRP42/NA/RPSAb/CRM1B/NA/EDA13/POP1/eL24x/EMB2777/RH17/AtPEIP1/PDE328/ATRPS5B/ATRAP/EDA27/AtNOC2/CGL20A/NA/RH29/NA/AtMDN1/NA/NA/IMP4/NA/atBRX1-2/NA/RH5/atENP1/AtERG2/NA/AtRH36/ATPWP2/PCP1/NA/ATNAF1/ATRRP4";86
"GO:0016072";"GO:0016072";"rRNA metabolic process";"73/1251";"238/13434";0,30672268907563;3,29377506398243;11,4407946973108;6,47287429993966e-21;5,39837716614967e-18;5,20555364753042e-18;"RH27/RID2/NA/TRL/ATFBR1/NA/AtRRP6L2/NA/NA/NA/PES/AtGHS40/NA/SDN2/AtLa1/NA/NA/RRP41L/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/ATCFM3B/NA/RH39/NA/BSM/NA/ACYR2/AtCBF5/NA/EDA7/CP29A/RID3/NA/ARPF2/RLUA2/NA/RFC3/NA/RRP5/IRP4/NA/AtRH57/RRP42/NA/NA/EDA13/POP1/EMB2777/AtPEIP1/PDE328/ATRAP/ATRPAC14/EDA27/CGL20A/CCG/RH29/NA/NA/NA/IMP4/NA/atBRX1-2/NA/RH5/atENP1/NA/AtRH36/ATPWP2/PCP1/NA/ATRRP4";73
"GO:0022613";"GO:0022613";"ribonucleoprotein complex biogenesis";"95/1251";"372/13434";0,255376344086022;2,74238673577267;10,9206685617006;1,57663854196331e-20;8,76611029331602e-18;8,45299541094717e-18;"RH27/PICLN/RID2/NA/TRL/ATFBR1/NA/uS4y/AtRRP6L2/NA/NA/RAN2/ATRAN1/NA/PES/AtGHS40/NA/SDN2/NA/ATU2AF65A/AtLa1/NA/NA/NA/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/NA/ATCFM3B/NA/RH39/NA/EMB2770/NA/ACYR2/AtCBF5/NA/EDA7/CIP111/CP29A/RID3/eL34x/ARPF2/RLUA2/NA/RFC3/NA/RRP5/IRP4/RPP0C/NA/AtRH57/RRP42/SmD1a/NA/RPSAb/CRM1B/NA/EDA13/POP1/eL24x/EMB2777/RH17/AtPEIP1/PDE328/ATRPS5B/ATRAP/EDA27/AtNOC2/CGL20A/NA/RH29/SMD3A/NA/AtMDN1/AAR2/NA/NA/IMP4/NA/atBRX1-2/NA/CPuORF19/RH5/atENP1/AtERG2/NA/AtRH36/ATPWP2/PCP1/Atcoilin/NA/ATNAF1/ATRRP4";95
"GO:0006364";"GO:0006364";"rRNA processing";"67/1251";"222/13434";0,301801801801802;3,24093157906108;10,7884447435163;7,11159061873863e-19;2,96553328801401e-16;2,85960801721911e-16;"RH27/RID2/NA/TRL/ATFBR1/NA/AtRRP6L2/NA/NA/NA/PES/AtGHS40/NA/SDN2/AtLa1/NA/NA/EMB2788/AtTRM4d/AtTRM7b/ATFIB2/ATCFM3B/NA/RH39/NA/NA/ACYR2/AtCBF5/NA/EDA7/CP29A/RID3/ARPF2/RLUA2/NA/RFC3/NA/RRP5/IRP4/NA/AtRH57/RRP42/NA/NA/EDA13/POP1/EMB2777/AtPEIP1/PDE328/ATRAP/EDA27/CGL20A/RH29/NA/NA/IMP4/NA/atBRX1-2/NA/RH5/atENP1/NA/AtRH36/ATPWP2/PCP1/NA/ATRRP4";67
"GO:0009451";"GO:0009451";"RNA modification";"80/1251";"314/13434";0,254777070063694;2,7359513662955;9,97409500487617;2,19267974268948e-17;7,31477962161211e-15;7,05350451964111e-15;"GR-RBP3/RID2/ORRM2/ATFBR1/AtTRM10/MORF4/NA/NA/NA/AtTRM1b/AtTRM61/RARE1/NA/NA/MEF28/NA/NA/NA/NA/NA/EMB2758/MEF8S/NA/AtTRM5b/AtTRM4d/AtTRM7b/ATFIB2/NA/MORF1/NA/AtTRM3/MEF32/NA/AtTRM5c/ACYR2/AtCBF5/NA/AtTRM1c/NA/ECD1/NA/NA/NA/NA/AEF1/RLUA2/MORF8/TRUA4/MORF3/MEF26/NA/NA/PDE328/EDA27/ELP5/BLX/NA/PPR96/NA/MORF7/NA/NA/NA/PGN/NA/NA/AtELP2/DYW1/NA/MORF5/ALKBH8/NA/ATECB2/POCO1/ATRIP9/TRUA6/EMB3102/MTSF1/AtTRM4f/ATNAF1";80
"GO:0009408";"GO:0009408";"response to heat";"69/1251";"264/13434";0,261363636363636;2,80668192718552;9,50011398847811;9,1150349253106e-16;2,53397970923635e-13;2,44346901155695e-13;"HSP18.2/ATTIL/ATHS83/GFA2/CYS5/HSP15.7/AtPARK13/ATSGS3/PUB48/HTT2/CGE1/AT-P5C1/AT-HSP17.6A/HSP17.6II/HSC70-5/LAT1/DREB2/AT-HSFA3/HTT1/HSP21/AR192/cpHsc70-1/HSA32/PTAC5/HIL1/Hop3/ATHSP22.0/CHL/ATHSP17.4/ATMBF1C/ATMSH1/HSP60/DJA4/ATHSP70/DREB2/AtHsp90-6/AtGolS1/ATBAG6/AtERF48/DREB19/AtCRL1/HSP70-8/HSP17.6B/CLPB-M/DJA6/BBX18/HSP18.5/AtHsp90.5/ALDH5F1/AtREN1/ATSKP2;2/ATCDSP32/ATHSP101/AtCPB/HSP17.6A/DjC53/HSP17.4B/HSP17.6C/HSP26.5/BBX17/AtDjB1/AtCOR47/ATI3A/HSP70-5/GLYI4/CPN10/PAP3/HSP17.8/CYP18-1";69
"GO:0006457";"GO:0006457";"protein folding";"51/1251";"183/13434";0,278688524590164;2,99272712977159;8,69735288629259;3,71629260537575e-13;8,85539437966678e-11;8,53909037746487e-11;"HSP18.2/ROC7/NA/Cpn60beta3/ATHS83/NA/GFA2/HSP15.7/ATCPN21/CPN60a2/CGE1/AT-HSP17.6A/HSP17.6II/HSC70-5/AR192/cpHsc70-1/DJC26/ATHSP22.0/GroES/ROC2/ATHSP17.4/HSP60/DJA4/HSP60-3A/Cpn60beta2/ATHSP70/NA/AtHsp90-6/ATBAG6/HSP60/HSP70-8/HSP17.6B/ARC2/CLPB-M/DJA6/NA/DNAJ/HSP18.5/CYP40/AtHsp90.5/HSP17.6A/CPN60B/HSP17.4B/HSP17.6C/AtDjB1/Cpn60beta4/NA/HSP70-5/CPN10/HSP17.8/CYP18-1";51
"GO:0042026";"GO:0042026";"protein refolding";"19/1251";"36/13434";0,527777777777778;5,66759925393019;8,98592657338825;4,16161441971361e-11;8,67696606510287e-09;8,36703530700315e-09;"Cpn60beta3/GFA2/CPN60a2/HSC70-5/cpHsc70-1/HSP60/DJA4/HSP60-3A/Cpn60beta2/ATHSP70/HSP60/HSP70-8/ARC2/CLPB-M/DJA6/CPN60B/AtDjB1/Cpn60beta4/HSP70-5";19
"GO:0000959";"GO:0000959";"mitochondrial RNA metabolic process";"22/1251";"55/13434";0,4;4,29544364508393;7,84732152658332;1,11762592691498e-09;2,0713333845491e-07;1,99734785535215e-07;"mTERF22/GR-RBP3/ORRM2/MORF4/NA/NA/RPF5/MORF1/mS83/CFM9/AEF1/MORF8/MORF3/PDE319/EMB2794/MORF7/MGP3/TRZ3/NA/MORF5/POCO1/MTSF1";22
"GO:0042793";"GO:0042793";"plastid transcription";"10/1251";"15/13434";0,666666666666667;7,15907274180655;7,64784234289716;9,1944849761818e-08;1,49827228519668e-05;1,44475580700525e-05;"DG1/PAP7/ATCFM3B/PTAC5/BSM/FLN1/RFC3/DER/FLN2/PAP8";10
