sample,fastq_1,fastq_2,strandedness
SRX2513381,/work/zarski/arabid_zhang/skripts/fastq/SRX2513381_SRR5197904_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513381_SRR5197904_2.fastq.gz,auto
SRX2513382,/work/zarski/arabid_zhang/skripts/fastq/SRX2513382_SRR5197905_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513382_SRR5197905_2.fastq.gz,auto
SRX2513383,/work/zarski/arabid_zhang/skripts/fastq/SRX2513383_SRR5197906_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513383_SRR5197906_2.fastq.gz,auto
SRX2513384,/work/zarski/arabid_zhang/skripts/fastq/SRX2513384_SRR5197907_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513384_SRR5197907_2.fastq.gz,auto
SRX2513385,/work/zarski/arabid_zhang/skripts/fastq/SRX2513385_SRR5197908_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513385_SRR5197908_2.fastq.gz,auto
SRX2513386,/work/zarski/arabid_zhang/skripts/fastq/SRX2513386_SRR5197909_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513386_SRR5197909_2.fastq.gz,auto
SRX2513387,/work/zarski/arabid_zhang/skripts/fastq/SRX2513387_SRR5197910_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513387_SRR5197910_2.fastq.gz,auto
SRX2513388,/work/zarski/arabid_zhang/skripts/fastq/SRX2513388_SRR5197911_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513388_SRR5197911_2.fastq.gz,auto
SRX2513389,/work/zarski/arabid_zhang/skripts/fastq/SRX2513389_SRR5197912_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513389_SRR5197912_2.fastq.gz,auto
SRX2513390,/work/zarski/arabid_zhang/skripts/fastq/SRX2513390_SRR5197913_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513390_SRR5197913_2.fastq.gz,auto
SRX2513391,/work/zarski/arabid_zhang/skripts/fastq/SRX2513391_SRR5197914_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513391_SRR5197914_2.fastq.gz,auto
SRX2513392,/work/zarski/arabid_zhang/skripts/fastq/SRX2513392_SRR5197915_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513392_SRR5197915_2.fastq.gz,auto
SRX2513393,/work/zarski/arabid_zhang/skripts/fastq/SRX2513393_SRR5197916_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513393_SRR5197916_2.fastq.gz,auto
SRX2513394,/work/zarski/arabid_zhang/skripts/fastq/SRX2513394_SRR5197917_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513394_SRR5197917_2.fastq.gz,auto
SRX2513395,/work/zarski/arabid_zhang/skripts/fastq/SRX2513395_SRR5197918_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513395_SRR5197918_2.fastq.gz,auto
SRX2513396,/work/zarski/arabid_zhang/skripts/fastq/SRX2513396_SRR5197919_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513396_SRR5197919_2.fastq.gz,auto
SRX2513397,/work/zarski/arabid_zhang/skripts/fastq/SRX2513397_SRR5197920_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513397_SRR5197920_2.fastq.gz,auto
SRX2513398,/work/zarski/arabid_zhang/skripts/fastq/SRX2513398_SRR5197921_1.fastq.gz,/work/zarski/arabid_zhang/skripts/fastq/SRX2513398_SRR5197921_2.fastq.gz,auto
